,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,83.93,116.72,75.68,74.42,77.8,-,244.11,299,136.79,249.83
1,Revenue Growth (YoY),10.91%,56.86%,-2.73%,-,-68.13%,-,78.45%,19.68%,-40.43%,-
2,Cost of Revenue,63.06,88.48,51.14,52.05,62.57,-,293.06,310.98,150.44,206.85
3,Gross Profit,20.87,28.25,24.54,22.36,15.23,-,-48.94,-11.97,-13.65,42.98
4,"Selling, General & Admin",12.74,13.26,11.01,8.72,8.98,-,14.69,15.83,14.19,12
5,Other Operating Expenses,0.13,1.12,0.04,1.4,-0.65,-,-0.77,0.83,-1.18,1.07
6,Operating Expenses,12.88,14.38,11.05,10.13,8.33,-,13.92,16.66,13.01,16.35
7,Operating Income,8,13.87,13.49,12.24,6.9,-,-62.86,-28.63,-26.66,26.63
8,Interest Expense,-1.64,-1.41,-1.42,-1.35,-1.05,-,-0.63,-0.23,-0.38,-0.36
9,Interest & Investment Income,0.1,0.03,0.02,0.02,0.02,-,0.05,0.1,0.27,2.12
10,Currency Exchange Gain (Loss),-0.13,-0.08,-0.14,0.42,-0.34,-,0.01,0.83,-0.23,-0.21
11,EBT Excluding Unusual Items,6.32,12.41,11.95,11.34,5.53,-,-63.43,-27.94,-27.01,28.18
12,Other Unusual Items,-,-,-,0.55,-,-,-,6.43,-,-7.27
13,Pretax Income,6.32,12.41,11.95,11.88,5.53,-,-63.43,-21.5,-27.01,20.9
14,Income Tax Expense,1.85,2.88,2.86,1.9,2.74,-,9.64,1.52,-2.19,5.03
15,Earnings From Continuing Operations,4.48,9.54,9.09,9.98,2.79,-,-73.07,-23.02,-24.82,15.88
16,Earnings From Discontinued Operations,-,-,-,-27.9,-64.65,-,-,-,-,-
17,Net Income to Company,4.48,9.54,9.09,-17.92,-61.86,-,-73.07,-23.02,-24.82,15.88
18,Minority Interest in Earnings,0.15,0.65,0.76,0.16,0.08,-,-,-,-,-
19,Net Income,4.62,10.19,9.86,-17.76,-61.78,-,-73.07,-23.02,-24.82,15.88
20,Net Income to Common,4.62,10.19,9.86,-17.76,-61.78,-,-73.07,-23.02,-24.82,15.88
21,Net Income Growth,-53.08%,-,-,-,-,-,-,-,-,-
22,Shares Outstanding (Basic),624,624,624,624,624,-,520,520,520,428
23,Shares Outstanding (Diluted),624,624,624,624,624,-,520,520,520,451
24,Shares Change (YoY),-,-,-,-,20.00%,-,-,15.30%,33.33%,-
25,EPS (Basic),0.01,0.02,0.02,-0.03,-0.10,-,-0.14,-0.04,-0.05,0.04
26,EPS (Diluted),0.01,0.02,0.02,-0.03,-0.10,-,-0.14,-0.04,-0.05,0.04
27,EPS Growth,-53.08%,-,-,-,-,-,-,-,-,-
28,Free Cash Flow,-1.22,21.62,-19.96,7.86,-32.39,-,-20.48,-38.15,-72.17,15.96
29,Free Cash Flow Per Share,-0.00,0.03,-0.03,0.01,-0.05,-,-0.04,-0.07,-0.14,0.04
30,Operating Margin,9.53%,11.88%,17.82%,16.45%,8.87%,-,-25.75%,-9.58%,-19.49%,10.66%
31,Profit Margin,5.51%,8.73%,13.02%,-23.87%,-79.41%,-,-29.93%,-7.70%,-18.14%,6.36%
32,Free Cash Flow Margin,-1.45%,18.52%,-26.38%,10.57%,-41.64%,-,-8.39%,-12.76%,-52.76%,6.39%
33,EBITDA,9.05,13.65,14.49,11.38,7.83,-,-61.62,-28.99,-24.95,26.18
34,D&A For EBITDA,1.05,-0.22,1,-0.86,0.93,-0.62,1.24,-0.36,1.71,-0.45
35,EBIT,8,13.87,13.49,12.24,6.9,-,-62.86,-28.63,-26.66,26.63
