,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,82,1229,1086,693,705,711,1368,118,113,177,374
1,Market Cap Growth,77.48%,77.48%,53.98%,-2.63%,-48.47%,505.31%,1107.09%,-33.53%,-69.72%,-,-
2,Enterprise Value,99,1246,1122,708,774,743,1363,81,41,48,342
3,Last Close Price,0.13,1.97,1.74,1.11,1.13,1.14,1.89,0.23,0.22,0.34,0.70
4,PE Ratio,5.52,82.98,54.16,-87.59,-,-,-,-,-,-,9.14
5,PS Ratio,0.41,6.13,5.64,4.61,4.63,9.14,-,0.22,0.26,0.46,0.78
6,PB Ratio,0.75,11.22,10.27,7.20,8.28,6.94,8.87,0.48,0.36,0.52,1.00
7,P/TBV Ratio,11.25,11.25,10.37,7.33,8.33,6.99,8.91,0.48,0.36,0.52,1.00
8,P/FCF Ratio,4.01,-,654.47,-,-28.74,-,-,-,-,-,14.07
9,P/OCF Ratio,59.03,-,414.73,-,-29.27,-,-,-,-,-,13.26
10,EV/Sales Ratio,0.49,6.21,5.83,4.72,5.08,9.55,-,0.15,0.09,0.13,0.71
11,EV/EBITDA Ratio,4.08,54.88,39.88,27.38,40.29,94.89,-,-,-,-,4.83
12,EV/EBIT Ratio,4.51,56.98,41.02,27.52,40.44,107.67,-,-,-,-,4.90
13,EV/FCF Ratio,4.83,-,676.41,-,-31.54,-,-,-,-,-,12.86
14,Debt / Equity Ratio,0.60,0.60,0.59,0.51,0.56,0.86,0.35,0.16,0.02,0.02,0.02
15,Debt / FCF Ratio,3.20,-,37.40,-,-1.96,-,-,-,-,-,0.32
16,Return on Capital Employed (ROCE),19.45%,19.45%,16.69%,26.15%,15.66%,6.55%,-,-,-,-,18.59%
17,Earnings Yield,18.12%,1.21%,1.85%,-1.14%,-11.28%,-8.68%,-,-81.77%,-42.20%,-5.06%,10.94%
18,FCF Yield,24.96%,1.66%,0.15%,-1.75%,-3.48%,-4.55%,-,-49.88%,-97.32%,-31.79%,7.11%
19,Buyback Yield / Dilution,-,-,-,-,-20.00%,-,-,-15.30%,-33.33%,-,
20,Total Shareholder Return,-,-,-,-,-20.00%,-,-,-15.30%,-33.33%,-,
