,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,738.57,944.66,862.83,1157,909.09,1425,892.42,1125,794.52,1122
1,Revenue Growth (YoY),-14.40%,-18.34%,-5.09%,-18.84%,1.87%,26.71%,12.32%,0.30%,11.59%,28.48%
2,Cost of Revenue,371.6,546.92,462.33,692.44,516.15,1035,558.17,750.86,489.39,764.11
3,Gross Profit,366.97,397.73,400.51,464.33,392.94,390.53,334.25,374.05,305.13,357.44
4,"Selling, General & Admin",32.77,76.02,38.18,71.15,54.5,89.78,64.4,99.49,65.58,91.54
5,Research & Development,-,-,-,0.36,0.19,7.18,0.12,4.95,2.45,5.67
6,Other Operating Expenses,46.61,55.67,21.62,79.78,-7.01,-147.09,16.71,66.2,-53.35,-18.96
7,Operating Expenses,79.38,131.69,59.8,151.29,47.67,-50.13,81.23,170.64,14.67,78.26
8,Operating Income,287.59,266.04,340.71,313.05,345.27,440.66,253.02,203.41,290.46,279.18
9,Interest Expense,-125.04,-125.9,-136.1,-117.25,-135.67,-133.52,-118.12,-112.92,-105.75,-73.08
10,Interest & Investment Income,22.61,21.79,20.88,18.79,25.24,42.15,45.54,54.37,24.5,30.46
11,Earnings From Equity Investments,1.52,-,-,-0.33,-0.36,-1.55,-0.18,-0.26,-0.06,-0.24
12,Currency Exchange Gain (Loss),-5.98,12.27,-22.91,-64.01,-27.04,-94.76,23.39,77.19,-28.52,22.67
13,Other Non Operating Income (Expenses),-0.55,-0.07,-0.36,-5.1,-0.42,-0.09,-1.01,-0.07,-0.06,-0.53
14,EBT Excluding Unusual Items,180.14,174.13,202.23,145.16,207.01,252.89,202.65,221.73,180.57,258.45
15,Gain (Loss) on Sale of Investments,-,-0.06,-,-5.58,-,-59.59,-,-26.67,-,-2.62
16,Gain (Loss) on Sale of Assets,17.74,5.35,-0.81,19.93,-0.14,-0.41,-0.02,-0.74,-,-0.58
17,Asset Writedown,-,0.85,-,1.09,-,2.31,0.31,28.51,16.31,-
18,Other Unusual Items,-,-,-,-,-,-1.45,-,-4.24,-,-
19,Pretax Income,197.88,180.28,201.42,160.6,206.87,193.75,202.94,218.59,196.89,255.26
20,Income Tax Expense,49.53,29.48,34.5,19.95,23.38,21.94,35.21,28.76,36.3,35.45
21,Earnings From Continuing Operations,148.36,150.8,166.92,140.65,183.49,171.81,167.74,189.84,160.59,219.81
22,Minority Interest in Earnings,-0.32,-0.24,-0.98,-1.23,-0.66,-0.51,-0.77,-0.85,-1.03,-0.85
23,Net Income,148.03,150.56,165.95,139.42,182.83,171.31,166.97,188.99,159.56,218.96
24,Net Income to Common,148.03,150.56,165.95,139.42,182.83,171.31,166.97,188.99,159.56,218.96
25,Net Income Growth,-10.79%,7.99%,-9.23%,-18.61%,9.50%,-9.36%,4.65%,-13.69%,6.76%,1.46%
26,Shares Outstanding (Basic),1029,1029,1029,1029,1029,1029,1029,1029,1029,1029
27,Shares Outstanding (Diluted),1029,1029,1029,1029,1029,1029,1029,1029,1029,1029
28,EPS (Basic),0.14,0.15,0.16,0.14,0.18,0.17,0.16,0.18,0.16,0.21
29,EPS (Diluted),0.14,0.15,0.16,0.14,0.18,0.17,0.16,0.18,0.16,0.21
30,EPS Growth,-10.79%,7.99%,-9.23%,-18.61%,9.50%,-9.36%,4.65%,-13.69%,6.76%,1.46%
31,Free Cash Flow,-40.24,63.87,72.25,-405.06,-263.95,-78.18,-696.45,-49.41,-750.84,-443.4
32,Free Cash Flow Per Share,-0.04,0.06,0.07,-0.39,-0.26,-0.08,-0.68,-0.05,-0.73,-0.43
33,Dividend Per Share,-,-,-,-,-,0.100,0.050,0.120,0.054,-
34,Dividend Growth,-,-,-,-,-,-16.67%,-7.41%,-,-,-
35,Operating Margin,38.94%,28.16%,39.49%,27.06%,37.98%,30.92%,28.35%,18.08%,36.56%,24.89%
36,Profit Margin,20.04%,15.94%,19.23%,12.05%,20.11%,12.02%,18.71%,16.80%,20.08%,19.52%
37,Free Cash Flow Margin,-5.45%,6.76%,8.37%,-35.02%,-29.03%,-5.49%,-78.04%,-4.39%,-94.50%,-39.53%
38,EBITDA,409.75,414.84,452.73,418.07,455.33,577.6,369.13,327.65,401.91,390.67
39,D&A For EBITDA,122.16,148.8,112.01,105.03,110.06,136.94,116.1,124.24,111.45,111.5
40,EBIT,287.59,266.04,340.71,313.05,345.27,440.66,253.02,203.41,290.46,279.18
