,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,638,772,638,885,1430,1760,1883,2069,2161,1770,2315
1,Market Cap Growth,-12.79%,-12.79%,-55.40%,-49.71%,-24.04%,-14.93%,-12.86%,16.86%,-6.67%,-25.86%,0%
2,Enterprise Value,5958,6399,6815,7381,7499,7787,7541,7086,5940,5225,5121
3,Last Close Price,0.62,0.75,0.62,0.86,1.39,1.59,1.70,1.81,1.76,1.40,1.70
4,PE Ratio,1.99,2.41,1.83,2.68,3.93,4.24,4.54,4.83,5.22,4.26,5.62
5,PS Ratio,0.35,0.43,0.32,0.41,0.61,0.64,0.66,0.85,0.95,0.84,1.13
6,PB Ratio,0.12,0.14,0.12,0.17,0.27,0.33,0.35,0.40,0.43,0.39,0.51
7,P/TBV Ratio,0.16,0.16,0.13,0.19,0.31,0.36,0.37,0.43,0.46,0.41,0.53
8,P/FCF Ratio,25.13,-,4.25,-2.46,-,-,-,-,-,-,-
9,P/OCF Ratio,4.97,4.97,2.62,-14.87,-,-,-,-,-2.97,-,-
10,EV/Sales Ratio,3.29,3.54,3.42,3.38,3.21,2.85,2.65,2.92,2.61,2.49,2.50
11,EV/EBITDA Ratio,6.63,7.22,7.13,7.84,7.59,6.44,6.49,8.46,6.86,6.01,6.08
12,EV/EBIT Ratio,9.99,10.76,10.20,10.45,10.08,8.46,8.86,12.91,10.13,8.36,8.62
13,EV/FCF Ratio,234.64,-,45.45,-20.52,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.98,0.98,1.06,1.20,1.26,1.25,1.44,1.37,1.16,1.22,1.12
15,Debt / FCF Ratio,212.34,-,38.73,-17.44,-,-,-,-,-,-,-
16,Return on Capital Employed (ROCE),7.66%,7.66%,8.35%,9.38%,8.82%,10.20%,9.97%,6.58%,6.43%,6.78%,6.40%
17,Earnings Yield,50.28%,41.57%,54.65%,37.28%,25.47%,23.57%,22.05%,20.70%,19.15%,23.46%,17.80%
18,FCF Yield,3.98%,3.29%,23.50%,-40.63%,-52.87%,-22.77%,-50.49%,-43.37%,-43.98%,-74.02%,-18.96%
19,Dividend Yield,0.00%,-,-,-,-,-,10.80%,11.28%,11.73%,4.24%,-
20,Total Shareholder Return,-,-,-,-,-,10.80%,11.28%,11.73%,4.24%,-,
