,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,136,124,255,380,355,405,385,450,420,280,201
1,Market Cap Growth,-67.37%,-67.37%,-28.17%,-6.17%,-7.79%,-10.00%,-8.33%,60.71%,108.96%,28.44%,-
2,Enterprise Value,83,77,183,319,289,293,242,323,262,200,72
3,Last Close Price,0.14,0.12,0.26,0.38,0.35,0.41,0.39,0.45,0.42,0.28,0.20
4,PE Ratio,-,-,-,-,-,25.54,20.78,98.58,-,-336.74,-
5,PS Ratio,0.29,0.27,0.53,1.71,0.57,0.28,0.26,0.52,1.19,1.55,0.74
6,PB Ratio,0.76,0.73,1.44,1.66,1.46,1.48,1.41,1.67,1.62,1.03,0.80
7,P/TBV Ratio,0.70,0.70,1.39,1.67,1.48,1.50,1.43,1.67,1.62,1.03,0.80
8,P/FCF Ratio,-,-,-,-,-,-,-,-53.47,-,11.34,5.66
9,P/OCF Ratio,-,-,-,-,-,-,-,-67.20,-,11.03,5.59
10,EV/Sales Ratio,0.18,0.17,0.38,1.44,0.47,0.21,0.16,0.37,0.74,1.11,0.26
11,EV/EBITDA Ratio,-,-,-,-,-,15.57,8.96,57.47,-,43.71,-
12,EV/EBIT Ratio,-,-,-,-,-,18.25,10.19,87.98,-,104.66,-
13,EV/FCF Ratio,-,-,-,-,-,-,-,-38.40,-,8.11,2.02
14,Debt / Equity Ratio,0.04,0.04,0.04,0.05,0.06,0.05,0.07,0.05,0.06,0.05,0.07
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-1.73,-,0.57,0.47
16,Return on Capital Employed (ROCE),-,-,-,-,-,5.80%,8.47%,1.33%,-,0.68%,-
17,Earnings Yield,-36.79%,-40.35%,-21.25%,-9.52%,-4.12%,3.91%,4.81%,1.01%,0.27%,-0.30%,10.92%
18,FCF Yield,-,-7.86%,-4.89%,-13.87%,-16.61%,-2.35%,-1.87%,-1.23%,8.82%,17.67%,
19,Buyback Yield / Dilution,-,-,0.17%,0.16%,-0.00%,-0.13%,-0.17%,-0.09%,-13.58%,-33.25%,
20,Total Shareholder Return,-,-,0.17%,0.16%,-0.00%,-0.13%,-0.17%,-0.09%,-13.58%,-33.25%,
