,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,313.78,346.52,288.49,302.27,259.59,314.8,257.41,240.54,201.41
1,Revenue Growth (YoY),8.77%,14.64%,11.13%,-3.98%,0.84%,30.87%,27.80%,-,-
2,Cost of Revenue,151.9,177.57,123.88,138.96,109.86,130.31,111.47,104.79,88.53
3,Gross Profit,161.88,168.95,164.61,163.31,149.73,184.49,145.94,135.76,112.88
4,"Selling, General & Admin",46.44,55.24,40.75,64.87,29.7,50.63,28.98,37,25.44
5,Operating Expenses,47.74,48.16,38.35,81.11,34.87,57.02,32.88,37.91,28.18
6,Operating Income,114.15,120.79,126.26,82.2,114.86,127.47,113.06,97.84,84.7
7,Interest Expense,-18.14,-19.19,-19.09,-18.71,-4.63,-1.88,-1.99,-2.05,-2.1
8,Interest & Investment Income,17.55,20.36,17.74,19.14,17.22,16.82,10.29,3.71,1.98
9,Earnings From Equity Investments,-0.07,-8.02,-8.05,-10.83,-10.05,-1.98,-,-,-
10,Currency Exchange Gain (Loss),-0.8,-0.98,2.87,5.68,9.76,0.41,-0.41,-,-
11,Other Non Operating Income (Expenses),1.2,2.79,1.82,1.56,2.1,-1.12,-7.34,-8.77,-4.05
12,EBT Excluding Unusual Items,113.87,115.74,121.53,79.05,129.25,139.73,113.61,90.73,80.53
13,Gain (Loss) on Sale of Investments,-,1.14,-,0.03,-,-0.92,-,0.92,-
14,Gain (Loss) on Sale of Assets,-,0.12,0.3,0.02,-,-0.02,-,-0.13,-
15,Other Unusual Items,-,-,-,-,-,-,-,3.08,-
16,Pretax Income,113.87,117,121.83,79.1,129.25,138.79,113.61,94.61,80.53
17,Income Tax Expense,27.37,46.71,29.82,24.62,34.84,37.39,31.08,25.79,21.76
18,Earnings From Continuing Operations,86.5,70.29,92.01,54.47,94.41,101.4,82.52,68.81,58.77
19,Minority Interest in Earnings,2.6,3.84,4.95,3.71,1.68,0.46,0.54,-0.06,-0.69
20,Net Income,89.1,74.14,96.96,58.19,96.09,101.86,83.07,68.76,58.08
21,Net Income to Common,89.1,74.14,96.96,58.19,96.09,101.86,83.07,68.76,58.08
22,Net Income Growth,-8.11%,27.41%,0.91%,-42.88%,15.68%,48.15%,43.01%,-,-
23,Shares Outstanding (Basic),1013,1015,1017,1017,1019,1020,981,750,750
24,Shares Outstanding (Diluted),1013,1015,1017,1017,1019,1023,981,750,750
25,Shares Change (YoY),-0.41%,-0.20%,-0.18%,-0.55%,3.87%,36.40%,30.75%,-,-
26,EPS (Basic),0.09,0.07,0.10,0.06,0.09,0.10,0.08,0.09,0.08
27,EPS (Diluted),0.09,0.07,0.10,0.06,0.09,0.10,0.08,0.09,0.08
28,EPS Growth,-7.73%,27.67%,1.09%,-42.57%,11.37%,8.65%,9.37%,-,-
29,Free Cash Flow,71.51,176.07,121.97,137.23,20.61,139.27,43.27,109.73,22.07
30,Free Cash Flow Per Share,0.07,0.17,0.12,0.13,0.02,0.14,0.04,0.15,0.03
31,Dividend Per Share,0.045,-,-,0.063,0.030,-,-,-,-
32,Operating Margin,36.38%,34.86%,43.76%,27.19%,44.25%,40.49%,43.92%,40.68%,42.05%
33,Profit Margin,28.40%,21.39%,33.61%,19.25%,37.02%,32.36%,32.27%,28.58%,28.84%
34,Free Cash Flow Margin,22.79%,50.81%,42.28%,45.40%,7.94%,44.24%,16.81%,45.62%,10.96%
35,EBITDA,137.83,145.17,148.41,103.4,121.02,131.18,116.68,101.82,88.12
36,D&A For EBITDA,23.69,24.38,22.15,21.2,6.16,3.71,3.62,3.97,3.42
37,EBIT,114.15,120.79,126.26,82.2,114.86,127.47,113.06,97.84,84.7
