,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1370,1207,1249,1354,2160,2091,3825,5899,-,-
1,Market Cap Growth,-10.86%,-10.86%,-42.19%,-35.22%,-43.53%,-64.56%,-,-,-,-
2,Enterprise Value,524,412,566,736,1445,631,2484,5599,-,-
3,Last Close Price,1.35,1.14,1.07,1.16,1.76,1.66,2.90,4.47,-,-
4,PE Ratio,7.80,6.88,6.63,8.08,12.39,9.02,16.85,32.31,-,-
5,Forward PE,8.38,5.83,5.73,6.62,6.64,6.46,13.07,24.65,-,-
6,PS Ratio,1.93,1.70,1.79,2.12,3.40,3.11,5.45,9.85,-,-
7,PB Ratio,1.04,0.91,0.89,1.04,1.62,1.54,2.74,4.77,-,-
8,P/TBV Ratio,0.92,0.92,0.90,1.06,1.66,1.58,2.78,4.79,-,-
9,P/FCF Ratio,5.15,4.54,3.80,4.84,12.11,11.16,17.07,32.06,-,-
10,P/OCF Ratio,4.52,4.52,3.79,5.14,11.80,9.20,15.60,31.37,-,-
11,PEG Ratio,0.18,0.18,0.18,0.18,0.18,0.18,0.45,0.45,-,-
12,EV/Sales Ratio,0.74,0.58,0.81,1.15,2.27,0.94,3.54,9.35,-,-
13,EV/EBITDA Ratio,1.77,1.35,1.75,2.71,5.70,2.13,8.16,21.31,-,-
14,EV/EBIT Ratio,2.15,1.63,2.08,3.27,6.49,2.22,8.41,22.07,-,-
15,EV/FCF Ratio,1.97,1.55,1.72,2.63,8.10,3.37,11.08,30.43,-,-
16,Debt / Equity Ratio,0.54,0.54,0.55,0.58,0.58,0.58,0.06,0.07,0.45,-
17,Debt / FCF Ratio,2.69,2.69,2.33,2.69,4.37,4.22,0.38,0.46,0.56,-
18,Return on Capital Employed (ROCE),12.36%,12.36%,12.62%,11.13%,10.66%,13.23%,20.01%,19.27%,78.45%,-
19,Earnings Yield,12.81%,14.53%,15.09%,12.38%,8.07%,11.09%,5.93%,3.10%,-,-
20,FCF Yield,19.42%,22.04%,26.29%,20.68%,8.26%,8.96%,5.86%,3.12%,-,-
21,Dividend Yield,7.11%,4.20%,-,-,5.98%,2.11%,-,-,-,-
22,Buyback Yield / Dilution,0.30%,0.41%,0.20%,0.18%,0.55%,-3.87%,-36.40%,-30.75%,-,-
23,Total Shareholder Return,7.42%,4.61%,0.20%,0.18%,6.53%,-1.77%,-36.40%,-30.75%,-,-
