,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,332.82,546.91,453.57,482.84,630.02,446.35,1188,141.66,-
1,Short-Term Investments,1134,864.32,874.34,780.66,684.17,817.48,0.05,0.01,-
2,Trading Asset Securities,-,21.14,20.55,-,1.99,1.99,1.99,187.91,-
3,Cash & Short-Term Investments,1466,1432,1348,1263,1316,1266,1190,329.58,-
4,Cash Growth,8.75%,13.37%,2.45%,-0.18%,10.64%,284.07%,-,-,-
5,Accounts Receivable,16.06,13.58,15.73,33.26,49.69,29.68,34.55,25.56,-
6,Other Receivables,16.84,13.01,8.69,13.02,4.49,2.72,6.93,3,-
7,Receivables,32.9,26.59,24.42,46.29,54.17,32.4,41.48,28.56,-
8,Prepaid Expenses,-,-,-,-,-,8.26,8.26,-,-
9,Restricted Cash,5,5,-,-,5,10,-,-,-
10,Other Current Assets,7.45,5.18,4.04,13.17,3.32,3.84,5.28,10.83,-
11,Total Current Assets,1512,1469,1377,1323,1379,1320,1245,368.97,-
12,"Property, Plant & Equipment",771.24,792.96,792.61,771.95,660.38,51.99,55.4,58.68,-
13,Long-Term Investments,-,-,-,-,-,7.02,-,-,-
14,Long-Term Accounts Receivable,5.01,5.37,5.77,6.04,6.35,6.65,6.92,7.19,-
15,Long-Term Deferred Tax Assets,39.65,31.57,28.82,21.6,10.91,9.28,7.14,6.34,-
16,Other Long-Term Assets,25.54,25.54,30.54,18.16,41.51,22.09,8.12,-,-
17,Total Assets,2353,2325,2243,2142,2110,1432,1322,441.18,-
18,Accounts Payable,59.2,29.08,25.06,22.55,26.16,25.56,25.54,23.62,-
19,Accrued Expenses,21.02,61.68,21.92,43.98,18.05,44.56,21.67,27.48,-
20,Current Portion of Leases,26.24,36.2,39.16,28.32,3.89,5.37,5.02,4.68,-
21,Current Income Taxes Payable,27.48,27.18,23.76,31.32,29.49,40.57,22.67,25.32,-
22,Current Unearned Revenue,11.93,15.58,16.4,19.09,22.01,11.38,15.98,3.38,-
23,Other Current Liabilities,305.98,198.13,243.82,147.56,178.97,102.9,136.64,124.01,-
24,Total Current Liabilities,451.85,367.84,370.11,292.82,278.57,230.34,227.52,208.5,-
25,Long-Term Leases,640.89,659.21,658.5,662.21,670.76,63.35,66.11,68.73,-
26,Long-Term Deferred Tax Liabilities,22.86,25.93,9.38,6.12,1.01,-,0.47,0.7,-
27,Total Liabilities,1116,1053,1038,961.15,950.34,293.7,294.1,277.93,-
28,Common Stock,8.49,8.51,8.52,8.53,8.53,8.53,8.54,-,-
29,Additional Paid-In Capital,461.67,582.63,586.41,652.37,684.81,771.87,773.75,-,-
30,Retained Earnings,760.24,671.14,597,500.04,441.85,345.76,243.91,160.84,-
31,Treasury Stock,-5.46,-5.46,-5.46,-5.46,-5.47,-3.94,-,-,-
32,Comprehensive Income & Other,0.38,-0.05,-0.46,-1.08,-1.08,-1.08,-1.09,-1.09,-
33,Total Common Equity,1225,1257,1186,1154,1129,1121,1025,159.75,-
34,Minority Interest,12.3,14.91,18.75,26.31,30.82,17.5,2.96,3.5,-
35,Shareholders' Equity,1238,1272,1205,1181,1159,1139,1028,163.26,-
36,Total Liabilities & Equity,2353,2325,2243,2142,2110,1432,1322,441.18,-
37,Total Debt,667.13,695.41,697.66,690.53,674.65,68.73,71.13,73.41,-
38,Net Cash (Debt),799.28,736.96,650.79,572.97,641.53,1197,1118,256.17,-
39,Net Cash Growth,22.82%,28.62%,1.44%,-52.14%,-42.64%,367.30%,-,-,-
40,Net Cash Per Share,0.79,0.73,0.64,0.56,0.63,1.17,1.14,0.34,-
41,Filing Date Shares Outstanding,1015,1015,1018,1019,1020,1020,1021,1021,750
42,Total Common Shares Outstanding,1015,1015,1018,1019,1020,1020,1021,750,750
43,Working Capital,1060,1101,1007,1030,1100,1090,1017,160.47,-
44,Book Value Per Share,1.21,1.24,1.16,1.13,1.11,1.10,1.00,0.21,-
45,Tangible Book Value,1225,1257,1186,1154,1129,1121,1025,159.75,-
46,Tangible Book Value Per Share,1.21,1.24,1.16,1.13,1.11,1.10,1.00,0.21,-
47,Machinery,-,-12.24,-,-9.72,-,7.42,-,7.28,-
