,Fiscal Quarter,Q4 2024,Q4 2023,Q4 2017,Q4 2016
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016"
0,Revenue,3900,216.36,9933,2096
1,Cost of Revenue,675,183.91,12637,5346
2,Gross Profit,3225,32.45,-2704,-3250
3,"Selling, General & Admin",495.33,1599,-83.07,615.24
4,Operating Expenses,495.33,1599,-83.07,615.24
5,Operating Income,2730,-1566,-2621,-3865
6,Interest Expense,-,-,-59.43,-
7,Interest & Investment Income,28.25,72.53,8.23,192.08
8,Other Non Operating Income (Expenses),-64.82,-12.44,3593,262.48
9,EBT Excluding Unusual Items,2693,-1506,920.47,-3411
10,Gain (Loss) on Sale of Investments,131.75,1555,-,-
11,Pretax Income,2825,48.28,920.47,-3411
12,Net Income,2825,48.28,920.47,-3411
13,Net Income to Common,2825,48.28,920.47,-3411
14,Shares Outstanding (Basic),6,6,-,-
15,Shares Outstanding (Diluted),6,6,-,-
16,EPS (Basic),476.26,8.14,-,-
17,EPS (Diluted),476.26,8.14,-,-
18,Gross Margin,82.69%,15.00%,-27.22%,-155.06%
19,Operating Margin,69.99%,-724.00%,-26.39%,-184.42%
20,Profit Margin,72.43%,22.31%,9.27%,-162.73%
21,EBIT,2730,-1566,-2621,-3865
22,EBIT Margin,69.99%,-,-26.39%,-184.42%
23,Revenue as Reported,3900,216.36,9933,2096
