,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,656,802,944,784,1390,1354,1105,1951,3340,1131,1152,Upgrade
1,Market Cap Growth,-29.13%,2.27%,-32.05%,-42.11%,25.81%,-30.59%,-66.93%,72.44%,190.00%,42.57%,267.35%,Upgrade
2,Enterprise Value,6131,6118,9501,9350,10015,10190,9674,11221,12192,10064,10165,Upgrade
3,Last Close Price,0.07,0.09,0.11,0.09,0.16,0.15,0.12,0.22,0.38,0.13,0.15,Upgrade
4,PE Ratio,0.30,-,-,-,-,-,-,-1.81,-,-,-,Upgrade
5,PS Ratio,0.37,0.89,-,1.67,-,2.50,1.48,2.67,3.93,0.50,0.25,Upgrade
6,PB Ratio,-0.30,-0.30,-0.23,-0.10,-0.18,-0.19,-0.16,-0.35,-0.56,-0.22,-0.27,Upgrade
7,P/FCF Ratio,9.54,44.50,-,-,-,49.26,-2.20,-,-,-,3.26,Upgrade
8,P/OCF Ratio,7.19,44.50,-,-,-,39.88,-2.32,-,-,-,2.84,Upgrade
9,EV/Sales Ratio,3.40,6.81,-,19.95,-,18.79,12.96,15.38,14.36,4.49,2.23,Upgrade
10,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-50.16,Upgrade
11,EV/FCF Ratio,89.21,339.63,-,-,-,370.77,-19.31,-,-,-,28.74,Upgrade
12,Debt / Equity Ratio,-1.44,-1.44,-1.35,-1.19,-1.14,-1.22,-1.36,-1.60,-1.61,-1.82,-2.14,Upgrade
13,Debt / FCF Ratio,56.37,215.05,-,-,-,324.65,-18.22,-,-,-,26.35,Upgrade
14,Earnings Yield,629.98%,-19.68%,-,-8.28%,-,-124.92%,-36.29%,-55.26%,-72.75%,-98.62%,-92.71%,Upgrade
15,FCF Yield,10.48%,2.25%,-,-18.49%,-,2.03%,-45.36%,-27.59%,-1.29%,16.90%,30.70%,Upgrade
16,Buyback Yield / Dilution,-58.07%,-,-,-,-,36.74%,0.05%,-73.74%,-21.44%,-26.65%,-14.68%,Upgrade
17,Total Shareholder Return,-58.07%,-,-,-,-,36.74%,0.05%,-73.74%,-21.44%,-26.65%,-14.68%,Upgrade
