,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,66.26,88.25,63.68,41.77,14.4,21.81,51.18,153.32,86.81,79.51,Upgrade
1,Short-Term Investments,59.22,44.48,44.64,53.89,63.7,87.32,123.64,95.49,95.87,93.2,Upgrade
2,Cash & Short-Term Investments,125.48,132.73,108.32,95.65,78.1,109.13,174.82,248.82,182.68,172.71,Upgrade
3,Cash Growth,15.84%,38.76%,38.70%,-12.35%,-55.33%,-56.14%,-4.31%,44.07%,-10.77%,-18.81%,Upgrade
4,Accounts Receivable,78.8,140.21,136.26,59.85,58.53,112.21,144.29,134.77,99.35,267.87,Upgrade
5,Other Receivables,274.03,255.73,211.71,219.46,234.93,243.55,246.35,652.37,535,575.16,Upgrade
6,Receivables,352.83,395.94,347.97,279.3,293.46,355.76,390.63,787.14,634.34,843.03,Upgrade
7,Inventory,301.23,148.33,248.64,216.72,69.99,81.42,127.63,143.37,146.45,369.5,Upgrade
8,Prepaid Expenses,49.44,65.15,102.59,95.71,44.82,45.37,35.16,32.81,42.81,57.76,Upgrade
9,Other Current Assets,-,227.38,0.11,0.17,0.41,0.53,2.83,29.87,13.33,9.92,Upgrade
10,Total Current Assets,828.99,969.53,807.63,687.55,486.78,592.21,731.07,1242,1020,1453,Upgrade
11,"Property, Plant & Equipment",3988,4220,4797,5158,5514,5886,6203,6308,6436,6715,Upgrade
12,Long-Term Investments,45.5,17.35,0.21,0.21,0.21,0.21,0.21,2.21,3.27,4.54,Upgrade
13,Other Intangible Assets,2.05,2.05,3.75,3.75,3.75,3.75,3.75,3.75,3.13,3.75,Upgrade
14,Other Long-Term Assets,-,-,-,0.84,0.87,0.9,1.21,45.21,41.49,58.5,Upgrade
15,Total Assets,4864,5209,5609,5850,6006,6483,6939,7602,7504,8235,Upgrade
16,Accounts Payable,1058,904.17,928.11,1202,1099,1172,1182,1358,1304,1485,Upgrade
17,Accrued Expenses,2334,2262,2836,3055,2786,2352,1858,2008,1480,1207,Upgrade
18,Short-Term Debt,3019,4637,7831,7871,7933,8185,7816,8639,8164,6235,Upgrade
19,Current Portion of Long-Term Debt,-,-,1090,1037,986.52,-,-,-,1067,1034,Upgrade
20,Current Portion of Leases,0.18,0.35,1.39,1.9,1.9,1.89,2.2,2.19,3.74,3.7,Upgrade
21,Current Income Taxes Payable,103.13,103.53,103.29,104.55,105.39,106.26,105.91,105.57,104.42,107.97,Upgrade
22,Current Unearned Revenue,53.42,156.06,155.17,119.13,83.32,92.21,110.63,114.38,132.3,131.45,Upgrade
23,Other Current Liabilities,103.15,332.04,103.1,115.63,120.6,125.48,130.09,132.95,120.26,125.11,Upgrade
24,Total Current Liabilities,6671,8396,13047,13506,13115,12036,11205,12360,12376,10330,Upgrade
25,Long-Term Debt,854.57,811.83,-,-,-,938.86,1077,1034,-,2044,Upgrade
26,Long-Term Leases,0.32,-,-,0.35,1.39,2.25,3.28,-,0.31,2.19,Upgrade
27,Long-Term Unearned Revenue,28.69,31.33,33.05,100.81,107.48,115.23,118.27,120.84,115.07,120.29,Upgrade
28,Long-Term Deferred Tax Liabilities,7.08,7.24,16.04,29.79,86.43,91.52,106.17,103.88,83.37,84.11,Upgrade
29,Total Liabilities,7561,9246,13096,13637,13310,13184,12510,13619,12575,12581,Upgrade
30,Common Stock,890.74,890.74,890.74,890.74,890.74,890.74,890.74,890.74,890.74,767.88,Upgrade
31,Additional Paid-In Capital,2849,2849,-,2849,2849,2849,2849,2849,2849,2839,Upgrade
32,Retained Earnings,-9917,-9760,-8122,-15090,-14434,-13647,-12743,-13246,-11986,-11137,Upgrade
33,Comprehensive Income & Other,1753,1983,-,3811,3609,3389,3586,3645,3375,3332,Upgrade
34,Total Common Equity,-4424,-4037,-7231,-7539,-7085,-6518,-5416,-5861,-4870,-4198,Upgrade
35,Minority Interest,-,-,-256.62,-248.06,-219.26,-183.12,-154.55,-155.93,-200.57,-148.13,Upgrade
36,Shareholders' Equity,-2697,-4037,-7488,-7787,-7304,-6701,-5571,-6017,-5071,-4346,Upgrade
37,Total Liabilities & Equity,4864,5209,5609,5850,6006,6483,6939,7602,7504,8235,Upgrade
38,Total Debt,3874,5450,8922,8910,8922,9128,8899,9675,9235,9320,Upgrade
39,Net Cash (Debt),-3749,-5317,-8814,-8815,-8844,-9019,-8724,-9426,-9053,-9147,Upgrade
40,Net Cash Per Share,-0.42,-,-0.99,-,-0.99,-1.01,-0.62,-1.06,-1.12,-1.25,Upgrade
41,Filing Date Shares Outstanding,8907,8907,8907,8907,8907,8907,8907,8907,8907,7679,Upgrade
42,Total Common Shares Outstanding,8907,8907,8907,8907,8907,8907,8907,8907,8907,7679,Upgrade
43,Working Capital,-5842,-7426,-12240,-12818,-12628,-11443,-10474,-11118,-11356,-8877,Upgrade
44,Book Value Per Share,-0.50,-0.45,-0.81,-0.85,-0.80,-0.73,-0.61,-0.66,-0.55,-0.55,Upgrade
45,Tangible Book Value,-4426,-4039,-7235,-7543,-7089,-6521,-5420,-5865,-4873,-4202,Upgrade
46,Tangible Book Value Per Share,-0.50,-0.45,-0.81,-0.85,-0.80,-0.73,-0.61,-0.66,-0.55,-0.55,Upgrade
47,Buildings,-,3527,-,4130,-,4427,-,4898,-,4817,Upgrade
48,Machinery,-,8369,-,9421,-,10135,-,9919,-,9330,Upgrade
49,Construction In Progress,-,497.72,-,587.05,-,623.74,-,585.38,-,406.03,Upgrade
50,Leasehold Improvements,-,134.04,-,166.4,-,188.55,-,183.27,-,176.67,Upgrade
