,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1773544,1579770,721758,1168340,571249,55006,83290,77369,194936,638812,165687,218575,118319,153279,307958,148542,96949,160836,109232,398631,Upgrade
1,Trading Asset Securities,1227249,1646595,1540890,775858,643099,326495,273810,858.36,107.54,298080,457057,609648,1015396,899587,1073301,1019392,1162834,673885,960304,911427,Upgrade
2,Accounts Receivable,1749,7278,18743,3573,2377,2293,3676,6059,6312,7952,21758,28284,16907,36878,25242,16910,19907,-72519,68880,61135,Upgrade
3,Other Receivables,10494091,10026276,10129441,10058898,9448525,6739139,5464763,3896795,3923513,7270359,6214306,7666374,7244588,7074783,5505821,4803809,4287021,3364091,2611093,2415943,Upgrade
4,"Property, Plant & Equipment",126720,136835,147245,152049,162413,143549,117216,125848,135438,67846,72298,77718,80757,41674,44819,33861,35609,27423,29450,31502,Upgrade
5,Other Intangible Assets,28959,30765,34812,39945,44374,48381,52985,57528,55962,43880,45483,42627,40975,18428,20516,19815,17545,18364,17431,18216,Upgrade
6,Investments in Debt & Equity Securities,2501564,2149592,1941329,1093314,1072598,1681426,1397129,2713426,1307398,912208,793891,902104,35367,35357,58883,58883,54310,281060,54309,58959,Upgrade
7,Other Current Assets,5874809,3878875,2950166,3075595,2935520,2706361,2665728,1974548,4306845,2246615,3138775,2710774,2368440,2291653,1769773,1581556,1094639,663910,691839,705884,Upgrade
8,Long-Term Deferred Tax Assets,10478,2178,7810,8774,9052,-,-,-,149.65,-,1704,-,-,-,-,-1613,854.1,1093,959.86,2553,Upgrade
9,Other Long-Term Assets,92152,98048,101235,103500,435501,702729,701635,708181,710264,547054,224404,112362,124366,112717,105487,253976,245492,97860,327234,176565,Upgrade
10,Total Assets,22131881,19556577,17593722,16480266,15325125,12405738,10760724,9561218,10641370,12034807,11137353,12370710,11047241,10666158,8912752,7939947,7015596,5216541,4871626,4781439,Upgrade
11,Accounts Payable,33046,22753,433692,451394,30807,26165,24851,27654,43103,611778,36117,67432,50539,60979,180875,121773,448728,24931,28103,15026,Upgrade
12,Accrued Expenses,248333,203937,213467,148608,167199,139736,135506,81063,189266,147622,175475,110512,222169,163939,144658,74256,67618,75149,91820,60729,Upgrade
13,Short-Term Debt,13069703,11523996,10385890,10162474,9598509,7286136,5663404,4619406,5431702,6820281,6570799,7434792,6266414,6011066,3902211,3328963,2206843,1701244,1438718,829956,Upgrade
14,Other Current Liabilities,720578,519030,31812,43253,32681,43545,33877,25379,57377,26376,29045,56266,221168,352662,1007598,2059229,2030287,1090624,849064,1225460,Upgrade
15,Long-Term Debt,1061356,1061299,1061243,405910,406191,-,169994,169986,371978,580969,595961,1034187,834981,785722,585408,171301,178192,344534,544314,645432,Upgrade
16,Long-Term Deferred Tax Liabilities,-,-,-,-,-,1307,1158,420.35,-,456.97,-,569.97,1698,473.71,2729,-,-,-,-,-,Upgrade
17,Other Long-Term Liabilities,-,-,-,-,-,-,-,175.61,175.61,218.17,218.17,218.17,218.17,218.17,218.17,1329,1329,1373,1373,1373,Upgrade
18,Total Liabilities,15223342,13379666,12185183,11259499,10286929,7540427,6061724,4954953,6156337,8216788,7440521,8759071,7635695,7425367,5855470,5779624,4955228,3253964,2972674,2785230,Upgrade
19,Common Stock,5728130,5470800,4376700,4376700,4376700,4376700,3805931,3805931,3805931,2676183,2676183,2676183,2676183,2676183,2676183,1643311,1643311,1643311,1643311,1643311,Upgrade
20,Additional Paid-In Capital,335558,-,-,-,-,-,69328,69328,69328,69328,69328,69328,69328,39988,39988,39988,39988,26552,26552,26552,Upgrade
21,Retained Earnings,843968,678637,1024874,843195,660624,487739,822868,730133,608901,1071635,950448,865246,665071,523435,339653,475548,375574,291207,227580,324834,Upgrade
22,Comprehensive Income & Other,1626,28218,7710,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,1626,Upgrade
23,Shareholders' Equity,6908539,6176911,5408540,5220767,5038196,4865311,4699000,4606265,4485032,3818019,3696832,3611640,3411546,3240791,3057282,2160324,2060368,1962578,1898952,1996209,Upgrade
24,Total Liabilities & Equity,22131881,19556577,17593722,16480266,15325125,12405738,10760724,9561218,10641370,12034807,11137353,12370710,11047241,10666158,8912752,7939947,7015596,5216541,4871626,4781439,Upgrade
25,Total Debt,14131059,12585295,11447133,10568383,10004700,7286136,5833399,4789392,5803680,7401250,7166760,8468979,7101396,6796788,4487619,3500265,2385035,2045778,1983032,1475388,Upgrade
26,Net Cash (Debt),-11130266,-9358930,-9184484,-8624185,-8790351,-6904636,-5476298,-4711164,-5608636,-6464358,-6544016,-7640756,-5967681,-5743922,-3106360,-2332331,-1125252,-1211057,-913496,-165329,Upgrade
27,Net Cash Per Share,-19431.91,-17108.00,-20986.39,-19706.14,-20085.82,-15776.99,-12513.05,-10764.76,-12815.43,-17505.72,-17721.43,-20912.87,-16160.53,-15553.99,-6610.05,-8943.76,-3702.87,-5328.26,-3784.14,-775.55,Upgrade
28,Filing Date Shares Outstanding,572.78,547.05,437.64,437.64,437.64,437.64,437.65,437.65,437.65,369.27,369.27,369.27,369.28,369.29,369.3,260.78,260.78,260.78,260.78,260.78,Upgrade
29,Total Common Shares Outstanding,572.78,547.05,437.64,437.64,437.64,437.64,437.65,437.65,437.65,369.27,369.27,369.27,369.28,369.29,369.3,260.78,260.78,260.78,260.78,260.78,Upgrade
30,Working Capital,5210021,4820791,4237353,4229095,3720450,2290533,2601188,1171864,2647929,2828675,3155232,3511597,3966922,3819030,3415932,1963967,1886081,1882685,2015256,2355220,Upgrade
31,Book Value Per Share,12061.36,11291.31,12358.42,11929.38,11512.21,11117.17,10736.96,10525.07,10248.06,10339.33,10011.15,9780.44,9238.49,8775.75,8278.64,8284.19,7900.84,7525.80,7281.81,7654.75,Upgrade
32,Tangible Book Value,6879580,6146146,5373728,5180822,4993822,4816930,4646015,4548737,4429071,3774139,3651349,3569013,3370571,3222363,3036766,2140509,2042824,1944213,1881521,1977993,Upgrade
