,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,202.1,229.73,196.82,209.86,826.64,499.98,254.13,229.21,-
1,Short-Term Investments,269.47,271.48,271.37,268.42,75.12,79.98,18.09,12.42,-
2,Trading Asset Securities,-,-,-,-,1,-,-,3.54,-
3,Cash & Short-Term Investments,471.57,501.21,468.19,478.28,902.76,579.96,272.21,245.17,-
4,Cash Growth,0.72%,4.79%,-48.14%,-17.53%,231.64%,136.56%,-,-,-
5,Accounts Receivable,461.71,378.97,385.85,345.08,339.85,181.34,207.69,129.48,-
6,Other Receivables,41.5,28.85,32.28,41.18,0.01,1.32,3.14,0.55,-
7,Receivables,827.68,748.28,418.12,387.96,370.8,319.62,210.83,130.03,-
8,Inventory,35.5,34.64,28.15,29.21,28.15,27.55,25.21,25.13,-
9,Prepaid Expenses,-,-,41.29,-,9.26,8.36,4.95,3.66,-
10,Restricted Cash,-,-,-,-,-,-,0.24,-,-
11,Other Current Assets,146.28,111.22,83.89,79.04,48.54,273.27,23.1,16.69,-
12,Total Current Assets,1481,1395,1040,974.5,1360,1209,536.53,420.69,-
13,"Property, Plant & Equipment",9.69,11.27,9.13,10.88,11.57,11.67,12.05,13.33,-
14,Long-Term Investments,0.85,0.5,0.52,2.81,9.07,2.45,1.47,1.47,-
15,Other Intangible Assets,3.46,3.33,3.04,2.98,2.45,2.4,2,2.02,-
16,Long-Term Deferred Tax Assets,16.94,14.2,8.73,8.73,8.74,7.37,6.67,7.44,-
17,Other Long-Term Assets,-,-,-,-,1,5.88,-,-,-
18,Total Assets,1512,1425,1376,1315,1392,1239,558.73,444.94,-
19,Accounts Payable,195.58,178.55,115.91,120.95,87.7,87,74.28,62.33,-
20,Accrued Expenses,59.06,54.07,44.24,35.13,32.01,45.68,58.7,46.09,-
21,Short-Term Debt,-,-,27,55,47,-,-,-,-
22,Current Portion of Long-Term Debt,17,17,-,-,-,-,-,-,-
23,Current Portion of Leases,2.09,1.09,1.21,1.19,2.93,3.42,2.44,2.93,-
24,Current Income Taxes Payable,61.41,55.77,45.96,39.88,31.4,17.02,20.24,31.85,-
25,Current Unearned Revenue,164.8,151,154.12,107.35,136.87,107.75,131.18,111.85,-
26,Other Current Liabilities,236.58,198.13,195.96,173.17,136.81,116.88,108.79,98.84,-
27,Total Current Liabilities,736.51,655.6,584.4,532.67,474.72,377.76,395.62,353.89,-
28,Long-Term Debt,10,10,-,-,-,-,-,-,-
29,Long-Term Leases,0.02,0.02,0.54,1.03,1.61,0.57,2.05,2.63,-
30,Total Liabilities,746.53,665.62,584.94,533.69,476.33,378.33,397.67,356.52,-
31,Common Stock,7.56,7.74,7.97,8.12,8.46,8.46,-,-,-
32,Additional Paid-In Capital,415.27,450.37,512.71,554.69,653.1,653.1,-,-,-
33,Retained Earnings,367.38,325.21,326.46,263.45,278.59,193.19,141.18,94.97,-
34,Comprehensive Income & Other,-40.56,-40.56,-72.92,-61.7,-40.56,-19.1,-0.17,-19.1,-
35,Total Common Equity,749.66,742.77,774.22,764.54,899.59,835.66,141.02,75.87,-
36,Minority Interest,15.77,16.27,16.89,16.65,16.42,24.55,20.04,12.56,-
37,Shareholders' Equity,765.42,759.03,791.12,781.2,916.01,860.21,161.05,88.43,-
38,Total Liabilities & Equity,1512,1425,1376,1315,1392,1239,558.73,444.94,-
39,Total Debt,29.11,28.11,28.75,57.22,51.53,3.99,4.49,5.55,-
40,Net Cash (Debt),442.46,473.1,439.44,421.06,851.23,575.97,267.72,239.62,-
41,Net Cash Growth,0.69%,12.36%,-48.38%,-26.89%,217.95%,140.37%,-,-,-
42,Net Cash Per Share,0.48,0.50,0.46,0.43,0.84,0.58,0.36,0.35,-
43,Filing Date Shares Outstanding,917.88,937.31,949.63,970.76,989.46,1017,1017,750,750
44,Total Common Shares Outstanding,917.88,937.31,949.63,970.76,1017,1017,750,750,750
45,Working Capital,744.51,739.75,455.24,441.83,884.8,831.01,140.91,66.8,-
46,Book Value Per Share,0.82,0.79,0.82,0.79,0.88,0.82,0.19,0.10,-
47,Tangible Book Value,746.2,739.43,771.19,761.57,897.14,833.25,139.01,73.86,-
48,Tangible Book Value Per Share,0.81,0.79,0.81,0.78,0.88,0.82,0.19,0.10,-
49,Machinery,-,46.12,-,39.84,-,33.55,-,25.55,-
