,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,865,1560,2156,2545,2805,2929,3112,-,-,-
1,Market Cap Growth,-38.69%,-38.69%,-23.16%,-13.10%,-9.84%,-,-,-,-,-
2,Enterprise Value,406,1057,1699,2088,1828,2252,2814,-,-,-
3,Last Close Price,0.98,1.70,2.30,2.68,2.89,2.82,2.99,-,-,-
4,PE Ratio,20.82,35.49,-,23.64,20.34,21.10,25.81,-,-,-
5,PS Ratio,0.88,1.50,2.05,2.53,2.59,2.78,2.91,-,-,-
6,PB Ratio,1.12,1.90,2.58,2.98,3.18,2.73,2.95,-,-,-
7,P/TBV Ratio,1.95,1.95,2.65,3.05,3.26,2.79,3.04,-,-,-
8,P/FCF Ratio,12.49,-,14.60,-18.04,-,-,-,-,-,-
9,P/OCF Ratio,20.63,-,13.83,-19.01,-,-,-,-,-,-
10,EV/Sales Ratio,0.39,1.01,1.61,2.07,1.69,2.14,2.63,-,-,-
11,EV/EBITDA Ratio,5.49,14.51,17.22,16.17,10.63,11.20,14.22,-,-,-
12,EV/EBIT Ratio,6.18,16.04,18.40,17.05,11.13,11.82,14.98,-,-,-
13,EV/FCF Ratio,5.87,-,11.50,-14.80,-,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.07,0.06,0.00,0.03,0.06,-
15,Debt / FCF Ratio,0.45,-,0.21,-0.22,-,-,-,0.02,0.02,-
16,Return on Capital Employed (ROCE),7.91%,7.91%,10.90%,14.32%,18.57%,17.72%,17.78%,107.65%,147.42%,-
17,Earnings Yield,5.08%,2.82%,3.16%,4.23%,4.92%,4.74%,3.87%,-,-,-
18,FCF Yield,8.01%,4.44%,6.85%,-5.54%,-9.28%,-2.95%,-0.20%,-,-,-
19,Buyback Yield / Dilution,4.16%,3.46%,4.84%,5.22%,1.05%,-35.58%,-45.80%,-,-,-
20,Total Shareholder Return,4.16%,3.46%,4.84%,5.22%,1.05%,-35.58%,-45.80%,-,-,-
