,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,473.23,497.56,458.02,473.45,485.15,413.99,456.43,420.47,271.85
1,Revenue Growth (YoY),3.32%,5.09%,-5.59%,14.36%,6.29%,-1.54%,67.90%,-,-
2,Cost of Revenue,371.7,400.69,328.85,356.2,331.02,280.44,290.9,271.42,185.15
3,Gross Profit,101.53,96.86,129.18,117.25,154.12,133.55,165.53,149.05,86.7
4,"Selling, General & Admin",45.66,85.99,58.27,86.24,65.67,86.59,73.84,68.11,37.55
5,Other Operating Expenses,-2.92,-5.4,-9.56,-13.99,-19.39,-11.74,-3.67,-3.67,-2.14
6,Operating Expenses,53.71,83.36,58.86,74.22,51.87,73.16,72.9,66.11,35.41
7,Operating Income,47.83,13.5,70.32,43.03,102.25,60.39,92.63,82.95,51.29
8,Interest Expense,-0.57,-0.31,-1.2,-1.2,-0.78,-0.49,-0.11,-0.46,-1.79
9,Interest & Investment Income,9.63,11.17,12.14,1.83,8.96,2.79,0.99,0.7,2.08
10,Earnings From Equity Investments,-0.15,-0.02,-0.79,-0.1,-0.01,-,-,-,-
11,Currency Exchange Gain (Loss),-0.89,-0.24,-0.3,1.2,2.42,-12.5,-,-,-
12,Other Non Operating Income (Expenses),-,-8.49,-,0.83,-,1.72,-,-0.99,-
13,EBT Excluding Unusual Items,55.84,15.62,80.17,45.6,112.84,51.92,93.51,82.2,51.58
14,Gain (Loss) on Sale of Investments,-,0.79,-0.01,-,-,-0.28,0.28,2.55,-
15,Gain (Loss) on Sale of Assets,-,-0.23,-,4.23,-,-,-,-,-
16,Asset Writedown,-,-9.12,-,-,-,-,-,-,-
17,Pretax Income,55.84,7.05,80.16,49.83,112.84,51.64,93.79,84.74,51.58
18,Income Tax Expense,13.36,7.81,16.9,13.37,24.24,14.21,21.16,18.92,11.6
19,Earnings From Continuing Operations,42.48,-0.76,63.26,36.46,88.6,37.42,72.63,65.83,39.98
20,Minority Interest in Earnings,-0.32,-0.49,-0.24,0.17,-3.21,-4.35,-7.48,-6.2,-2.42
21,Net Income,42.17,-1.25,63.02,36.63,85.4,33.08,65.15,59.63,37.56
22,Net Income to Common,42.17,-1.25,63.02,36.63,85.4,33.08,65.15,59.63,37.56
23,Net Income Growth,-33.08%,-,-26.21%,10.74%,31.08%,-44.53%,73.43%,-,-
24,Shares Outstanding (Basic),930,938,964,986,1017,996,750,683,750
25,Shares Outstanding (Diluted),930,938,964,986,1017,996,750,683,750
26,Shares Change (YoY),-3.46%,-4.84%,-5.22%,-1.05%,35.58%,45.80%,-,-,-
27,EPS (Basic),0.05,-0.00,0.07,0.04,0.08,0.03,0.09,0.09,0.05
28,EPS (Diluted),0.05,-0.00,0.07,0.04,0.08,0.03,0.09,0.09,0.05
29,EPS Growth,-30.68%,-,-22.14%,11.91%,-3.32%,-61.95%,73.43%,-,-
30,Free Cash Flow,-14.05,78.51,55.56,-186.14,-44.19,-29.53,24.58,224.12,27.18
31,Free Cash Flow Per Share,-0.02,0.08,0.06,-0.19,-0.04,-0.03,0.03,0.33,0.04
32,Operating Margin,10.11%,2.71%,15.35%,9.09%,21.08%,14.59%,20.30%,19.73%,18.87%
33,Profit Margin,8.91%,-0.25%,13.76%,7.74%,17.60%,7.99%,14.27%,14.18%,13.82%
34,Free Cash Flow Margin,-2.97%,15.78%,12.13%,-39.32%,-9.11%,-7.13%,5.39%,53.30%,10.00%
35,EBITDA,53.51,14.31,75.24,44.25,107.77,63.83,97.35,86.23,53.52
36,D&A For EBITDA,5.69,0.81,4.93,1.22,5.52,3.43,4.71,3.28,2.22
37,EBIT,47.83,13.5,70.32,43.03,102.25,60.39,92.63,82.95,51.29
