,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1608,2202,2773,2981,3170,3238,-,403.6,-,304.58,-,281.71,281.73,225.17,225.17
1,Trading Asset Securities,388,280,110,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1996,2482,2883,2981,3170,3238,403.6,403.6,-,304.58,281.71,281.71,281.73,225.17,225.17
3,Cash Growth,-37.04%,-23.34%,614.33%,638.65%,-,963.15%,43.27%,43.27%,-,35.27%,25.11%,-,-,-,-
4,Accounts Receivable,3292,2954,2712,2667,2523,2107,-,1883,-,1350,-,1225,1225,863.54,863.54
5,Other Receivables,44.31,53.33,42.4,71.82,44.35,37.79,-,34.23,-,0.76,-,1.43,0.39,1.23,1.23
6,Receivables,3336,3007,2754,2738,2568,2156,-,1917,-,1350,-,1226,1225,864.76,864.76
7,Inventory,1243,1047,986.89,994.81,936.03,831.51,-,581.35,-,377.17,-,385.34,385.34,432.06,432.06
8,Prepaid Expenses,-,17.41,-,16.73,-,7.6,-,11.18,-,11.31,-,8.28,4.39,5.89,5.89
9,Other Current Assets,589.73,50.04,53.62,60.55,69.32,66.17,-,100.29,-,135.44,-,68.46,73.37,85.07,85.07
10,Total Current Assets,7164,6604,6678,6792,6743,6299,-,3014,-,2179,-,1970,1970,1613,1613
11,"Property, Plant & Equipment",589.35,565.51,522.08,504.08,497.79,486.56,-,474.67,-,470.25,-,467.22,467.22,428.41,428.41
12,Long-Term Investments,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,161.95,163.05,164.21,129.6,96.58,95.83,-,97.22,-,98.61,-,99.64,99.64,100.32,100.32
14,Long-Term Accounts Receivable,-,460.3,-,346.51,-,273.68,-,178.27,-,-,-,80.86,-,-,-
15,Long-Term Deferred Tax Assets,45.69,44.89,41.25,39.25,36.57,27.26,-,22.83,-,14.89,-,13.21,13.21,10.47,10.47
16,Long-Term Deferred Charges,10.16,10.77,11.04,11.83,16.48,8.62,-,7.53,-,7.21,-,3.69,3.69,2.58,2.58
17,Other Long-Term Assets,545.35,18.72,411.89,12.65,345.28,18.89,-,3.12,-,99.53,-,2.32,83.18,80.77,80.77
18,Total Assets,8520,7867,7828,7836,7736,7210,-,3797,-,2869,-,2637,2637,2235,2235
19,Accounts Payable,3114,2634,2600,2905,2666,2361,-,1992,-,1325,-,1000,1022,792.26,792.26
20,Accrued Expenses,95.29,96.73,49.71,97.57,62.25,131.04,-,65.6,-,40.69,-,70.26,49.09,40.18,40.18
21,Short-Term Debt,37,37,116,9.7,61.9,66.37,-,58.67,-,188.88,-,218,218,217.63,217.63
22,Current Portion of Long-Term Debt,8.57,3.98,12.42,4.33,325.93,77.14,-,58.66,-,36.51,-,36.75,36.75,32.48,32.48
23,Current Portion of Leases,-,8.83,-,6.06,-,4.75,-,-,-,-,-,-,-,-,-
24,Current Income Taxes Payable,71.98,20.2,16.1,38.44,43.09,16.37,-,14.2,-,8.7,-,7.87,7.87,8.29,8.29
25,Current Unearned Revenue,393.02,357.46,442.05,309.7,228.3,163.53,-,149.88,-,94.99,-,111.56,111.56,137.41,137.41
26,Other Current Liabilities,321.97,189.79,227.68,189.3,220.38,182.51,-,156,-,71.81,-,167.38,167.38,99.2,99.2
27,Total Current Liabilities,4042,3348,3464,3561,3608,3002,-,2495,-,1766,-,1612,1612,1327,1327
