,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,15925,12020,9382,10605,8854,8941,10178,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,34.43%,34.43%,-7.82%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,13985,9627,6670,7870,6119,6141,10330,-,-,-,-,-,-,-,-,-
3,Last Close Price,51.01,38.50,29.47,33.31,27.81,28.00,31.87,-,-,-,-,-,-,-,-,-
4,PE Ratio,25.82,19.56,16.17,19.59,17.86,21.65,30.70,-,-,-,-,-,-,-,-,-
5,Forward PE,24.52,18.98,13.66,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.78,2.10,1.70,2.01,1.79,1.96,2.55,-,-,-,-,-,-,-,-,-
7,PB Ratio,3.58,2.70,2.11,2.47,2.10,2.20,2.61,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.81,2.81,2.19,2.57,2.17,2.26,2.67,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-125.88,-,-,35.89,-,34.82,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,133.82,140.39,-,-,27.23,-,31.63,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.44,1.68,1.21,1.49,1.23,1.35,2.59,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,19.90,13.85,10.22,12.54,10.70,12.43,25.60,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,21.00,14.51,10.72,13.14,11.25,13.15,27.31,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-153.32,-100.82,-,-,24.80,-,35.34,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.02,0.04,0.02,0.11,0.11,0.45,0.45,-,0.65,0.81,0.81,0.81,0.89,0.89
16,Debt / EBITDA Ratio,0.08,0.06,0.13,0.36,0.09,0.53,0.77,1.71,1.25,-,1.26,7.29,2.27,2.25,3.00,3.00
17,Debt / FCF Ratio,-,-0.58,-,-,0.26,-,1.50,-,2.04,-,-,-,-1.95,-1.94,-,-
18,Asset Turnover,0.79,0.73,0.53,0.85,0.75,-,-,-,-,-,-,1.02,1.11,0.61,-,
19,Inventory Turnover,4.09,4.27,4.45,3.21,5.43,4.79,-,-,-,-,-,-,5.61,5.29,2.34,-
20,Quick Ratio,1.32,1.32,1.64,1.63,1.61,1.59,1.79,-,0.93,-,0.94,-,0.94,0.93,0.82,0.82
21,Current Ratio,1.77,1.77,1.97,1.93,1.91,1.87,2.10,-,1.21,-,1.23,-,1.22,1.22,1.22,1.22
22,Return on Equity (ROE),17.02%,14.31%,8.44%,17.31%,15.58%,19.33%,18.11%,-,-,43.72%,7.66%,26.56%,28.45%,22.37%,-,
23,Return on Assets (ROA),7.30%,4.98%,3.55%,5.04%,6.61%,-,-,-,-,-,-,5.47%,5.92%,4.59%,-,
24,Return on Capital (ROIC),13.23%,8.68%,6.35%,8.94%,11.18%,11.60%,10.05%,-,-,18.69%,2.92%,11.35%,11.91%,8.92%,-,
25,Return on Capital Employed (ROCE),14.87%,14.82%,13.77%,13.72%,12.73%,11.31%,8.99%,-,23.06%,-,20.59%,-,19.29%,13.65%,9.05%,4.53%
26,Earnings Yield,3.87%,5.11%,6.19%,5.11%,5.60%,4.62%,3.26%,-,-,-,-,-,-,-,-,-
27,FCF Yield,-0.57%,-0.79%,-3.84%,1.58%,2.79%,2.60%,2.87%,-,-,-,-,-,-,-,-,-
28,Dividend Yield,1.45%,-,-,-,2.59%,-,0.25%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,36.88%,105.79%,0.34%,0.30%,14.75%,2.21%,3.35%,8.59%,4.54%,6.41%,-,-,18.63%,18.63%,-,-
30,Buyback Yield / Dilution,-23.00%,0.07%,-27.65%,-38.63%,-32.57%,-30.89%,-1.34%,-,-1.63%,-1.77%,0.33%,-,-,-,-,-
31,Total Shareholder Return,-21.55%,0.07%,-27.65%,-38.63%,-29.98%,-30.89%,-1.09%,-,-1.63%,-1.77%,0.33%,-,-,-,-,-
