,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1663,1393,1034,1600,1427,1178,706.81,1203,837.86,768.51,384.11,701.73,657.46,335.42,335.42
1,Other Revenue,-45.31,45.31,-,44.99,-18.28,18.28,-,42.22,-,-,-,-26.84,17.43,4.71,4.71
2,Revenue,1617,1438,1034,1645,1408,1196,706.81,1245,837.86,768.51,384.11,674.89,674.89,340.13,340.13
3,Revenue Growth (YoY),14.85%,20.25%,46.35%,32.09%,68.09%,55.66%,84.02%,84.54%,24.15%,125.95%,12.93%,-,-,-,-
4,Cost of Revenue,1222,1130,795.82,1311,1058,929.33,565.16,1006,652.63,531.56,369.27,540.33,540.33,252.35,252.35
5,Gross Profit,395.8,308.41,238.59,334.16,350.43,266.91,141.65,239.75,185.23,236.94,14.84,134.56,134.56,87.78,87.78
6,"Selling, General & Admin",100.71,81.94,89.63,98.6,82.5,69.91,60.28,62.9,52.51,83.83,-,43,43,31.61,31.61
7,Research & Development,49.24,45.33,43.19,58.57,43.39,39.12,21.09,45.28,19.21,40.29,-,20.38,20.38,12.99,12.99
8,Other Operating Expenses,-3.3,-1.23,-3.72,-13,3.15,-1.04,1.91,12.34,1.14,1.91,-,4.01,4.01,0.14,0.14
9,Operating Expenses,156.54,151.97,127.46,177.33,152.87,133.68,85.23,160.06,76.32,140.09,-,76.83,76.83,46.69,46.69
