,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,286.81,320.68,206.01,183.49,305.41,291.43,201.97,146.97,268.16,292.31,173.63,190.39,190.39,213.4,213.4
1,Other Revenue,-1.36,1.36,-,7.47,-5.76,5.76,-,0.72,-0.12,0.12,-,0.03,0.03,0.03,0.03
2,Revenue,285.45,322.04,206.01,190.96,299.65,297.19,201.97,147.69,268.04,292.42,173.63,190.41,190.41,213.42,213.42
3,Revenue Growth (YoY),-4.74%,8.36%,2.00%,29.30%,11.79%,1.63%,16.32%,-22.44%,40.77%,37.02%,-18.65%,-,-,-,-
4,"Selling, General & Admin",7.96,8.3,6.04,15.15,8.14,8.18,4.45,19.08,7.91,7.16,2.89,7.73,7.73,5.28,5.28
5,Provision for Bad Debts,61.11,55.63,15.34,80.54,31.01,67.03,32.63,-42.88,16.08,72.26,32.22,9.68,9.68,42.93,42.93
6,Other Operating Expenses,119.01,120.6,115.52,139.61,105.2,97.28,91.97,119.83,86.34,88.27,80.14,83.6,83.6,75.9,75.9
7,Total Operating Expenses,190.21,185.62,137.28,236.63,146.38,172.49,129.43,96.82,110.42,167.68,115.26,101.04,101.04,124.16,124.16
8,Operating Income,95.24,136.42,68.73,-45.67,153.26,124.7,72.54,50.87,157.62,124.74,58.37,89.38,89.38,89.26,89.26
9,Interest Expense,-50.49,-48.33,-48.64,-47.86,-46.68,-45.29,-46.04,-53.31,-50.75,-48.55,-48.48,-51.91,-51.91,-50.94,-50.94
