,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,367.26,329.96,627.23,447.49,691.74,837.36,880.28,1159,-,326.16,-,566.87,566.87,-,-
1,Trading Asset Securities,-,-,-,-,-,-,40.04,60.03,-,20,-,-,-,-,-
2,Accounts Receivable,2004,1973,1836,1721,1758,1665,1577,1492,-,1624,-,1402,1402,-,-
3,Other Receivables,34.61,29.06,27.88,26.15,11.26,12.78,10.05,15.73,-,9.07,-,2.83,2.83,-,-
4,Inventory,-,-,-,0.33,-,-,-,-,-,-,-,-,-,-,-
5,Other Current Assets,405.43,298.48,204.14,204.88,165.61,154.59,179.18,165.59,-,113.22,-,208.18,208.18,-,-
6,Total Current Assets,2811,2631,2695,2400,2626,2669,2686,2892,-,2093,-,2180,2180,-,-
7,"Property, Plant & Equipment",7859,6782,6474,6568,6436,6396,5810,5598,-,5170,-,4755,4755,-,-
8,Goodwill,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.01,-,0.01,0.01,-,-
9,Other Intangible Assets,247.91,249.59,251.35,253.1,252.83,251.14,244.98,241.72,-,93.05,-,91.61,91.61,-,-
10,Long-Term Investments,320,108,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Long-Term Deferred Tax Assets,99.73,91.51,83.07,83.14,77.11,70.63,61.13,52.28,-,54.34,-,25.6,25.6,-,-
12,Long-Term Deferred Charges,0.76,0.46,0.54,0.58,0.4,0.43,0.54,0.66,-,0.48,-,0.64,0.64,-,-
13,Other Long-Term Assets,1514,856.55,418.64,328.15,318.78,309.78,464.77,372.87,-,208.13,-,25.22,25.22,-,-
14,Total Assets,12852,10719,9922,9632,9712,9697,9268,9158,-,7619,-,7078,7078,-,-
15,Accounts Payable,688.01,373.98,455.96,535.04,593.05,610.75,463.71,353.54,-,492.37,-,362.39,362.39,-,-
16,Accrued Expenses,0.71,20,1.02,29.35,2.17,21.78,6.54,27.14,-,14.7,-,17.3,17.3,-,-
17,Short-Term Debt,1117,-,-,-,178.24,184.64,213.82,124.68,-,100.39,-,19.02,19.02,-,-
18,Current Portion of Long-Term Debt,864.76,779.48,728.35,727.78,608.98,614.22,559.52,725.05,-,639.8,-,493.19,493.19,-,-
19,Current Unearned Revenue,-,0.06,-,-,-,-,-,-,-,-,-,0.1,0.1,-,-
20,Current Portion of Leases,-,2.75,-,2.99,-,5.46,-,4.83,-,1.38,-,1.37,1.37,-,-
21,Current Income Taxes Payable,30.91,23.32,42.04,27.47,38.36,23.49,28.64,17.76,-,21.11,-,6.14,6.14,-,-
22,Other Current Liabilities,1.64,0.93,0.96,1.31,9.2,9.43,8.38,9.14,-,15.87,-,15.25,15.25,-,-
23,Total Current Liabilities,2703,1201,1228,1324,1430,1470,1281,1262,-,1286,-,914.76,914.76,-,-
24,Long-Term Debt,7090,6500,5673,5300,5195,5240,5020,4972,-,4284,-,4207,4207,-,-
25,Long-Term Leases,7.32,6.91,8.72,11.31,15.87,15.94,16.67,13.81,-,11.18,-,10.06,10.06,-,-
26,Long-Term Deferred Tax Liabilities,1.11,1.11,1.35,1.37,3.97,3.97,3.91,0.88,-,0.01,-,0,0,-,-
27,Other Long-Term Liabilities,45.49,45.99,46.85,47.36,48.56,49.06,49.57,40.4,-,1.43,-,1.48,1.48,-,-
28,Total Liabilities,9847,7754,6958,6684,6694,6779,6371,6289,-,5582,-,5134,5134,-,-
29,Common Stock,933.33,933.33,933.33,933.33,933.33,933.33,933.33,933.33,-,700,-,700,700,-,-
30,Additional Paid-In Capital,1246,1246,1246,1246,1246,1246,1246,1246,-,752.6,-,752.6,752.6,-,-
31,Retained Earnings,817.59,779.08,776.77,762.69,826.34,728.03,713.03,686.28,-,582.82,-,490.47,490.47,-,-
32,Comprehensive Income & Other,2.41,0.14,2.03,-,5.42,4.85,3.38,2.21,-,-,-,-,-,-,-
33,Total Common Equity,2999,2958,2958,2942,3011,2912,2895,2867,-,2035,1943,1943,1943,-,1739
34,Minority Interest,6.32,6.48,6.45,6.84,7.13,6.5,1.48,1.5,-,1.59,-,1.56,1.56,-,-
35,Shareholders' Equity,3005,2965,2964,2948,3018,2918,2897,2869,-,2037,1945,1945,1945,-,1741
36,Total Liabilities & Equity,12852,10719,9922,9632,9712,9697,9268,9158,-,7619,-,7078,7078,-,-
37,Total Debt,9079,7289,6410,6042,5999,6060,5810,5840,-,5037,4731,4731,4731,-,4313
38,Net Cash (Debt),-8712,-6959,-5783,-5594,-5307,-5223,-4890,-4621,-,-4690,-4164,-4164,-4164,-,-3879
39,Net Cash Per Share,-9.12,-6.23,-8.21,-5.43,-5.23,-5.53,-5.59,-5.29,-,-6.55,-5.88,-6.13,-6.13,-,-5.20
40,Filing Date Shares Outstanding,933.33,933.33,933.33,933.33,933.33,933.33,933.33,933.33,837.62,700,708.65,679.41,679.41,745.38,745.38
41,Total Common Shares Outstanding,933.33,933.33,933.33,933.33,933.33,933.33,933.33,933.33,837.62,700,708.65,679.41,679.41,745.38,745.38
42,Working Capital,107.77,1430,1466,1076,1196,1200,1406,1630,-,807.17,-,1265,1265,-,-
43,Book Value Per Share,3.21,3.17,3.17,3.15,3.23,3.12,3.10,3.07,-,2.91,2.86,2.86,2.86,-,2.48
44,Tangible Book Value,2751,2708,2706,2688,2758,2661,2650,2626,-,1942,1851,1851,1851,-,1648
45,Tangible Book Value Per Share,2.95,2.90,2.90,2.88,2.95,2.85,2.84,2.81,-,2.77,2.73,2.73,2.73,-,2.35
46,Buildings,-,889.78,-,867.09,-,706.75,-,697.9,-,676.29,-,662.34,662.34,-,-
47,Machinery,-,7062,-,6912,-,5467,-,5259,-,5020,-,4947,4947,-,-
48,Construction In Progress,-,833.73,-,594.84,-,1843,-,1116,-,811.89,-,360.56,360.56,-,-
