,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6095,6291,6468,6263,7541,7663,8857,9539,9763,10575,-,-,-,-,-,-
1,Market Cap Growth,-17.90%,-17.90%,-26.98%,-34.34%,-22.75%,-27.54%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,14813,13256,12257,11864,12855,12892,13749,13736,13960,15267,-,-,-,-,-,-
3,PE Ratio,93.53,94.69,51.24,50.89,-,37.23,43.54,49.20,49.81,47.53,-,-,-,-,-,-
4,PS Ratio,6.19,6.26,6.35,6.30,7.62,8.10,9.68,10.48,11.07,11.44,-,-,-,-,-,-
5,PB Ratio,2.03,2.09,2.18,2.11,2.56,2.54,3.04,3.29,3.40,-,-,-,-,-,-,-
6,P/FCF Ratio,-,-,-,-,-,-9.59,-,-,-,-,-,-,-,-,-,-
7,P/OCF Ratio,16.66,16.66,16.72,14.05,14.96,10.16,10.82,11.27,12.02,18.07,-,-,-,-,-,-
8,EV/Sales Ratio,14.75,13.20,12.03,11.94,12.99,13.62,15.03,15.09,15.83,16.51,-,-,-,-,-,-
9,EV/EBITDA Ratio,25.01,22.53,19.15,19.60,21.33,18.61,19.86,20.01,20.91,21.67,-,-,-,-,-,-
10,EV/EBIT Ratio,58.15,52.04,39.19,39.41,-,32.12,33.89,33.85,35.65,35.49,-,-,-,-,-,-
11,EV/FCF Ratio,-5.13,-,-,-,-,-16.14,-,-,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,3.02,3.02,2.46,2.16,2.05,1.99,2.08,2.01,2.04,-,2.47,2.43,2.43,2.43,-,2.48
13,Debt / EBITDA Ratio,15.33,13.07,7.68,10.89,40.52,6.66,7.47,10.05,11.55,-,6.43,9.41,7.33,7.33,-,7.03
14,Debt / FCF Ratio,-,-,-,-,-,-7.51,-,-,-,-,-,-,-,-,-,-
15,Quick Ratio,0.89,0.89,1.94,2.03,1.66,1.72,1.71,1.96,2.16,-,1.54,-,2.16,2.16,-,-
16,Current Ratio,1.04,1.04,2.19,2.19,1.81,1.84,1.82,2.10,2.29,-,1.63,-,2.38,2.38,-,-
17,Asset Turnover,0.10,0.12,0.08,0.08,0.12,0.13,0.09,-,-,-,-,0.11,-,-,-,
18,Return on Equity (ROE),5.14%,10.39%,1.85%,-8.50%,13.33%,10.16%,3.64%,-,-,12.92%,5.82%,6.99%,-,-,-,
19,Return on Assets (ROA),2.02%,3.30%,1.76%,-1.18%,3.95%,3.29%,1.97%,-,-,-,-,3.16%,-,-,-,
20,Return on Capital (ROIC),2.13%,3.48%,1.87%,-1.27%,4.26%,3.53%,2.08%,-,-,4.54%,2.19%,3.35%,-,-,-,
21,Return on Capital Employed (ROCE),2.51%,2.51%,3.29%,3.46%,-,4.85%,4.93%,5.08%,4.96%,-,5.71%,-,5.80%,4.35%,-,-
22,Earnings Yield,1.09%,1.06%,1.95%,1.97%,1.79%,2.69%,2.30%,2.03%,2.01%,2.10%,-,-,-,-,-,-
23,Earnings Yield,1.09%,1.06%,1.95%,1.97%,1.79%,2.69%,2.30%,2.03%,2.01%,2.10%,-,-,-,-,-,-
24,FCF Yield,-47.34%,-45.86%,-19.77%,-7.93%,-8.62%,-10.42%,-11.02%,-11.31%,-9.50%,-5.03%,-,-,-,-,-,-
25,Dividend Yield,1.23%,-,-,-,1.00%,-,-,-,0.61%,-,-,-,-,-,-,-
26,Payout Ratio,424.53%,150.30%,161.01%,361.34%,-,55.46%,147.83%,204.56%,802.30%,54.59%,81.47%,193.15%,150.68%,150.68%,136.37%,136.37%
27,Buyback Yield / Dilution,-2.67%,5.84%,-18.27%,19.49%,-17.85%,-21.12%,-31.92%,-23.39%,-28.62%,-23.29%,3.95%,4.93%,-,-,-,-
28,Total Shareholder Return,-1.44%,5.84%,-18.27%,19.49%,-16.85%,-21.12%,-31.92%,-23.39%,-28.01%,-23.29%,3.95%,4.93%,-,-,-,-
