,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Operating Revenue,181.14,143.44,140.15,139.16,296.41,173.97,236.15,218.75,293.75
1,Other Revenue,-,-0.3,0.3,-,0.78,-0.16,0.16,-,0.98
2,Revenue,181.14,143.14,140.45,139.16,297.19,173.82,236.3,218.75,294.72
3,Revenue Growth (YoY),-39.05%,-17.65%,-40.56%,-36.38%,0.84%,-,-,-,-
4,Cost of Revenue,-96.51,23.77,43.91,28.83,87.7,35.73,56.94,44.15,71.34
5,Gross Profit,277.65,119.36,96.54,110.33,209.48,138.09,179.36,174.6,223.38
6,"Selling, General & Admin",-116.02,41.47,40.69,33.86,46.59,42.62,38.03,38.16,35.02
7,Research & Development,-121.25,47.84,37.97,35.44,44.92,45.79,58.09,46.97,70.95
8,Other Operating Expenses,500.18,-27.71,-3.91,0.8,3.71,-11.05,1.53,-4.22,6.23
9,Operating Expenses,242.31,63.43,91.71,71.91,106.6,78.7,104.38,90.06,104.92
10,Operating Income,35.34,55.93,4.83,38.42,102.88,59.39,74.97,84.54,118.46
11,Interest Expense,-8.4,-1.56,-2.36,-2.74,-3.11,-3.37,-2.47,-2.4,-2.17
12,Interest & Investment Income,6.66,3.08,4.36,0.96,0.17,0.18,0.34,0.41,0.23
13,Earnings From Equity Investments,-,2.01,-1.06,-0.95,-0.36,0.14,-0.02,-0.12,0
14,Currency Exchange Gain (Loss),-,-0,0,-,-0,0,-0,-,-
15,Other Non Operating Income (Expenses),0.41,-2.49,2.75,-0.02,0.39,-1.56,1.43,-0.01,-0.75
16,EBT Excluding Unusual Items,34.01,56.96,8.53,35.67,99.97,54.8,74.23,82.41,115.78
17,Gain (Loss) on Sale of Investments,1.91,-2.03,0.12,-,-0.44,-0,-,-,-0.03
18,Gain (Loss) on Sale of Assets,-0,0.01,-0.01,-,-0,-,-,-,-0.04
19,Asset Writedown,7.59,-7.59,-1.13,1.13,2.16,-2.16,0.38,-0.38,-0.2
20,Other Unusual Items,-,-33.95,8.37,25.58,21.28,-1.23,1.23,-,-4.08
21,Pretax Income,43.51,13.4,15.88,62.38,122.97,51.41,75.85,82.03,111.44
22,Income Tax Expense,15.61,-4.71,-0.14,3.02,6.95,1.51,1.27,6.03,7.1
23,Earnings From Continuing Operations,27.9,18.11,16.02,59.36,116.02,49.9,74.58,76,104.35
24,Minority Interest in Earnings,5.53,-3.44,-1.36,-0.74,-0.34,-1.72,-2.34,-1.03,-4.69
25,Net Income,33.43,14.67,14.66,58.63,115.67,48.18,72.24,74.96,99.65
26,Net Income to Common,33.43,14.67,14.66,58.63,115.67,48.18,72.24,74.96,99.65
27,Net Income Growth,-71.10%,-69.54%,-79.71%,-21.79%,16.08%,-,-,-,-
28,Shares Outstanding (Basic),543,663,635,586,555,538,555,535,561
29,Shares Outstanding (Diluted),543,663,635,586,555,538,555,535,561
30,Shares Change (YoY),-2.12%,23.35%,14.44%,9.49%,-1.16%,-,-,-,-
31,EPS (Basic),0.06,0.02,0.02,0.10,0.21,0.09,0.13,0.14,0.18
32,EPS (Diluted),0.06,0.02,0.02,0.10,0.21,0.09,0.13,0.14,0.18
33,EPS Growth,-70.48%,-75.31%,-82.27%,-28.57%,17.44%,-,-,-,-
34,Free Cash Flow,-,-127,18.28,-77.41,7.06,-24.7,43.95,-80.07,135.87
35,Free Cash Flow Per Share,-,-0.19,0.03,-0.13,0.01,-0.05,0.08,-0.15,0.24
36,Dividend Per Share,-,-,-,-,0.112,-,-,-,-
37,Gross Margin,153.28%,83.39%,68.74%,79.28%,70.49%,79.44%,75.90%,79.82%,75.79%
38,Operating Margin,19.51%,39.08%,3.44%,27.61%,34.62%,34.17%,31.73%,38.65%,40.20%
39,Profit Margin,18.45%,10.25%,10.44%,42.13%,38.92%,27.72%,30.57%,34.27%,33.81%
40,Free Cash Flow Margin,-,-88.73%,13.01%,-55.62%,2.38%,-14.21%,18.60%,-36.60%,46.10%
41,EBITDA,41.74,62.34,10.53,44.83,109.29,65.02,81.71,90.17,124.1
42,EBITDA Margin,23.04%,43.55%,7.49%,32.21%,36.77%,37.41%,34.58%,41.22%,42.11%
43,D&A For EBITDA,6.41,6.41,5.7,6.41,6.41,5.64,6.74,5.64,5.64
44,EBIT,35.34,55.93,4.83,38.42,102.88,59.39,74.97,84.54,118.46
45,EBIT Margin,19.51%,39.08%,3.44%,27.61%,34.62%,34.17%,31.73%,38.65%,40.20%
46,Effective Tax Rate,35.88%,-,-,4.84%,5.65%,2.94%,1.67%,7.36%,6.37%
47,Revenue as Reported,-,143.14,140.45,139.16,297.19,173.82,236.3,218.75,294.72
