,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,-,863.62,1037,1579,165.35,272.48,299.16,-,196.13
1,Trading Asset Securities,-,150.64,150.12,-,-,-,-,-,-
2,Cash & Short-Term Investments,1014,1014,1187,1579,165.35,272.48,299.16,196.13,196.13
3,Cash Growth,513.39%,272.23%,296.74%,704.89%,-15.69%,-,-,-,-
4,Accounts Receivable,-,1162,1132,1167,1133,1023,979.43,-,846.14
5,Other Receivables,-,9.82,5.99,4.75,5.26,3.84,5.08,-,5.17
6,Receivables,-,1171,1138,1172,1138,1027,984.51,-,851.31
7,Inventory,-,421.91,386.88,354.28,336.28,369.11,353.29,-,302.13
8,Other Current Assets,-,152.61,78.8,73.81,48.75,72.48,70.05,-,68.05
9,Total Current Assets,-,2760,2790,3179,1689,1741,1707,-,1418
10,"Property, Plant & Equipment",-,510.05,455.56,437.28,438.28,429.19,362.39,-,343.94
11,Long-Term Investments,-,20.94,21.49,22.55,23.49,23.85,23.71,-,23.86
12,Other Intangible Assets,-,72.6,73.02,73.96,70.79,71.52,72.09,-,73.76
13,Long-Term Deferred Tax Assets,-,42.81,40.53,35.67,35.13,34.69,34.73,-,26.48
14,Long-Term Deferred Charges,-,0.01,0.02,0.17,0.58,1,1.42,-,2.25
15,Other Long-Term Assets,-,35.98,40.11,44.21,17.11,5.25,7.79,-,27.08
16,Total Assets,-,3443,3421,3792,2274,2306,2209,-,1915
17,Accounts Payable,-,274.51,224.66,238.08,199.72,272.78,205.09,-,200.34
18,Accrued Expenses,-,43,46.4,32.67,103.61,74.14,63.36,-,89.56
19,Short-Term Debt,-,100,8.01,320.21,330.22,430.26,428.24,-,272.35
20,Current Portion of Long-Term Debt,-,138.45,154.52,77.38,77.42,-,16.77,-,0.22
21,Current Portion of Leases,-,-,2.58,-,0.06,-,3.79,-,5.89
22,Current Income Taxes Payable,-,14.84,4.5,9.05,9.97,14.58,22.23,-,10.81
23,Current Unearned Revenue,-,7.04,11.2,9.88,7.02,10.44,10.07,-,12.85
24,Other Current Liabilities,-,6.56,5.94,3.67,7.43,28.68,8.57,-,6.17
25,Total Current Liabilities,-,584.41,457.82,690.95,735.45,830.88,758.14,-,598.2
26,Long-Term Debt,-,74.6,205.66,292,214.4,282.48,282.48,-,306.3
27,Long-Term Leases,-,1.87,1.35,2.74,2.51,2.59,2.95,-,1.75
28,Long-Term Unearned Revenue,-,43.53,43.53,43.99,41.04,41.69,51.94,-,44.63
29,Long-Term Deferred Tax Liabilities,-,0.57,0.61,0.52,0.6,0.87,0.98,-,0.95
30,Other Long-Term Liabilities,-,-44.66,-45.88,-44.51,-44.91,-51.22,-29.91,-,-16.08
31,Total Liabilities,-,660.32,663.09,985.7,949.09,1107,1067,-,935.75
32,Common Stock,-,636.85,636.85,636.85,541.25,541.25,541.25,-,541.25
33,Additional Paid-In Capital,-,1487,1481,1474,147.51,137.24,130.87,-,118.12
34,Retained Earnings,-,640.69,626.01,682.68,624.06,508.38,460.2,-,312.99
35,Total Common Equity,2764,2764,2743,2794,1313,1187,1132,972.36,972.36
36,Minority Interest,-,17.84,14.41,13.05,12.31,11.97,10.25,-,6.89
37,Shareholders' Equity,2782,2782,2758,2807,1325,1199,1143,979.25,979.25
38,Total Liabilities & Equity,-,3443,3421,3792,2274,2306,2209,-,1915
39,Total Debt,314.91,314.91,372.12,692.34,624.62,715.33,734.24,586.52,586.52
40,Net Cash (Debt),699.34,699.34,814.75,886.32,-459.26,-442.85,-435.08,-390.39,-390.39
41,Net Cash Per Share,1.29,1.05,1.28,1.51,-0.83,-0.82,-0.78,-0.73,-0.70
42,Filing Date Shares Outstanding,542.9,636.85,636.85,636.85,636.85,541.25,541.25,535.46,541.25
43,Total Common Shares Outstanding,542.9,636.85,636.85,636.85,541.25,541.25,541.25,535.46,541.25
44,Working Capital,-,2176,2332,2488,953.37,909.73,948.87,-,819.44
45,Book Value Per Share,4.34,4.34,4.31,4.39,2.43,2.19,2.09,1.80,1.80
46,Tangible Book Value,2692,2692,2670,2720,1242,1115,1060,898.61,898.61
47,Tangible Book Value Per Share,4.23,4.23,4.19,4.27,2.29,2.06,1.96,1.66,1.66
48,Buildings,-,-,6.94,-,6.94,-,6.94,-,6.94
49,Machinery,-,-,192.51,-,174.53,-,163.54,-,138.13
50,Construction In Progress,-,-,362.18,-,352.15,-,273.38,-,268.38
