,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,23812,19666,12005,12304,13539,-,-,-,-,-
1,Enterprise Value,23130,18984,11204,11431,13994,-,-,-,-,-
2,Last Close Price,37.39,30.88,18.85,19.32,21.15,-,-,-,-,-
3,PE Ratio,186.95,162.01,58.95,51.88,45.94,-,-,-,-,-
4,Forward PE,52.66,45.16,29.34,31.29,37.46,-,-,-,-,-
5,PS Ratio,37.58,32.57,16.67,16.39,16.00,-,-,-,-,-
6,PB Ratio,8.61,7.07,4.31,4.46,4.82,-,-,-,-,-
7,P/TBV Ratio,7.31,7.31,4.46,4.61,4.98,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-160.29,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,194.95,-,-,-,-,-,-
10,EV/Sales Ratio,38.30,31.44,15.56,15.23,16.53,-,-,-,-,-
11,EV/EBITDA Ratio,144.43,119.07,49.36,49.77,46.52,-,-,-,-,-
12,EV/EBIT Ratio,171.94,141.12,55.45,55.62,50.77,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-148.91,-,-,-,-,-,-
14,Debt / Equity Ratio,0.11,0.11,0.11,0.13,0.25,0.47,0.60,0.64,0.60,0.60
15,Debt / EBITDA Ratio,1.97,1.89,1.26,7.31,3.86,1.35,2.75,2.16,1.63,1.13
16,Debt / FCF Ratio,-,-,-,-4.85,-,-11.62,-,7.36,-,4.32
17,Asset Turnover,-,0.17,0.16,0.18,0.52,0.31,-,-,-,
18,Inventory Turnover,-,-,0.24,0.47,0.33,0.99,0.40,-,-,-
19,Quick Ratio,-,-,3.74,5.08,3.98,1.77,1.56,1.69,-,1.75
20,Current Ratio,-,-,4.72,6.09,4.60,2.30,2.09,2.25,-,2.37
21,Return on Equity (ROE),4.01%,2.61%,2.30%,11.49%,36.77%,17.05%,28.12%,31.04%,-,
22,Return on Assets (ROA),-,4.07%,0.33%,3.17%,11.23%,6.58%,-,-,-,
23,Return on Capital (ROIC),2.85%,4.49%,0.36%,3.53%,13.31%,7.83%,10.89%,13.50%,-,
24,Return on Capital Employed (ROCE),-,-,7.07%,6.94%,8.89%,20.91%,22.87%,19.16%,-,9.00%
25,Earnings Yield,0.51%,0.62%,1.70%,1.93%,2.18%,-,-,-,-,-
26,FCF Yield,-,-1.49%,-0.62%,-0.38%,-,-,-,-,-,
27,Payout Ratio,0.00%,-,9.12%,504.47%,4.55%,2.65%,6.30%,3.51%,3.07%,2.10%
28,Buyback Yield / Dilution,-11.21%,2.12%,-23.35%,-14.44%,-9.49%,1.16%,-,-,-,-
29,Total Shareholder Return,-10.92%,2.12%,-23.35%,-14.44%,-9.49%,1.16%,-,-,-,-
