,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q1 2020,Q4 2019,+14 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+14 Quarters
0,Market Capitalization,172500,171000,174000,181500,163500,159000,180000,181500,162000,150000,190500,193500,195000,199500,196500,150000,141000,123000,114000,79500,97500,Upgrade
1,Market Cap Growth,7.55%,7.55%,-3.33%,0%,0.93%,6.00%,-5.51%,-6.20%,-16.92%,-24.81%,-3.05%,29.00%,38.30%,62.20%,72.37%,88.68%,44.62%,22.39%,-2.56%,-23.19%,-30.11%,Upgrade
2,Enterprise Value,106047,37744,67685,93599,75599,30651,69083,70471,60111,20487,46531,56163,102554,99919,162389,115889,86103,78806,66904,42394,51685,Upgrade
3,Last Close Price,11500.00,11400.00,11600.00,11175.28,10066.99,9789.92,10168.59,10253.32,9151.73,8473.82,10016.71,10174.45,10253.32,10489.94,9464.61,7224.89,6791.40,5924.41,4949.05,3451.31,4232.74,Upgrade
4,PE Ratio,11.73,9.96,10.39,11.21,9.02,8.98,7.72,8.47,8.25,8.23,11.82,12.13,12.18,12.00,10.03,7.27,7.17,5.46,6.70,5.23,3.33,Upgrade
5,PS Ratio,0.58,0.44,0.50,0.53,0.49,0.52,0.59,0.63,0.61,0.58,0.83,0.83,0.86,0.84,0.72,0.55,0.52,0.42,0.49,0.36,0.33,Upgrade
6,PB Ratio,1.14,0.90,0.95,1.01,0.87,0.84,0.98,1.01,0.85,0.79,-,1.10,1.04,1.06,1.10,-,0.74,0.64,0.63,0.43,0.53,Upgrade
7,P/TBV Ratio,0.90,0.90,0.95,1.01,0.87,0.84,0.98,1.01,0.85,0.79,-,1.10,1.04,1.06,1.10,-,0.74,0.64,0.63,0.43,0.53,Upgrade
8,P/FCF Ratio,-,-,12.76,47.30,-33.84,-,8.19,-,-54.85,-,-,3.32,2.23,8.94,-,4.21,-,3.62,-,2.57,3.79,Upgrade
9,P/OCF Ratio,-,-,8.75,15.45,71.74,-,7.06,-,-73.26,-,-,3.14,2.15,7.91,-,4.21,-,3.62,-,2.57,3.79,Upgrade
10,EV/Sales Ratio,0.28,0.10,0.20,0.27,0.23,0.10,0.23,0.24,0.23,0.08,0.20,0.24,0.45,0.42,0.59,0.43,0.32,0.27,0.29,0.19,0.18,Upgrade
11,EV/EBITDA Ratio,4.35,1.65,2.98,4.09,3.16,1.28,2.35,2.90,2.61,0.95,2.21,2.50,4.24,3.87,5.57,3.72,2.77,2.23,2.16,1.44,1.10,Upgrade
12,EV/EBIT Ratio,5.15,1.98,3.58,4.94,3.83,1.57,2.83,3.71,3.47,1.32,3.14,3.52,5.83,5.31,7.57,5.11,3.96,3.11,3.25,2.25,1.42,Upgrade
13,EV/FCF Ratio,-8.08,-,4.96,24.39,-15.65,-,3.14,-,-20.35,-,-,0.96,1.17,4.48,-,3.26,-,2.32,-,1.37,2.01,Upgrade
14,Asset Turnover,2.38,1.02,-,-,1.84,0.89,0.92,0.41,-,-,0.54,0.36,0.89,-,-,0.41,1.10,-,0.12,0.09,Upgrade,
15,Inventory Turnover,14.93,36.68,18.97,-,-,17.85,10.37,12.72,5.10,-,-,13.76,9.76,23.45,-,-,10.49,17.85,-,0.12,0.08,Upgrade
16,Quick Ratio,2.16,2.16,2.77,2.90,-,2.52,2.34,2.36,1.53,1.50,-,1.51,1.58,1.55,1.51,-,1.47,1.44,1.34,1.39,0.14,Upgrade
17,Current Ratio,2.41,2.41,3.06,3.10,-,2.89,2.74,2.66,1.65,1.58,-,1.56,1.64,1.59,1.57,-,1.53,1.49,1.46,1.47,1.05,Upgrade
18,Return on Equity (ROE),12.24%,8.90%,6.76%,9.16%,11.36%,7.69%,10.92%,8.22%,-,-,7.18%,5.27%,19.20%,-,-,6.47%,25.32%,-,5.07%,13.06%,Upgrade,
19,Return on Assets (ROA),4.99%,5.99%,-,-,4.99%,5.67%,2.78%,2.51%,-,-,1.29%,1.52%,5.66%,-,-,2.01%,6.45%,-,0.42%,0.62%,Upgrade,
20,Return on Capital (ROIC),7.28%,8.21%,4.14%,6.10%,7.13%,8.27%,5.16%,5.73%,-,-,2.94%,3.43%,13.09%,-,-,4.98%,16.45%,-,3.89%,10.08%,Upgrade,
21,Return on Capital Employed (ROCE),10.88%,10.06%,10.31%,10.56%,-,10.33%,13.34%,10.56%,9.11%,8.21%,-,9.04%,9.42%,10.05%,12.02%,-,11.42%,13.21%,11.35%,10.11%,19.38%,Upgrade
22,Earnings Yield,10.65%,10.04%,9.62%,8.92%,11.09%,11.14%,12.96%,11.81%,12.13%,12.15%,8.46%,8.25%,8.21%,8.34%,9.97%,13.75%,13.95%,18.31%,14.94%,19.12%,30.01%,Upgrade
23,FCF Yield,-7.60%,-7.67%,7.84%,2.11%,-2.95%,-3.08%,12.22%,-5.40%,-1.82%,-,22.14%,30.10%,44.79%,11.19%,-,23.73%,7.56%,27.60%,-,38.93%,26.39%,Upgrade
24,Dividend Yield,8.61%,-,-,-,-,-,-,-,-,11.68%,-,-,-,8.58%,-,-,-,-,-,-,-,Upgrade
25,Payout Ratio,75.79%,244.21%,-,0.05%,0.03%,277.97%,0.22%,0.72%,-,-,-,-,0.50%,185.29%,-,-,0.08%,95.42%,-,0.28%,194.63%,Upgrade
26,Buyback Yield / Dilution,-,-0.01%,-,-,-,0.01%,-0.09%,-,-0.24%,0.07%,0.26%,-,25.14%,-12.59%,-0.14%,37.65%,-66.59%,-10.05%,10.85%,-97.43%,Upgrade,
27,Total Shareholder Return,8.61%,-,-0.01%,-,-,-,0.01%,-0.09%,-,11.45%,0.07%,0.26%,-,33.72%,-12.59%,-0.14%,37.65%,-66.59%,-10.05%,10.85%,-97.43%,Upgrade
