,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,107.32,204.39,493.09,314.23,1454,1222,1508,1053,654.8,406.04,48.57,54.15,-,209.48,-,204.55
1,Trading Asset Securities,1992,2039,2051,2027,1011,1103,854.41,1075,1417,1780,2120,1927,-,363.51,-,287.08
2,Cash & Short-Term Investments,2100,2243,2544,2341,2465,2325,2363,2127,2072,2186,2169,1981,-,572.99,491.62,491.62
3,Cash Growth,-14.82%,-3.52%,7.69%,10.08%,18.98%,6.37%,8.94%,7.38%,-,281.53%,341.15%,302.91%,-,-,-,-
4,Accounts Receivable,287.02,277.88,286.04,292.97,175.55,145.33,109.58,125.23,87.19,64.74,75.04,84.85,-,59.1,-,68.37
5,Other Receivables,11.97,9.07,8.99,7.45,14.48,12.76,13.41,4.29,6.09,5.52,5.62,4.48,-,0.44,-,10.53
6,Receivables,298.99,286.94,295.03,300.42,190.02,158.09,122.99,129.52,93.28,70.26,80.66,89.34,-,59.54,-,78.91
7,Inventory,355.47,281.66,363.5,352.23,430.3,374.17,454.07,445.57,632.72,564.14,498.44,443.77,-,545.12,-,434.9
8,Other Current Assets,36.15,41.8,48.21,13.93,20.67,35.5,12.17,36.21,26.37,15.3,55.66,37.91,-,40.49,-,29.42
9,Total Current Assets,2790,2854,3251,3008,3106,2893,2952,2738,2824,2836,2804,2552,-,1218,-,1035
10,"Property, Plant & Equipment",215.92,173.32,155.04,130.98,120.38,118.1,115.84,100.01,94.56,86.73,74.71,71.15,-,31.85,-,29.87
11,Other Intangible Assets,23.2,23.49,23.54,23.8,21.66,21.5,21.65,18.14,18.29,18.12,18.08,18.22,-,18.53,-,18.76
12,Long-Term Accounts Receivable,-,16.62,-,-,-,9.42,-,-,-,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,16.67,13.8,10.1,5.55,12.81,9.08,4.13,1.63,1.87,1.75,1.83,2.1,-,1.01,-,0.92
14,Long-Term Deferred Charges,0.09,0.18,0.27,0.37,-,-,-,-,-,-,-,-,-,-,-,-
15,Other Long-Term Assets,19.98,16.97,32.53,23.35,12.61,6.79,11.13,2.74,-,-,-,-,-,-,-,0.11
16,Total Assets,3066,3098,3473,3192,3274,3058,3105,2861,2939,2942,2898,2643,-,1270,-,1085
17,Accounts Payable,288.05,309.92,256.66,306.94,185.86,172.33,189.57,195.49,207.34,261.11,173.12,152.99,-,172.72,-,161.9
18,Accrued Expenses,10.1,13.69,7.59,31.46,8.16,16.09,5.7,27.3,9.3,9.7,5.49,15.51,-,9.82,-,14.39
19,Short-Term Debt,303.33,340.1,380.28,150.1,270.18,120.09,288.2,80.08,120.11,122.84,120.06,-,-,0.5,-,-
20,Current Portion of Long-Term Debt,1.29,-,152.41,177.08,177.29,200.14,0.53,0.52,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,1.7,-,-,-,2.25,-,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,16.85,18.28,17.72,20.64,13.8,21.4,14.97,50.55,17.69,12.8,4.72,23.32,-,8.28,-,23.16
23,Current Unearned Revenue,151.88,110.01,307.08,136.07,316.21,278.78,365.67,316.4,506.98,483.21,550.05,439.76,-,542.04,-,404.16
24,Other Current Liabilities,1.39,1.93,5.14,0.51,1.89,2.76,2.58,2.09,2.23,1.48,3.1,6.1,-,3.6,-,1.04
25,Total Current Liabilities,772.91,795.62,1127,822.8,973.39,813.82,867.22,672.42,863.65,891.15,856.55,637.67,-,736.96,-,604.65
26,Long-Term Leases,0.6,0.73,0.39,0.72,0.69,1.28,0.38,0.56,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,1.54,0.72,1.33,1.86,4.43,4.33,2.68,0.81,5.56,5.57,3.7,1.5,-,0.53,-,0.16
28,Total Liabilities,775.05,797.07,1129,825.38,978.51,819.43,870.28,673.79,869.21,896.72,860.25,639.17,-,737.5,-,604.81
29,Common Stock,333.83,333.13,239.18,239.18,239.18,237.6,132,132,132,132,132,132,-,99,-,99
30,Additional Paid-In Capital,1255,1242,1330,1324,1317,1287,1385,1377,1369,1366,1365,1363,-,60.28,-,57.14
