,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,6383,6096,6366,5260,6207,6331,8007,7100,5038,4784,5387,6100,7314,-,-,-,-
1,Market Cap Growth,-3.71%,-3.71%,-20.50%,-25.92%,23.19%,32.35%,48.64%,16.40%,-31.11%,-,-,-,-,-,-,-,-
2,Enterprise Value,4577,4185,4345,3240,4187,4328,5938,5059,3091,2725,3343,4119,6742,-,-,-,-
3,Last Close Price,19.37,18.50,19.27,15.19,17.92,18.28,23.28,20.43,14.50,13.77,15.50,17.30,20.74,-,-,-,-
4,PE Ratio,25.62,24.22,25.42,21.96,24.21,25.78,33.32,29.78,22.23,19.86,23.11,30.26,39.33,-,-,-,-
5,Forward PE,20.83,19.47,19.13,13.84,17.56,19.37,23.37,23.37,23.37,23.37,21.74,25.96,-,-,-,-,-
6,PS Ratio,5.26,5.01,5.54,5.17,5.85,5.92,7.67,7.30,5.84,6.09,7.01,8.47,10.40,-,-,-,-
7,PB Ratio,2.77,2.66,2.77,2.24,2.62,2.76,3.58,3.18,2.30,2.31,2.63,2.99,3.65,-,-,-,-
8,P/TBV Ratio,2.67,2.67,2.78,2.26,2.64,2.78,3.61,3.21,2.33,2.34,2.66,3.03,3.68,-,-,-,-
9,P/FCF Ratio,-,-,92.88,84.71,133.15,-,-634.40,171.68,65.77,-,31.41,31.74,-,-,-,-,-
10,P/OCF Ratio,58.29,-,42.21,39.91,61.36,-,174.90,72.78,40.70,-,25.56,27.02,45.34,-,-,-,-
11,PEG Ratio,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.96,1.15,-,-,-,-,-
12,EV/Sales Ratio,3.76,3.44,3.78,3.18,3.94,4.05,5.69,5.20,3.58,3.47,4.35,5.72,9.59,-,-,-,-
13,EV/EBITDA Ratio,21.17,19.58,20.48,16.18,18.05,16.63,22.52,19.43,12.68,11.67,14.40,19.72,32.88,-,-,-,-
14,EV/EBIT Ratio,21.90,19.96,20.84,-,18.28,16.79,22.74,19.61,12.80,11.79,14.54,19.94,33.25,-,-,-,-
15,EV/FCF Ratio,-604.26,-,63.40,52.18,89.82,-,-470.44,122.32,40.35,-,19.49,21.44,-,-,-,-,-
16,Debt / Equity Ratio,0.13,0.13,0.15,0.23,0.14,0.20,0.14,0.13,0.04,0.06,0.06,0.06,-,-,0.00,-,-
17,Debt / EBITDA Ratio,1.41,6.13,1.06,408.59,0.66,10.26,1.18,2.26,0.14,2.11,0.48,1.95,-,-,0.00,-,-
18,Debt / FCF Ratio,-,-,5.00,8.59,7.03,-,-25.65,6.99,1.06,-,0.72,0.62,-,-,0.01,-,-
19,Asset Turnover,0.23,0.48,0.17,0.62,0.14,0.34,0.25,0.71,0.11,0.27,0.11,-,-,-,-,-,
20,Inventory Turnover,2.06,1.47,3.28,1.12,3.33,0.50,1.47,1.05,2.32,0.27,0.83,0.32,-,-,-,-,-
21,Quick Ratio,3.10,3.10,3.18,2.52,3.21,2.73,3.05,2.87,3.36,2.51,2.53,2.63,3.25,-,0.86,-,0.94
22,Current Ratio,3.61,3.61,3.59,2.88,3.66,3.19,3.56,3.40,4.07,3.27,3.18,3.27,4.00,-,1.65,-,1.71
23,Return on Equity (ROE),4.54%,13.68%,3.52%,19.60%,4.35%,12.26%,7.11%,20.55%,4.05%,13.42%,5.51%,-,-,29.22%,10.21%,-,
24,Return on Assets (ROA),0.93%,5.96%,-0.05%,9.32%,0.82%,5.42%,2.63%,12.86%,1.16%,5.46%,1.34%,-,-,-,-,-,
25,Return on Capital (ROIC),1.10%,7.09%,-0.05%,11.08%,0.97%,6.57%,3.28%,16.73%,1.56%,7.37%,1.78%,-,-,19.96%,5.73%,-,
26,Return on Capital Employed (ROCE),9.11%,9.14%,9.05%,-,9.67%,11.21%,11.63%,11.53%,11.03%,11.14%,11.21%,10.12%,10.11%,-,30.39%,-,23.02%
27,Earnings Yield,3.94%,4.13%,3.93%,4.55%,4.13%,3.88%,3.00%,3.36%,4.50%,5.03%,4.33%,3.30%,2.54%,-,-,-,-
28,FCF Yield,-0.12%,-0.12%,1.08%,1.18%,0.75%,1.61%,-0.16%,0.58%,1.52%,-0.60%,3.18%,3.15%,1.91%,-,-,-,-
29,Dividend Yield,1.55%,-,2.82%,-,2.19%,-,-,-,1.42%,-,-,-,0.90%,-,-,-,-
30,Payout Ratio,75.72%,189.55%,162.30%,14.27%,2.69%,12.57%,100.12%,4.74%,1.25%,5.08%,92.03%,-,-,0.05%,-,0.00%,-
31,Buyback Yield / Dilution,-1.09%,-1.86%,-3.45%,2.13%,-5.43%,4.92%,-5.22%,2.44%,-27.89%,-37.12%,-35.48%,-30.00%,0.69%,-,-,-,-
32,Total Shareholder Return,0.46%,-1.86%,-0.63%,2.13%,-3.24%,4.92%,-5.22%,2.44%,-26.47%,-37.12%,-35.48%,-30.00%,1.59%,-,-,-,-
