,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,176.36,395.57,141.24,504.76,107.33,264.44,185.12,512.55,81.71,193.83,75.32,434.55,64.75,145.39,58.64,403.61
1,Other Revenue,-0.06,0.06,-,0.02,-,-,-,0.02,-,-,-,0.02,-0.01,0.01,-,0.03
2,Revenue,176.3,395.63,141.24,504.79,107.33,264.44,185.12,512.57,81.71,193.83,75.32,434.57,64.74,145.4,58.64,403.64
3,Revenue Growth (YoY),64.27%,49.61%,-23.71%,-1.52%,31.36%,36.43%,145.77%,17.95%,26.21%,33.31%,28.44%,7.66%,-,-,-,-
4,Cost of Revenue,116.77,264.15,100.57,326,50.77,152.04,117.65,312.89,40.43,110.38,38.06,257.07,31.26,85.45,29.27,209.95
5,Gross Profit,59.53,131.48,40.67,178.78,56.56,112.4,67.47,199.68,41.27,83.45,37.27,177.5,33.48,59.95,29.38,193.68
6,"Selling, General & Admin",32.42,30.87,28.56,34.91,31.86,28.17,23.85,24.81,22.04,11.94,17.84,19.75,14.54,15.12,15.2,58.81
7,Research & Development,14.69,16.7,14.7,11.37,12.62,14.01,11.64,15.85,3.89,7.86,5.36,13.2,4.82,2.87,3.54,21.32
8,Other Operating Expenses,0.69,1.71,0.59,3.96,0.56,0.88,0.52,2.68,2.08,-0.02,0.38,2.38,1.57,0.59,0.1,2.42
9,Operating Expenses,48.02,53.2,41.28,58.29,46.22,45.58,36.05,50.47,27.64,19.71,22.42,38.55,21.08,19.53,18.38,83.24
10,Operating Income,11.51,78.28,-0.61,120.49,10.33,66.82,31.42,149.22,13.63,63.74,14.85,138.95,12.4,40.42,11,110.44
11,Interest Expense,-2.31,-2.56,-3.56,-2.83,-3.4,-1.92,-2,-1.38,-1.04,-1.06,-0.06,-,-0,-0.01,-0,-0.07
12,Interest & Investment Income,11.13,9.88,10.66,22.56,19.47,14.57,16.04,27,12.8,8.57,2.72,5.13,2.01,3.34,2.15,14.93
13,Other Non Operating Income (Expenses),1.42,-0.25,-1.44,-0.29,0.36,-1.65,-0.02,-0.94,0.55,-1.24,-0.46,-1.09,-0.28,-0.58,-0.08,-0.64
14,EBT Excluding Unusual Items,21.76,85.34,5.06,139.92,26.75,77.81,45.44,173.9,25.95,70.01,17.05,142.99,14.13,43.17,13.07,124.66
15,Gain (Loss) on Sale of Investments,6.2,6.53,16.46,1.7,2.26,7.17,5.34,-18.81,1.38,11.75,17.4,3.38,2.91,1.35,2.09,1.1
16,Gain (Loss) on Sale of Assets,-,0.03,0,-0.01,-0,-0,0.35,-,-0,-0,-,-0,-0,-0,0.07,0.06
17,Asset Writedown,-0.28,-0.16,-0.37,-0.28,-0.21,-0.07,-0.28,-0.08,-0.06,0.1,-0.1,-,-,-,-,-
18,Other Unusual Items,0.6,-0.05,1.16,0.16,-0.04,0.04,-,0.52,-0.42,0.42,-,-0.54,-,-,-,11.45
19,Pretax Income,28.27,91.69,22.31,141.49,28.76,84.96,50.86,155.52,26.84,82.28,34.35,145.83,17.05,44.52,15.23,137.27
20,Income Tax Expense,2.18,12.24,1.6,27.3,4.1,16.4,11.54,46.19,6.02,13.79,6.51,22.31,3.8,7.57,2.99,22.27
21,Earnings From Continuing Operations,26.08,79.45,20.71,114.19,24.66,68.55,39.32,109.34,20.82,68.49,27.84,123.52,13.25,36.96,12.24,114.99
22,Minority Interest in Earnings,1.45,1.81,2.08,5.89,1.62,1.82,0.28,0.03,0.14,-0,0.01,0,0,0,0,0
23,Net Income,27.53,81.26,22.79,120.08,26.27,70.38,39.6,109.37,20.95,68.48,27.85,123.52,13.25,36.96,12.24,114.99
24,Net Income to Common,27.53,81.26,22.79,120.08,26.27,70.38,39.6,109.37,20.95,68.48,27.85,123.52,13.25,36.96,12.24,114.99
25,Net Income Growth,4.80%,15.46%,-42.44%,9.79%,25.38%,2.77%,42.18%,-11.46%,58.12%,85.32%,127.50%,7.41%,-,-,-,-
26,Shares Outstanding (Basic),337,331,319,329,330,340,326,317,348,323,334,248,253,239,257,249
27,Shares Outstanding (Diluted),337,352,319,334,330,340,326,317,348,323,334,248,253,239,257,249
28,Shares Change (YoY),1.86%,3.45%,-2.13%,5.43%,-4.92%,5.22%,-2.44%,27.89%,37.12%,35.48%,30.00%,-0.69%,-,-,-,-
29,EPS (Basic),0.08,0.25,0.07,0.36,0.08,0.21,0.12,0.35,0.06,0.21,0.08,0.50,0.05,0.15,0.05,0.46
30,EPS (Diluted),0.08,0.23,0.07,0.36,0.08,0.21,0.12,0.35,0.06,0.21,0.08,0.50,0.05,0.15,0.05,0.46
31,EPS Growth,2.89%,11.61%,-41.19%,3.58%,31.88%,-2.33%,45.74%,-30.77%,15.31%,36.79%,75.00%,8.16%,-,-,-,-
32,Free Cash Flow,-84.33,8.76,28.56,39.44,-8.22,2.31,13.08,94.98,-123,56.29,48.33,-10.19,77.05,76.97,-4.2,-
33,Free Cash Flow Per Share,-0.25,0.02,0.09,0.12,-0.02,0.01,0.04,0.30,-0.35,0.17,0.14,-0.04,0.30,0.32,-0.02,-
34,Dividend Per Share,-,0.150,-,0.393,-,-,-,0.206,-,-,-,0.186,-,-,-,-
35,Dividend Growth,-,-,-,90.45%,-,-,-,10.62%,-,-,-,-,-,-,-,-
36,Gross Margin,33.77%,33.23%,28.79%,35.42%,52.70%,42.50%,36.45%,38.96%,50.51%,43.05%,49.48%,40.84%,51.72%,41.23%,50.09%,47.98%
37,Operating Margin,6.53%,19.78%,-0.43%,23.87%,9.63%,25.27%,16.97%,29.11%,16.69%,32.89%,19.71%,31.97%,19.16%,27.80%,18.75%,27.36%
38,Profit Margin,15.62%,20.54%,16.14%,23.79%,24.48%,26.61%,21.39%,21.34%,25.65%,35.33%,36.97%,28.42%,20.47%,25.42%,20.88%,28.49%
39,Free Cash Flow Margin,-47.83%,2.21%,20.22%,7.81%,-7.66%,0.87%,7.07%,18.53%,-150.54%,29.04%,64.17%,-2.35%,119.03%,52.94%,-7.16%,-
40,EBITDA,12.45,79.51,0.33,121.43,10.92,67.61,32.01,149.8,14.21,64.3,15.42,139.52,12.96,40.99,11.56,111.01
41,EBITDA Margin,7.06%,20.10%,0.23%,24.06%,10.17%,25.57%,17.29%,29.23%,17.39%,33.17%,20.47%,32.10%,20.03%,28.19%,19.71%,27.50%
42,D&A For EBITDA,0.94,1.24,0.94,0.94,0.58,0.79,0.58,0.58,0.57,0.55,0.57,0.57,0.56,0.57,0.56,0.56
43,EBIT,11.51,78.28,-0.61,120.49,10.33,66.82,31.42,149.22,13.63,63.74,14.85,138.95,12.4,40.42,11,110.44
44,EBIT Margin,6.53%,19.78%,-0.43%,23.87%,9.63%,25.27%,16.97%,29.11%,16.69%,32.89%,19.71%,31.97%,19.16%,27.80%,18.75%,27.36%
45,Effective Tax Rate,7.73%,13.35%,7.16%,19.29%,14.26%,19.31%,22.69%,29.70%,22.43%,16.76%,18.94%,15.30%,22.26%,16.99%,19.62%,16.23%
46,Revenue as Reported,176.3,395.63,141.24,504.79,107.33,264.44,185.12,512.57,81.71,193.83,75.32,434.57,64.74,145.4,58.64,583.66
