,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,1516,1706,1845,1241,1825,1676,1885,1742,1779,1444,Upgrade
1,Short-Term Investments,168.83,58.8,50.34,46.91,24.28,50.13,14.33,15.67,15.51,139.52,Upgrade
2,Cash & Short-Term Investments,1685,1765,1896,1288,1849,1726,1899,1758,1795,1584,Upgrade
3,Cash Growth,-11.11%,36.97%,2.50%,-25.36%,-2.61%,-1.80%,5.81%,10.97%,9.68%,-16.18%,Upgrade
4,Accounts Receivable,627.68,624.29,733.18,1230,1653,1562,1696,1816,2041,1775,Upgrade
5,Other Receivables,164.28,224.79,238.53,288.75,252.78,270.47,305.81,309.67,312.95,299.52,Upgrade
6,Receivables,791.96,849.08,971.72,1519,1906,1833,2001,2126,2354,2075,Upgrade
7,Inventory,547.7,1227,591.56,958.17,731.9,809.42,850.59,603.75,608.7,713.33,Upgrade
8,Other Current Assets,-,-,-,1.94,-,-,-,-,-,-,Upgrade
9,Total Current Assets,3025,3840,3459,3767,4487,4368,4751,4488,4758,4372,Upgrade
10,"Property, Plant & Equipment",622.92,654.83,678.39,698.06,768.5,803.43,873.87,918.03,967.78,993.1,Upgrade
11,Long-Term Investments,92.37,98.02,101.38,117.6,202.75,220.7,288.13,232.66,239.79,133.06,Upgrade
12,Long-Term Deferred Tax Assets,21.13,19.63,18.79,17.49,14.56,21.52,22.13,18.65,20.38,16.79,Upgrade
13,Other Long-Term Assets,60.88,61.46,61.94,68.87,37.56,41.09,44.54,45.6,46.36,44,Upgrade
14,Total Assets,3822,4674,4319,4669,5510,5455,5980,5703,6032,5559,Upgrade
15,Accounts Payable,1024,1312,1091,1401,1981,1521,2038,1756,1904,1812,Upgrade
16,Accrued Expenses,175.52,183.89,193.76,220.22,202.96,248.2,254.87,207.82,323.79,701.63,Upgrade
17,Short-Term Debt,341.42,865.8,703.68,710.86,676.05,1041,857.49,974.11,929.07,837.12,Upgrade
18,Current Portion of Leases,0.04,1.49,1.24,1.47,1.5,8.03,5.03,4.07,4.77,7.78,Upgrade
19,Current Income Taxes Payable,51.48,52.62,55.48,69.15,50.59,64.62,71.85,62.02,89.8,79.19,Upgrade
20,Current Unearned Revenue,416.89,378.78,331.54,246.72,273.16,170.83,105.21,79.11,115.67,167.05,Upgrade
