,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,890.22,969.77,987.26,980.26,893.05,925.51,955.3,989.94,948.25,1002,1042,1096,994.21,132.77,-,151.81,-,-,-
1,Cash & Short-Term Investments,890.22,890.22,969.77,987.26,980.26,893.05,925.51,955.3,989.94,948.25,1002,1042,1096,994.21,132.77,151.81,151.81,-,-,133.91
2,Cash Growth,-9.19%,-0.32%,4.78%,3.35%,-0.98%,-5.82%,-7.62%,-8.36%,-9.65%,-4.62%,654.59%,586.66%,621.78%,-,-,13.36%,-,-,-,-
3,Accounts Receivable,-,955.72,917.53,878.41,862.01,884.73,877.9,834.16,771.58,862.93,810.21,676.07,555.59,546.28,483.56,-,375.93,-,-,-
4,Other Receivables,-,3.98,4.16,3.19,2.82,2.15,2.44,2.16,2.3,3.5,3.29,2.94,2.45,1.28,1.22,-,1.53,-,-,-
5,Receivables,-,959.7,921.68,881.6,864.83,886.87,880.34,836.32,773.88,866.43,813.5,679.01,558.05,547.57,484.78,-,377.46,-,-,-
6,Inventory,-,232.02,218.52,232.83,245.43,249.32,253.03,269.88,248.93,285.18,257.32,211.41,195.41,186.89,175.52,-,163.68,-,-,-
7,Other Current Assets,-,1.48,2.01,3.4,5.33,6.24,6.35,6.49,11.68,3.92,3.45,1.96,3.24,8.16,8.41,-,6.75,-,-,-
8,Total Current Assets,-,2083,2112,2105,2096,2035,2065,2068,2024,2104,2076,1935,1852,1737,801.48,-,699.69,-,-,-
9,"Property, Plant & Equipment",-,272.77,256.02,231.23,218.77,203.51,203.84,193.34,165.32,130.16,131.9,134.04,135.79,139.2,141.62,-,146.03,-,-,-
10,Long-Term Investments,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,Other Intangible Assets,-,10.35,10.64,10.93,6.74,6.81,6.89,6.97,6.83,6.9,6.96,7.03,6.78,6.83,6.88,-,6.98,-,-,-
12,Long-Term Deferred Tax Assets,-,20.48,20,18.82,18.84,15.92,16.31,16.4,15.78,14.43,14.28,11.09,10.42,9.48,11.62,-,9.48,-,-,-
13,Long-Term Deferred Charges,-,1.7,1.79,1.94,2.43,2.97,3.19,3.66,3.94,4.38,4.69,5.14,5.44,5.59,1.83,-,1.86,-,-,-
14,Other Long-Term Assets,-,13.77,11.43,17.93,21.77,22.13,15.24,16.55,32.39,21.3,10.21,8.82,7.54,7.02,7.91,-,7.35,-,-,-
15,Total Assets,-,2405,2415,2386,2364,2287,2311,2305,2249,2281,2244,2101,2018,1905,971.34,-,871.38,-,-,-
16,Accounts Payable,-,392.25,376.26,359.22,358.61,323.38,352.3,363.66,317.08,377.89,349.1,244.22,187.48,142.49,141.31,-,107.95,-,-,-
17,Accrued Expenses,-,12.34,27.53,3.59,23.14,12.5,21.29,5.23,17.61,13.2,25.09,7.41,25.62,17.14,11.15,-,23.07,-,-,-
18,Short-Term Debt,-,-,-,-,-,-,-,30,30.03,30,30,30,30.04,30,30,-,30,-,-,-
19,Current Portion of Leases,-,0.97,0.97,0.44,0.44,0.34,0.61,0.53,0.97,0.53,0.53,0.52,0.52,-,-,-,-,-,-,-
20,Current Income Taxes Payable,-,4.13,8.14,24.63,7.93,13.16,8.14,6.74,1.78,19.89,19.91,20.31,13.76,10.72,12.67,-,15.22,-,-,-
21,Current Unearned Revenue,-,18.71,19.17,19.31,21.67,22.76,21.31,20.48,18.58,23.08,21.5,21.64,23.97,27.76,31.23,-,32.14,-,-,-
22,Other Current Liabilities,-,1.93,3.98,2.56,5.94,4.15,4.02,2.52,8.08,3.73,4.41,2.72,4.89,1.87,5.02,-,4.59,-,-,-
23,Total Current Liabilities,-,430.32,436.04,409.75,417.73,376.29,407.67,429.16,394.12,468.33,450.54,326.82,286.28,229.99,231.37,-,212.97,-,-,-
24,Long-Term Debt,-,-,-,106.21,-,106.21,106.21,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Leases,-,0.41,0.84,0.76,0.74,0.9,1.01,1.06,1.08,0.01,0.28,0.27,0.54,1.01,1.28,-,-,-,-,-
26,Long-Term Deferred Tax Liabilities,-,2.56,2.63,2.76,2.8,3.08,3.11,3.12,3.42,-,-,-,-,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,-,106.21,106.21,-,106.21,-,-,106.47,106.21,106.21,106.21,106.21,106.21,106.21,106.21,-,106.21,-,-,-
28,Total Liabilities,-,539.51,545.72,519.48,527.47,486.48,518,539.82,504.83,574.56,557.02,433.3,393.04,337.22,338.86,-,319.18,-,-,-
29,Common Stock,-,108.38,108.38,108.38,108.38,108.38,108.38,77.42,77.42,77.42,77.42,77.42,77.42,77.42,58.06,-,58.06,-,-,-
30,Additional Paid-In Capital,-,1198,1195,1193,1193,1193,1193,1223,1223,1223,1223,1223,1223,1221,336.69,-,336.69,-,-,-
