,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6869,5130,5710,6004,6515,10555,9266,8983,12222,13554,18037,13160,11218,15129,12432,-,-,-,-,-,-
1,Market Cap Growth,-51.40%,-51.40%,-38.38%,-33.16%,-46.70%,-22.12%,-48.63%,-31.74%,8.95%,-10.41%,45.08%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5981,4241,4742,5125,5729,9770,8448,8059,11305,12636,17066,12148,10154,14166,12331,-,-,-,-,-,-
3,Last Close Price,63.38,47.15,52.48,55.19,59.68,96.70,84.89,82.29,111.97,124.17,165.24,120.56,102.38,138.07,113.46,-,-,-,-,-,-
4,PE Ratio,144.05,106.56,-,64.08,66.00,116.82,101.34,87.05,84.37,81.63,98.25,67.12,62.65,91.72,82.66,-,-,-,-,-,-
5,Forward PE,-,22.79,22.79,22.79,22.79,22.79,22.79,22.79,24.25,30.19,45.77,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,12.77,9.45,9.18,9.11,8.82,14.16,11.89,10.86,13.87,14.87,19.81,15.54,16.48,25.63,23.68,-,-,-,-,-,-
7,PB Ratio,3.68,2.75,3.06,3.21,3.49,5.75,5.15,5.01,6.92,7.77,10.57,7.80,6.73,9.31,7.93,-,-,-,-,-,-
8,P/TBV Ratio,2.76,2.76,3.08,3.23,3.51,5.77,5.17,5.03,6.95,7.80,10.61,7.83,6.76,9.35,7.96,-,-,-,-,-,-
