,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,331.54,369.96,324.33,515.37,507.69,532.69,419.53,436.18,468.67,400.52,307.51,514.45,305.34,264.22,222.45,296.37,350.72,337.16,147.52
1,Other Revenue,-3.57,3.57,-,12.05,-4.73,4.73,-,40.57,-27.92,27.92,-,43.71,-21.05,21.05,-,47.55,-16.07,16.07,-
2,Revenue,327.97,373.53,324.33,527.42,502.97,537.42,419.53,476.75,440.75,428.44,307.51,558.16,284.3,285.27,222.45,343.93,334.65,353.24,147.52
3,Revenue Growth (YoY),-34.79%,-30.50%,-22.69%,10.63%,14.12%,25.44%,36.43%,-14.59%,55.03%,50.19%,38.24%,62.29%,-15.05%,-19.24%,50.79%,-,-,-,-
4,Cost of Revenue,285.66,319.08,274.04,439.05,419.64,487.54,365.96,422.05,387.44,362.57,251.32,439.39,228.29,225.15,167.24,240.15,227.98,229.93,99.25
5,Gross Profit,42.31,54.44,50.29,88.38,83.33,49.88,53.57,54.69,53.31,65.87,56.19,118.77,56.01,60.12,55.2,103.78,106.67,123.31,48.26
6,"Selling, General & Admin",23.1,23.57,32.13,45.97,28.63,24.95,23.03,29.02,24.29,20.17,17.16,16.51,11.13,12.09,10.43,0.11,15.66,18.08,15.79
7,Research & Development,1.95,0.73,2.85,-2.84,4.19,4.65,3.29,3.06,3.11,2.23,1.91,2.66,1.25,1.68,0.71,0.73,0.55,0.65,0.48
8,Other Operating Expenses,0.04,2.77,0.08,1.48,1.44,3.66,2.01,9.96,0.73,-0.91,0.91,3.88,1.19,2.72,1.07,2.83,1.34,2.45,0.6
9,Operating Expenses,41.91,48.4,24.79,57.88,55.65,61.51,28.01,160.08,40.34,43.15,24.78,76.01,21.2,28.91,5.38,16.73,22.63,17.81,16.87
10,Operating Income,0.4,6.05,25.51,30.5,27.68,-11.63,25.55,-105.38,12.97,22.72,31.41,42.76,34.81,31.2,49.82,87.05,84.04,105.5,31.4
11,Interest Expense,-8.43,-9.22,-10.56,-11,-9.37,-9.49,-9.03,-2.98,-12.51,-4.59,-3,-2.21,-1.21,-0.75,-4.55,-6.17,-4.25,-6.57,-6.66
12,Interest & Investment Income,2.8,7.56,1.46,3.4,1.94,2.18,2.43,1.97,2.13,4.19,3.91,4.8,1.82,1.54,0.59,0.07,0.62,0.32,-
13,Other Non Operating Income (Expenses),-2.85,-2.63,-2.71,-5.26,-3.51,-1.87,-0.81,-14.13,5,-6.36,2.49,-8.21,1.54,0.4,0.5,-10.88,7.74,-1.06,0.9
14,EBT Excluding Unusual Items,-8.08,1.75,13.7,17.65,16.75,-20.81,18.14,-120.52,7.6,15.95,34.81,37.14,36.97,32.39,46.37,70.08,88.15,98.2,25.64
15,Impairment of Goodwill,1.31,-1.31,-,-5.81,1.74,-1.74,-,-35.06,1.46,-1.46,-,-0.29,-,-,-,-,-,-,-
