,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1979,1817,1675,1956,2780,2582,2558,2627,2530,2620,3102,3709,3904,3780,4602,5539,-,-,-,-
1,Market Cap Growth,-29.64%,-29.64%,-34.50%,-25.52%,9.88%,-1.45%,-17.56%,-29.18%,-35.19%,-30.69%,-32.58%,-33.03%,-,-,-,-,-,-,-,-
2,Enterprise Value,2497,2335,2157,2388,3212,3023,2898,2869,2772,2727,2797,3058,3253,2971,3639,5839,-,-,-,-
3,Last Close Price,11.48,10.54,9.72,11.33,16.10,14.95,14.81,15.21,14.65,15.17,17.96,21.37,22.50,21.78,26.52,31.48,-,-,-,-
4,PE Ratio,104.72,-,-,127.69,214.44,-18.04,-,-22.74,-,-,26.61,29.76,29.16,22.46,21.94,21.21,-,-,-,-
5,PS Ratio,1.27,1.17,0.97,1.03,1.40,1.33,1.36,1.49,1.53,1.51,1.97,2.58,2.89,3.33,3.88,4.42,-,-,-,-
6,PB Ratio,0.89,0.82,0.75,0.88,1.25,1.16,1.16,1.18,1.15,1.10,1.31,1.57,1.68,1.65,2.05,2.41,-,-,-,-
7,P/TBV Ratio,1.07,1.07,0.99,1.16,1.67,1.57,1.59,1.54,1.51,1.45,1.73,1.85,1.98,1.81,2.25,2.65,-,-,-,-
8,P/FCF Ratio,-,-14.90,-,-14.07,-,-74.27,-,-14.09,-,-,-,-14.08,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-20.73,-,-150.55,-,20.32,-,-26.11,-,-,-,-18.54,-,-,-,70.11,-,-,-,-
10,EV/Sales Ratio,1.61,1.50,1.25,1.26,1.62,1.56,1.55,1.62,1.68,1.57,1.77,2.13,2.41,2.62,3.07,4.66,-,-,-,-
11,EV/EBITDA Ratio,11.11,12.81,10.62,12.97,18.07,85.51,256.95,70.06,-,15.47,14.28,15.60,15.33,11.68,12.03,15.58,-,-,-,-
12,EV/EBIT Ratio,39.98,37.39,24.04,33.14,44.55,-47.40,-,-65.00,-,24.82,21.24,21.82,20.51,14.65,14.43,17.89,-,-,-,-
13,EV/FCF Ratio,-20.47,-19.15,-,-17.18,-,-86.95,-,-15.39,-,-,-,-11.61,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.38,0.38,0.38,0.41,0.41,0.45,0.43,0.42,0.41,0.33,0.30,0.22,0.20,0.10,0.06,0.16,0.40,-,0.48,0.49
15,Debt / EBITDA Ratio,3.73,6.73,4.84,4.08,2.81,4.85,9.47,4.70,-,6.98,3.32,2.83,1.86,1.24,0.78,1.47,1.03,-,0.90,2.23
16,Debt / FCF Ratio,-,-6.87,-,-6.61,-,-28.94,-,-5.02,-,-,-,-1.99,-,-,-,-,12.40,-,4.68,-
17,Asset Turnover,0.31,0.35,0.29,0.46,0.44,0.49,0.39,0.45,0.42,0.44,0.34,0.66,0.37,0.36,0.33,-,-,-,-,
18,Inventory Turnover,32.15,29.47,33.43,27.89,41.43,40.49,51.80,42.58,56.12,55.42,57.83,47.33,90.39,55.04,63.66,49.57,-,-,-,-
19,Quick Ratio,1.70,1.70,1.69,1.70,1.63,1.62,1.73,1.81,1.78,2.22,1.98,2.88,3.04,3.62,3.91,3.50,1.78,-,1.43,-
20,Current Ratio,1.73,1.73,1.72,1.75,1.67,1.66,1.76,1.86,1.82,2.25,2.01,2.91,3.07,3.68,3.94,3.52,1.80,-,1.44,-
21,Return on Equity (ROE),-0.14%,-1.10%,2.50%,1.77%,2.62%,-4.47%,2.28%,-26.74%,-0.40%,3.51%,5.60%,5.57%,6.43%,5.01%,9.72%,-,-,38.62%,-,
22,Return on Assets (ROA),0.02%,0.35%,1.44%,1.68%,1.52%,-0.66%,1.47%,-6.16%,0.77%,1.45%,2.19%,3.18%,2.82%,2.49%,4.61%,-,-,-,-,
23,Return on Capital (ROIC),0.03%,0.49%,2.03%,2.40%,2.17%,-0.92%,2.04%,-8.41%,1.04%,1.91%,2.77%,4.03%,3.55%,3.09%,6.08%,-,-,21.45%,-,
24,Return on Capital Employed (ROCE),2.46%,2.46%,3.49%,2.73%,2.74%,-2.38%,-,-1.61%,-,3.83%,4.85%,5.21%,5.97%,8.10%,10.75%,13.11%,25.29%,-,13.82%,-
25,Earnings Yield,0.95%,1.03%,1.90%,0.78%,0.47%,-5.54%,-6.12%,-4.40%,-3.85%,3.03%,3.76%,3.36%,3.43%,4.45%,4.56%,4.71%,-,-,-,-
26,FCF Yield,-6.16%,-6.71%,-5.76%,-7.11%,-2.08%,-1.35%,-5.23%,-7.10%,-11.16%,-14.63%,-10.97%,-7.10%,-7.02%,-0.05%,-3.06%,0.86%,-,-,-,-
27,Dividend Yield,0.20%,-,-,-,0.14%,-,-,-,-,-,-,-,0.36%,-,-,-,-,-,-,-
28,Payout Ratio,176.15%,-,-,55.60%,-,63.32%,-,56.17%,-,-,87.34%,8.82%,2.67%,2.62%,262.31%,9.08%,6.74%,5.45%,5.24%,18.12%
29,Buyback Yield / Dilution,-2.63%,-69.62%,29.01%,-4.94%,11.91%,28.14%,-25.58%,5.48%,8.92%,-4.82%,-1.05%,-19.96%,39.46%,-901.06%,-28.65%,-12.26%,-,-,-,-
30,Total Shareholder Return,-2.43%,-69.62%,29.01%,-4.94%,12.06%,28.14%,-25.58%,5.48%,8.92%,-4.82%,-1.05%,-19.96%,39.82%,-901.06%,-28.65%,-12.26%,-,-,-,-
