,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,323.29,328.49,442.34,427.28,579.33,501.83,600.8,512.22,556.64,617.8,844.31,650.27,587.45,748.7,1330,124.43,-,166.09,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,100,300,200,-,-,-,-,-
2,Cash & Short-Term Investments,323.29,328.49,442.34,427.28,579.33,501.83,600.8,512.22,556.64,617.8,844.31,750.27,887.45,948.7,1330,124.43,-,166.09,87.52
3,Cash Growth,-44.20%,-34.54%,-26.38%,-16.58%,4.08%,-18.77%,-28.84%,-31.73%,-37.28%,-34.88%,-36.53%,502.98%,-,471.20%,1419.98%,-,-,-,-
4,Accounts Receivable,2403,2463,2474,2602,2508,2450,2292,2360,2284,2259,1902,1873,1590,1519,1442,1471,-,1404,-
5,Other Receivables,16.33,16.56,18.39,16.76,19.39,17.98,27.27,18.48,120.52,73.38,17.26,14.88,5.79,3.15,5.41,2.26,-,3.7,-
6,Receivables,2420,2479,2493,2619,2528,2467,2320,2379,2404,2332,1920,1888,1596,1522,1447,1473,-,1407,-
7,Inventory,38.5,39.05,37.3,41.29,43.49,39.43,35.87,32.89,27.28,28.65,21.5,20.98,17.91,15.28,13.02,13.97,-,14.63,-
8,Prepaid Expenses,-,0.24,-,0.44,-,0.7,-,0.62,-,1.59,-,0.68,-,1.37,-,-,-,3,-
