,Fiscal Quarter,Current,Q2 2025,Q1 2025,Q2 2024,Q1 2024
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023"
0,Market Capitalization,4545,7635,5545,-,-
1,Enterprise Value,4632,7533,5442,-,-
2,Last Close Price,5.00,8.40,6.05,-,-
3,PE Ratio,13.37,47.87,49.78,-,-
4,PS Ratio,0.78,2.04,2.22,-,-
5,PB Ratio,1.64,2.59,1.94,-,-
6,P/TBV Ratio,2.77,2.77,2.07,-,-
7,EV/Sales Ratio,0.90,2.01,2.18,-,-
8,EV/EBITDA Ratio,10.61,27.89,27.47,-,-
9,EV/EBIT Ratio,11.12,36.09,35.46,-,-
10,Debt / Equity Ratio,0.15,0.15,0.15,-,0.23
11,Debt / EBITDA Ratio,0.98,1.64,1.64,-,1.45
12,Asset Turnover,0.99,-,-,-,
13,Inventory Turnover,-,1.54,-,-,-
14,Quick Ratio,0.55,0.55,0.55,-,-
15,Current Ratio,2.33,2.33,2.33,-,-
16,Return on Equity (ROE),5.67%,-,-,-,
17,Return on Assets (ROA),2.65%,-,-,-,
18,Return on Capital (ROIC),3.74%,-,-,-,
19,Return on Capital Employed (ROCE),13.48%,6.71%,5.09%,-,-
20,Earnings Yield,6.58%,2.09%,2.01%,-,-
21,FCF Yield,-15.74%,-6.38%,-5.44%,-,-
