,Fiscal Quarter,Q2 2025,Q1 2025,Q2 2024,Q1 2024
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023"
0,Revenue,1064,1064,627.87,627.87
1,Cost of Revenue,971.83,971.83,539.66,539.66
2,Gross Profit,92.28,92.28,88.21,88.21
3,"Selling, General & Admin",38.3,38.3,31.14,31.14
4,Research & Development,8.39,8.39,8.45,8.45
5,Operating Expenses,46.69,46.69,39.58,39.58
6,Operating Income,45.59,45.59,48.63,48.63
7,Interest Expense,-5.41,-5.41,-4.82,-4.82
8,Interest & Investment Income,0.66,0.66,1.32,1.32
9,Earnings From Equity Investments,-1.73,-1.73,-3.47,-3.47
10,Other Non Operating Income (Expenses),7.13,7.13,-3.57,-3.57
11,EBT Excluding Unusual Items,46.25,46.25,38.1,38.1
12,Asset Writedown,-0.29,-0.29,0.21,0.21
13,Pretax Income,45.96,45.96,38.3,38.3
14,Income Tax Expense,8.29,8.29,7.68,7.68
15,Earnings From Continuing Operations,37.67,37.67,30.63,30.63
16,Minority Interest in Earnings,2.67,2.67,1.03,1.03
17,Net Income,40.35,40.35,31.66,31.66
18,Net Income to Common,40.35,40.35,31.66,31.66
19,Shares Outstanding (Basic),908,908,675,675
20,Shares Outstanding (Diluted),910,910,675,675
21,EPS (Basic),0.04,0.04,0.05,0.05
22,EPS (Diluted),0.04,0.04,0.05,0.05
23,Free Cash Flow,-158.66,-158.66,-61.06,-61.06
24,Free Cash Flow Per Share,-0.17,-0.17,-0.09,-0.09
25,Gross Margin,8.67%,8.67%,14.05%,14.05%
26,Operating Margin,4.28%,4.28%,7.74%,7.74%
27,Profit Margin,3.79%,3.79%,5.04%,5.04%
28,Free Cash Flow Margin,-14.91%,-14.91%,-9.73%,-9.73%
29,EBITDA,59.43,59.43,62.47,62.47
30,EBITDA Margin,5.58%,5.58%,9.95%,9.95%
31,D&A For EBITDA,13.83,13.83,13.85,13.85
32,EBIT,45.59,45.59,48.63,48.63
33,EBIT Margin,4.28%,4.28%,7.74%,7.74%
34,Effective Tax Rate,18.03%,18.03%,20.04%,20.04%
