,Fiscal Quarter,Q2 2025,Q1 2025,Q2 2024,Q1 2024
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023"
0,Cash & Equivalents,158.39,158.39,-,-
1,Trading Asset Securities,300.55,300.55,-,-
2,Cash & Short-Term Investments,458.95,458.95,-,365.73
3,Accounts Receivable,268.81,268.81,-,-
4,Other Receivables,90.01,90.01,-,-
5,Receivables,358.81,358.81,-,-
6,Inventory,2522.0,2522.0,-,-
7,Restricted Cash,147.85,147.85,-,-
8,Total Current Assets,3488.0,3488.0,-,-
9,"Property, Plant & Equipment",606.71,606.71,-,-
10,Long-Term Investments,112.84,112.84,-,-
11,Goodwill,12.07,12.07,-,-
12,Other Intangible Assets,3.17,3.17,-,-
13,Long-Term Deferred Tax Assets,7.68,7.68,-,-
14,Other Long-Term Assets,72.11,72.11,-,-
15,Total Assets,4302.0,4302.0,-,-
16,Accounts Payable,354.95,354.95,-,-
17,Accrued Expenses,102.09,102.09,-,-
18,Short-Term Debt,1.07,1.07,-,-
19,Current Portion of Long-Term Debt,236.65,236.65,-,-
20,Current Portion of Leases,2.43,2.43,-,-
21,Current Income Taxes Payable,189.63,189.63,-,-
22,Current Unearned Revenue,520.25,520.25,-,-
23,Other Current Liabilities,87.46,87.46,-,-
24,Total Current Liabilities,1495.0,1495.0,-,-
25,Long-Term Debt,148.75,148.75,-,-
26,Long-Term Deferred Tax Liabilities,2.59,2.59,-,-
27,Total Liabilities,1646.0,1646.0,-,-
28,Common Stock,64.5,64.5,-,-
29,Additional Paid-In Capital,691.93,691.93,-,-
30,Retained Earnings,2924.0,2924.0,-,-
31,Comprehensive Income & Other,-1173.0,-1173.0,-,-
32,Total Common Equity,2508.0,2508.0,-,1421
33,Minority Interest,148.68,148.68,-,-
34,Shareholders' Equity,2656.0,2656.0,-,1576
35,Total Liabilities & Equity,4302.0,4302.0,-,-
36,Total Debt,388.9,388.9,-,361.61
37,Net Cash (Debt),70.05,70.05,-,4.12
38,Net Cash Per Share,0.08,0.08,-,0.01
39,Filing Date Shares Outstanding,908.94,908.94,675,675
40,Total Common Shares Outstanding,908.94,908.94,675,675
41,Working Capital,1993.0,1993.0,-,-
42,Book Value Per Share,2.76,2.76,-,2.10
43,Tangible Book Value,2493.0,2493.0,-,1403
44,Tangible Book Value Per Share,2.74,2.74,-,2.08
