,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,36.44,154.78,47.21,180.04,93.55,115.85,82.51
1,Revenue Growth (YoY),-22.82%,-14.03%,-49.54%,55.41%,13.38%,-,-
2,Cost of Revenue,33.51,98.01,30.33,85.41,52.29,58.25,47.07
3,Gross Profit,2.92,56.78,16.88,94.64,41.26,57.6,35.44
4,"Selling, General & Admin",15.62,20.02,12.82,13.9,9.83,14.4,8.6
5,Research & Development,3.24,8.85,8.3,7.01,4.51,5.24,2.88
6,Other Operating Expenses,-1.34,-0.79,-0.04,0.02,-0.12,5.93,-6.09
7,Operating Expenses,16.08,30.82,21.73,22.04,14.69,27.47,4.95
8,Operating Income,-13.16,25.96,-4.85,72.6,26.57,30.13,30.5
9,Interest Expense,-2.92,-1.35,-0.31,-0.31,-0.3,-0.39,-0.44
10,Interest & Investment Income,0.34,1.71,0.87,0.05,0.08,0.04,0.01
11,Earnings From Equity Investments,-0.05,-0.46,-,-,-,-,-
12,EBT Excluding Unusual Items,-15.79,25.86,-4.29,72.34,26.34,29.78,30.07
13,Gain (Loss) on Sale of Investments,-,-0.31,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-0.02,0.12,0.05,0.09,-,0.01,-
15,Other Unusual Items,-,2.64,-,3.68,-8.51,5.03,-4.05
16,Pretax Income,-15.81,28.31,-4.24,76.11,17.83,34.82,26.02
17,Income Tax Expense,0.4,3.65,-0.9,10.38,4.59,1.64,5.87
18,Net Income,-16.22,24.66,-3.34,65.73,13.25,33.18,20.15
19,Net Income to Common,-16.22,24.66,-3.34,65.73,13.25,33.18,20.15
20,Net Income Growth,-,-62.48%,-,98.12%,-34.24%,-,-
21,Shares Outstanding (Basic),1600,1600,1600,1566,1200,1200,1200
22,Shares Outstanding (Diluted),1600,1600,1600,1571,1200,1200,1200
23,Shares Change (YoY),-,1.86%,33.33%,30.90%,-,-,-
24,EPS (Basic),-0.01,0.02,-0.00,0.04,0.01,0.03,0.02
25,EPS (Diluted),-0.01,0.02,-0.00,0.04,0.01,0.03,0.02
26,EPS Growth,-,-63.22%,-,51.53%,-34.24%,-,-
27,Free Cash Flow,-47.89,-43.08,18.39,-19.22,33.44,19.87,29.34
28,Free Cash Flow Per Share,-0.03,-0.03,0.01,-0.01,0.03,0.02,0.02
29,Operating Margin,-36.11%,16.77%,-10.27%,40.32%,28.40%,26.01%,36.96%
30,Profit Margin,-44.51%,15.93%,-7.08%,36.51%,14.16%,28.64%,24.42%
31,Free Cash Flow Margin,-131.43%,-27.83%,38.96%,-10.68%,35.75%,17.15%,35.56%
32,EBITDA,-1.58,34.67,5.71,84.01,33.57,37.2,35.46
33,D&A For EBITDA,11.58,8.71,10.55,11.41,7,7.06,4.96
34,EBIT,-13.16,25.96,-4.85,72.6,26.57,30.13,30.5
