,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,94.93,111.92,113.43,110.18,65.92,33.93,-
1,Short-Term Investments,-,0.11,-,26.54,0.02,0.02,-
2,Trading Asset Securities,-,0.09,-,-,-,-,-
3,Cash & Short-Term Investments,94.93,112.12,113.43,136.72,65.94,33.95,-
4,Cash Growth,-16.31%,-17.99%,72.02%,302.66%,-,-,-
5,Accounts Receivable,107.23,193.83,112.6,202.11,101.31,148.65,-
6,Other Receivables,-,0.03,0.56,-,0.54,0.08,-
7,Receivables,107.23,193.85,113.16,202.11,101.85,148.73,-
8,Inventory,45.45,37.01,36.05,19.04,31.62,20.72,-
9,Other Current Assets,3.76,-,1.48,1.1,7.33,5.58,-
10,Total Current Assets,251.37,342.99,264.12,358.96,206.74,208.99,-
11,"Property, Plant & Equipment",250.27,189,183.45,154.13,139.71,123.75,-
12,Long-Term Investments,-,7.54,-,-,-,-,-
13,Other Intangible Assets,0.28,0.31,0.3,0.16,0.06,0.04,-
14,Long-Term Deferred Tax Assets,3.07,2.28,1.11,1.16,0.61,0.27,-
15,Other Long-Term Assets,101.45,10.92,12.25,16.35,8.92,1.04,-
16,Total Assets,606.44,575.63,475.74,530.75,356.04,334.08,-
17,Accounts Payable,22.95,29.99,20.17,27.24,16.59,18.61,-
18,Accrued Expenses,7.16,8.34,5.06,11.68,9.52,4.48,-
19,Short-Term Debt,126.67,66.43,10.83,10,83.13,83.13,-
20,Current Portion of Leases,0.36,0.51,0.63,1.26,1.01,1.14,-
21,Current Income Taxes Payable,-,2.79,-,10.72,4.83,0.74,-
22,Current Unearned Revenue,3.5,1.02,1.06,2.2,1.86,5.31,-
23,Other Current Liabilities,5.94,8.83,8.32,13.17,19.75,14.02,-
24,Total Current Liabilities,166.58,117.89,46.07,76.27,136.68,127.43,-
25,Long-Term Leases,-,-,0.03,0.17,0.11,0.38,-
26,Long-Term Unearned Revenue,1.81,1.94,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,2.72,2.17,2.88,1.25,1.53,1.84,-
28,Other Long-Term Liabilities,2.74,4.82,2.61,2.55,2.49,2.43,-
29,Total Liabilities,173.84,126.82,51.59,80.23,140.8,132.08,-
30,Common Stock,1.38,1.38,1.38,1.38,-,-,-
31,Additional Paid-In Capital,303.83,303.83,303.83,326.85,158.69,158.69,-
32,Retained Earnings,270.34,286.1,262.27,267.71,204.11,191.04,-
33,Comprehensive Income & Other,-142.95,-142.5,-143.32,-145.42,-147.56,-147.73,-
34,Shareholders' Equity,432.59,448.81,424.15,450.52,215.25,202,-
35,Total Liabilities & Equity,606.44,575.63,475.74,530.75,356.04,334.08,-
36,Total Debt,127.03,66.94,11.49,11.43,84.25,84.65,-
37,Net Cash (Debt),-32.1,45.19,101.94,125.29,-18.3,-50.7,-
38,Net Cash Growth,-,-63.93%,-,-,-,-,-
39,Net Cash Per Share,-0.02,0.03,0.06,0.08,-0.02,-0.04,-
40,Filing Date Shares Outstanding,1600,1600,1600,1600,1600,1200,1200
41,Total Common Shares Outstanding,1600,1600,1600,1600,1200,1200,1200
42,Working Capital,84.8,225.1,218.05,282.69,70.07,81.56,-
43,Book Value Per Share,0.27,0.28,0.27,0.28,0.18,0.17,-
44,Tangible Book Value,432.32,448.5,423.85,450.36,215.19,201.96,-
45,Tangible Book Value Per Share,0.27,0.28,0.26,0.28,0.18,0.17,-
46,Machinery,217.68,212.22,206.64,172.43,153.92,133.57,-
47,Construction In Progress,16.19,12.08,5.21,7.11,4.34,2.17,-
