,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,576,720,800,2112,1488,-,-,-
1,Market Cap Growth,-65.91%,-65.91%,-46.24%,-,-,-,-,-
2,Enterprise Value,610,670,690,1970,1509,-,-,-
3,Last Close Price,0.36,0.45,0.50,1.32,0.92,-,-,-
4,PE Ratio,63.79,-,34.06,-,16.66,-,-,-
5,PS Ratio,2.80,3.50,3.60,8.60,4.81,-,-,-
6,PB Ratio,1.24,1.55,1.62,4.61,2.92,-,-,-
7,P/TBV Ratio,1.55,1.55,1.62,4.61,2.92,-,-,-
8,P/FCF Ratio,-,-,-,-2360.59,-,-,-,-
9,P/OCF Ratio,19.59,19.59,-,29.63,17.02,-,-,-
10,EV/Sales Ratio,2.97,3.26,3.10,8.02,4.88,-,-,-
11,EV/EBITDA Ratio,16.19,-,15.51,20.33,11.36,-,-,-
12,EV/EBIT Ratio,46.23,-,29.66,-,13.46,-,-,-
13,EV/FCF Ratio,-6.25,-,-,-2202.28,-,-,-,-
14,Debt / Equity Ratio,0.29,0.29,0.15,0.03,0.03,0.39,0.42,-
15,Debt / FCF Ratio,-,-,-,-13.88,-,1.58,1.72,-
16,Return on Capital Employed (ROCE),2.91%,-,4.61%,-,21.82%,25.85%,29.34%,-
17,Earnings Yield,1.57%,1.26%,2.94%,3.19%,6.00%,-,-,-
18,FCF Yield,-16.97%,-13.58%,-3.40%,-0.04%,1.08%,-,-,-
19,Buyback Yield / Dilution,-0.92%,-,-1.86%,-33.33%,-30.90%,-,-,-
20,Total Shareholder Return,-0.92%,-,-1.86%,-33.33%,-30.90%,-,-,-
