,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,721.26,718.62,674.29,339.27,545.39,934.34,859.18,798.02,-,-,-,211.98
1,Trading Asset Securities,-,0.9,1.26,5.57,6.54,0.65,0.65,0.65,-,-,-,-,-
2,Cash & Short-Term Investments,722.16,722.16,719.88,679.86,345.81,546.04,934.99,859.83,798.02,-,-,211.98,211.98
3,Cash Growth,108.83%,32.25%,-23.01%,-20.93%,-56.67%,-,-,305.62%,276.46%,-,-,-,-
4,Accounts Receivable,-,449.38,655.42,651.25,614.68,503.19,445.41,363.01,527.22,-,-,-,163.34
5,Other Receivables,-,25.38,32.08,29.71,48.14,43.43,24.66,18.64,54.72,-,-,-,8
6,Receivables,-,474.76,687.5,680.97,662.82,546.61,470.08,381.65,581.94,-,-,-,171.34
7,Inventory,-,3741,3574,3461,3552,3519,3307,2761,1954,-,-,-,1595
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,4.1
9,Other Current Assets,-,455.64,374.31,212.43,319.6,380.78,144.96,236.85,189.27,-,-,-,184.07
10,Total Current Assets,-,5394,5355,5034,4880,4992,4857,4239,3523,-,-,-,2167
11,"Property, Plant & Equipment",-,1359,1127,1131,1136,901.31,812.08,727.17,729.13,-,-,-,548.81
12,Long-Term Investments,-,54.03,54.03,54.03,50.13,25.13,15.13,-,10,-,-,-,-
13,Other Intangible Assets,-,160.06,153.54,69.04,61.62,60.46,57.94,50.99,48.13,-,-,-,20
14,Long-Term Deferred Tax Assets,-,129.35,109.41,132.23,164.27,145.28,105.59,72.46,52.57,-,-,-,46.31
15,Long-Term Deferred Charges,-,31.24,24.88,23.17,23.94,23.76,21.23,21.75,23.78,-,-,-,11.06
16,Other Long-Term Assets,-,286.83,65.15,21.01,16.26,177,103.15,50.99,24.26,-,-,-,16.37
17,Total Assets,-,7415,6889,6465,6332,6325,5973,5163,4411,-,-,-,2810
18,Accounts Payable,-,578.36,663.65,657.42,700.8,620.49,643.23,455.66,306.98,-,-,-,378.93
19,Accrued Expenses,-,27.64,31.88,37.39,41.31,20.02,17.79,13.62,22.74,-,-,-,30.45
20,Short-Term Debt,-,2995,2734,2703,2800,2793,2318,1709,1148,-,-,-,333.27
21,Current Portion of Long-Term Debt,-,386.75,385.34,266.4,261.59,141.61,137.24,64.02,60.14,-,-,-,58.23
22,Current Portion of Leases,-,-,7.34,-,7.08,-,3.43,-,3.97,-,-,-,4.13
23,Current Income Taxes Payable,-,26.81,18.33,11.37,10.08,22.59,19.72,3.79,19.01,-,-,-,21.39
24,Current Unearned Revenue,-,50.71,61.95,54.15,18.35,15.24,7.56,4.66,6.77,-,-,-,18.13
25,Other Current Liabilities,-,56.29,70.9,19.52,58.78,32.42,12.16,4.77,34.36,-,-,-,6.26
26,Total Current Liabilities,-,4122,3973,3749,3898,3646,3159,2256,1602,-,-,-,850.8
27,Long-Term Debt,-,815.64,501.09,563.1,503,681.4,683.9,604.72,379.74,-,-,-,131
28,Long-Term Leases,-,11.26,7.17,7.21,7.57,8.06,2.74,4.24,4.24,-,-,-,4.38
29,Long-Term Unearned Revenue,-,1.76,1.93,2.09,2.26,2.85,3.02,3.18,3.35,-,-,-,4.01
30,Long-Term Deferred Tax Liabilities,-,0.61,-,0,0,-,0.29,-,0.02,-,-,-,-
31,Other Long-Term Liabilities,-,-,-,0.11,-,-,-,-,-,-,-,-,-
32,Total Liabilities,-,4951,4484,4322,4411,4338,3849,2868,1990,-,-,-,990.19
33,Common Stock,-,431.24,464.24,430.33,430.33,430.33,430.33,430.33,430.33,-,-,-,387.3
34,Additional Paid-In Capital,-,2251,2134,2041,1956,1877,1828,1824,1824,-,-,-,1337
35,Retained Earnings,-,-231.42,-176.18,-291.98,-459.54,-319.19,-131.66,38.8,164.82,-,-,-,93.6
36,Treasury Stock,-,-,-,-20,-,-,-,-,-,-,-,-,-
