,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,1679,1693,1605,1727,1337,1017,679.86,425.49,729.72,801.07,682.03,702.24,409.39
1,Other Revenue,-,-108.72,108.72,-,130.81,-42.94,42.94,-,70.63,-,-,-,153.44
2,Revenue,1679,1584,1714,1727,1468,974.17,722.8,425.49,800.35,801.07,682.03,702.24,562.83
3,Revenue Growth (YoY),14.37%,62.64%,137.15%,305.80%,83.46%,21.61%,5.98%,-39.41%,42.20%,-,-,-,-
4,Cost of Revenue,2640,1328,1266,1299,1469,914.42,837.25,444.54,738.71,680.54,565.86,616.18,535.14
5,Gross Profit,-960.95,256.14,448.04,427.18,-1.19,59.75,-114.45,-19.05,61.64,120.53,116.17,86.07,27.69
6,"Selling, General & Admin",-411.95,148.17,142.66,121.12,117.92,83.53,62.44,44.92,46.87,40.33,42.83,40.13,161.05
7,Research & Development,-338.86,128.53,112.62,97.71,98.46,74.81,45.96,30.76,32.87,33.13,28.91,31.49,39.18
8,Other Operating Expenses,22.89,-21.95,8.41,-9.35,1.83,0.06,-4.35,-2.53,12.88,-10.57,3.7,-1.84,-178.33
9,Operating Expenses,-726.6,251.86,264.67,210.07,218.3,159.64,104.17,73.17,97.07,62.86,76.6,69.78,20.38
10,Operating Income,-234.35,4.28,183.37,217.11,-219.49,-99.9,-218.63,-92.22,-35.43,57.66,39.58,16.29,7.32
11,Interest Expense,-4.09,-32.34,-40.23,-31.88,-49.51,-24.22,-24.72,-14.86,-10.2,-9.32,-7.71,-2.63,-12.77
12,Interest & Investment Income,104.45,0.71,2.12,1.26,6.1,0.34,3.15,1.64,0.57,0.03,0.48,0.51,4.52
13,Currency Exchange Gain (Loss),-,-16.02,16.02,-,-11.69,-12.13,12.13,-,13.97,0.14,-0.14,-,-4.21
14,Other Non Operating Income (Expenses),6.63,-4.1,-8.55,5.45,-7.96,5.96,-4.73,3.92,-14.2,12.51,-0.17,-0.02,-6.34
15,EBT Excluding Unusual Items,-127.36,-47.47,152.73,191.94,-282.55,-129.93,-232.81,-101.52,-45.29,61.03,32.04,14.14,-11.48
16,Gain (Loss) on Sale of Investments,8.83,3.91,-7.58,-5.16,11.07,-2.09,-5.75,-,4.74,-12.72,-0.61,-,-
17,Gain (Loss) on Sale of Assets,0.06,-0.01,-0.21,0.15,-0.09,-0.04,0.07,0,0.07,-0.45,0.05,1.36,0.79
18,Asset Writedown,28.01,-28.01,-2.3,2.3,90.33,-90.33,37.2,-37.2,18.31,-18.31,2.5,-2.5,-
19,Other Unusual Items,0.11,-11.92,11.81,-0.01,1.62,-,-,-,12.64,-3.78,3.78,-,3.28
20,Pretax Income,-90.34,-83.5,154.46,189.22,-179.62,-222.39,-201.29,-138.72,-9.52,25.77,37.75,13.01,-7.41
21,Income Tax Expense,-56.31,-20.33,38.65,32.15,-32.77,-34.86,-30.83,-12.7,-4.7,-0.75,3.82,-2.59,-8.7
22,Earnings From Continuing Operations,-34.04,-63.17,115.81,157.07,-146.86,-187.54,-170.46,-126.02,-4.82,26.52,33.93,15.59,1.29
23,Minority Interest in Earnings,-18.41,7.93,-0.01,10.49,6.51,-,-,-,-,-,-,-,-
24,Net Income,-52.45,-55.24,115.8,167.56,-140.35,-187.54,-170.46,-126.02,-4.82,26.52,33.93,15.59,1.29
