,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Market Capitalization,5167,5460,3981,4562,5756,6555,6914,7116,7673,6667,9339,9869,-,-,-,-,-,-
1,Market Cap Growth,-16.71%,-16.71%,-42.42%,-35.90%,-24.99%,-1.68%,-25.96%,-27.89%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6456,6763,5596,6178,7373,8022,8351,8416,8973,7937,10449,10889,-,-,-,-,-,-
3,Last Close Price,11.69,12.24,8.87,10.10,12.74,14.51,15.30,15.70,16.93,14.71,20.61,21.72,-,-,-,-,-,-
4,PE Ratio,-,-222.13,-30.00,-21.77,-,-,-,28.10,147.04,187.10,-,-,-,-,-,-,-,-
5,PS Ratio,0.21,0.26,0.19,0.21,0.26,0.30,0.32,0.35,0.41,0.37,0.56,0.59,-,-,-,-,-,-
6,PB Ratio,2.82,2.82,2.08,2.41,3.17,3.28,3.30,3.30,3.80,3.48,5.09,5.24,-,-,-,-,-,-
7,P/TBV Ratio,3.41,3.41,2.51,2.91,3.80,3.90,3.92,3.89,4.49,4.12,6.01,6.16,-,-,-,-,-,-
8,P/FCF Ratio,8.03,8.48,8.54,34.51,31.56,-,178.41,-65.09,-,-20.17,-,-,-,-,-,-,-,-
9,P/OCF Ratio,4.45,4.45,3.97,9.60,9.10,-,12.77,19.50,-,-219.14,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.31,0.33,0.26,0.29,0.34,0.37,0.39,0.42,0.48,0.44,0.62,0.65,-,-,-,-,-,-
11,EV/EBITDA Ratio,11.74,14.64,21.82,37.27,-,19.97,14.71,15.39,29.33,27.92,50.19,-,-,-,-,-,-,-
12,EV/EBIT Ratio,45.95,48.13,-105.34,-50.68,-,-,-,25.81,90.00,85.68,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,10.03,10.51,12.01,46.75,40.42,-,215.49,-76.97,-,-24.01,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.93,0.93,0.99,1.08,1.07,0.95,0.89,0.85,0.84,0.89,0.96,0.93,1.04,-,0.89,0.70,0.22,0.22
15,Debt / EBITDA Ratio,3.27,1.86,2.74,2.16,-,13.38,6.76,1.94,3.24,2.11,13.28,-,3.70,-,4.97,2.28,0.56,0.56
16,Debt / FCF Ratio,2.79,2.79,4.05,15.43,10.66,-,47.98,-16.79,-,-5.16,-,-,-3.77,-,-,-,1.65,3.30
17,Asset Turnover,4.18,4.32,3.76,4.35,4.57,4.53,4.15,4.50,4.56,3.94,3.38,-,-,-,-,6.05,-,
18,Inventory Turnover,18.04,19.90,20.32,16.75,19.58,18.25,18.82,15.91,19.85,27.36,29.34,26.02,-,-,-,-,33.39,-
19,Quick Ratio,0.44,0.44,0.44,0.48,0.41,0.42,0.44,0.55,0.44,0.63,0.67,0.76,0.50,-,0.39,-,0.61,0.61
20,Current Ratio,0.92,0.92,0.92,1.00,0.96,1.07,1.11,1.18,1.14,1.14,1.12,1.13,0.90,-,0.76,-,1.08,1.08
21,Return on Equity (ROE),9.31%,13.56%,22.47%,-38.23%,-18.86%,-6.24%,27.53%,15.73%,17.74%,-4.21%,-21.71%,-,-,-0.52%,-,31.69%,-,
22,Return on Assets (ROA),8.10%,2.11%,8.16%,-11.55%,-1.47%,-1.30%,8.64%,1.13%,8.23%,-1.02%,-3.19%,-,-,-,-,12.91%,-,
23,Return on Capital (ROIC),10.89%,2.76%,10.36%,-14.71%,-1.88%,-1.64%,11.15%,1.48%,10.46%,-1.27%,-4.03%,-,-,-0.36%,-,19.71%,-,
24,Return on Capital Employed (ROCE),5.03%,5.03%,-1.93%,-4.38%,-,-,-,10.95%,3.52%,3.30%,-,-,6.83%,-,-,-,18.02%,9.01%
25,Earnings Yield,-0.48%,-0.45%,-3.33%,-4.59%,-2.97%,1.23%,3.41%,3.56%,0.68%,0.53%,-0.21%,-0.03%,-,-,-,-,-,-
26,FCF Yield,12.46%,11.79%,11.71%,2.90%,3.17%,-1.09%,0.56%,-1.54%,-6.74%,-4.96%,-6.12%,-5.59%,-,-,-,-,-,-
27,Dividend Yield,1.39%,-,0.90%,-,-,-,-,-,0.30%,-,-,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,45.42%,35.09%,18.66%,-,-,-,10.98%,14.84%,18.44%,-,-,31.81%,1.12%,-,17.71%,8.09%,8.09%
29,Buyback Yield / Dilution,29.53%,43.54%,4.01%,0.47%,60.73%,-79.51%,-3.14%,-1.71%,-8.31%,-0.86%,-25.54%,0.80%,-6.36%,1.83%,-,-,-,-
30,Total Shareholder Return,30.92%,43.54%,4.91%,0.47%,60.73%,-79.51%,-3.14%,-1.71%,-8.02%,-0.86%,-25.54%,0.80%,-6.36%,1.83%,-,-,-,-
