,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Operating Revenue,5422,5352,4589,5151,5809,5602,5162,5263,5305,4391,3616,4455,4168,4286,3369,3468,3468
1,Other Revenue,-124.19,124.19,-,164.69,-70.27,70.27,-,140.03,-71.17,71.17,-,137.13,-69.05,69.05,-,23.63,23.63
2,Revenue,5298,5476,4589,5316,5739,5672,5162,5403,5234,4462,3616,4592,4098,4355,3369,3492,3492
3,Revenue Growth (YoY),-7.69%,-3.46%,-11.08%,-1.62%,9.65%,27.11%,42.76%,17.66%,27.70%,2.46%,7.34%,31.52%,17.38%,-,-,-,-
4,Cost of Revenue,4996,5311,4305,5426,5637,5589,4887,5282,4979,4410,3581,4478,3937,4283,3218,3294,3294
5,Gross Profit,301.63,164.54,284.53,-110.47,102.17,82.6,274.64,120.99,254.22,52,34.47,113.82,161.79,72.34,150.44,197.4,197.4
6,"Selling, General & Admin",131.76,111.67,110.91,108.26,115.48,101.41,88.75,87.43,84.52,71.54,71.21,79.47,66.92,70.74,72.65,70.22,70.22
7,Research & Development,5.03,5.24,3.2,0.25,5.59,5.15,5.64,6.67,7.83,6.59,5.87,7.79,7.09,5.12,1.72,1.63,1.63
8,Other Operating Expenses,-0.24,9.91,8.4,17.76,3.51,6.06,4.16,16.46,3.23,2.44,3.57,10.59,3.54,3.8,2.15,4.62,4.62
9,Operating Expenses,137.58,121.81,125.24,115.08,131.77,108.66,102.8,99.32,103.26,70.4,89.01,99.22,80.87,76.17,82.31,78.17,78.17
10,Operating Income,164.05,42.72,159.29,-225.54,-29.6,-26.07,171.84,21.67,150.96,-18.39,-54.54,14.6,80.92,-3.82,68.13,119.22,119.22
11,Interest Expense,-16.69,-15.37,-20.44,-19.79,-19.31,-13.83,-18.43,-16.48,-20.55,-18.22,-17.51,-16.13,-13.7,-16.71,-6.21,-3.44,-3.44
12,Interest & Investment Income,0.56,0.73,0.68,0.08,0.51,0.84,1.39,0.92,1.02,1.89,1.32,0.34,0.61,0.66,0.54,1.05,1.05
13,Other Non Operating Income (Expenses),-0.9,0.42,-0.37,-0.16,0.33,-1.3,-0.44,-1.86,1.72,-4.49,0.92,-5.99,0.99,2.84,0.95,-0.37,-0.37
14,EBT Excluding Unusual Items,147.02,28.5,139.16,-245.41,-48.07,-40.35,154.37,4.25,133.15,-39.22,-69.8,-7.18,68.82,-17.03,63.4,116.48,116.48
15,Gain (Loss) on Sale of Investments,-0.27,-0.25,-0.37,-,-0.24,-,-,0.1,-0.06,0.14,0.07,0.2,-0.16,0,0.16,0.01,0.01
16,Gain (Loss) on Sale of Assets,-1.26,0.94,-0.81,0.94,0.71,-0.04,0.01,14.86,-0.05,-,0.12,-0.02,-1.37,0,-0.07,-0,-0
17,Asset Writedown,-89.6,36.51,-37.28,48.7,-49.64,9.57,-10.01,47.61,-47.99,20.71,-20.9,47.72,-52.68,15.57,-15.94,-15.9,-15.9
18,Other Unusual Items,-9.94,1.4,3.71,10.63,-0.05,0.05,-,11.8,-,-,-,14.97,-,-,-,0.19,0.19
19,Pretax Income,45.94,67.1,104.41,-185.13,-97.3,-30.77,144.36,78.61,85.05,-18.37,-90.52,55.69,14.61,-1.46,47.55,100.77,100.77
20,Income Tax Expense,1.18,2.71,0.28,-2.74,-0.73,2.42,0.69,1.23,1.9,1.19,2.14,1.08,2.19,0.45,0.75,2.52,2.52
21,Earnings From Continuing Operations,44.76,64.39,104.12,-182.39,-96.56,-33.19,143.68,77.38,83.15,-19.57,-92.66,54.6,12.42,-1.9,46.8,98.25,98.25
22,Minority Interest in Earnings,-20.66,-25.91,-25.68,16.8,12.54,-5.18,-26.66,8.81,-11.98,-1.55,8.58,15.04,3.39,-2.11,-11.11,-5.61,-5.61
23,Net Income,24.1,38.47,78.44,-165.59,-84.02,-38.37,117.02,86.19,71.18,-21.12,-84.07,69.64,15.82,-4.01,35.69,92.64,92.64
