,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,551.1,600.28,493.18,488.25,363.68,422.65,462.35,332.07,422.22,506.37,641.97,400.55,-,302.91,-,301.1,301.1
1,Short-Term Investments,-,-,-,-,-,20.17,-,-,-,-,-,-,-,10.07,-,33.01,33.01
2,Trading Asset Securities,60.3,75.26,15.04,-,-,40.24,20.06,20.24,30.15,20.2,45.07,20.2,-,30.16,-,20.1,20.1
3,Cash & Short-Term Investments,611.4,675.53,508.21,488.25,363.68,483.06,482.4,352.31,452.37,526.57,687.04,420.75,-,343.14,426.33,354.21,354.21
4,Cash Growth,68.11%,39.84%,5.35%,38.58%,-19.61%,-8.26%,-29.79%,-16.26%,-,53.46%,61.15%,18.78%,-,-,-,-,-
5,Accounts Receivable,347.54,312.63,541.11,307.58,524.82,388.36,628.13,543.66,708.21,589.85,636.1,385.06,-,233.57,-,239.87,239.87
6,Other Receivables,36.03,32.48,36.53,27.19,23.72,12.09,15.4,21.06,36.29,34.14,38.87,19.13,-,9.32,-,8.65,8.65
7,Receivables,383.56,345.11,577.64,334.77,548.54,400.45,643.53,564.72,744.49,623.99,674.97,404.18,-,242.89,-,248.52,248.52
8,Inventory,989.4,1019,1072,984.29,1232,1239,1137,1320,808.59,647.47,555.01,545.94,-,426.78,-,394.61,394.61
9,Prepaid Expenses,-,0.17,-,3.57,-,-,-,-,-,0.54,-,2.69,-,0,-,-,-
