,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,318.11,323.45,394.14,333.82,247.02,313.13,221.17
1,Revenue Growth (YoY),-19.29%,-3.11%,59.56%,6.61%,11.69%,-,-
2,Cost of Revenue,252.34,258.96,342.99,282.58,197.9,244.91,177.28
3,Gross Profit,65.77,64.49,51.15,51.24,49.11,68.22,43.89
4,"Selling, General & Admin",62.15,57.96,46.2,43.22,39.96,40.82,39.52
5,Research & Development,6.73,5.73,4.31,6.69,-,-,-
6,Other Operating Expenses,-,1.37,-,1.86,-1.86,1.55,-1.48
7,Operating Expenses,69.04,65.42,50.03,50.82,38.11,42.37,38.04
8,Operating Income,-3.27,-0.93,1.13,0.42,11.01,25.85,5.85
9,Interest Expense,-0.56,-0.42,-0.39,-0.6,-1.63,-1.53,-0.94
10,Interest & Investment Income,-,1.12,-,0.88,0.39,0.62,0.15
11,Currency Exchange Gain (Loss),-0.27,-0.89,-0.53,0.38,-,0.03,-
12,Other Non Operating Income (Expenses),5.83,5.82,2.52,-4.15,-0.01,0.01,-0.03
13,Pretax Income,1.73,4.71,2.74,-3.07,9.75,24.97,5.03
14,Income Tax Expense,0.7,1.45,1.5,0.82,2.61,4.2,1.8
15,Earnings From Continuing Operations,1.04,3.26,1.24,-3.89,7.14,20.77,3.24
16,Minority Interest in Earnings,-,-,-,0,-,-,-
17,Net Income,1.04,3.26,1.24,-3.88,7.14,20.77,3.24
18,Net Income to Common,1.04,3.26,1.24,-3.88,7.14,20.77,3.24
19,Net Income Growth,-16.16%,-,-82.65%,-,120.38%,-,-
20,Shares Outstanding (Basic),500,500,500,489,347,347,342
21,Shares Outstanding (Diluted),500,500,500,489,352,352,345
22,Shares Change (YoY),-,2.32%,41.89%,38.68%,2.06%,-,-
23,EPS (Basic),0.00,0.01,0.00,-0.01,0.02,0.06,0.01
24,EPS (Diluted),0.00,0.01,0.00,-0.01,0.02,0.06,0.01
25,EPS Growth,-16.16%,-,-87.80%,-,115.98%,-,-
26,Free Cash Flow,-31.42,-1.75,-77.9,49.96,7.03,-53.39,-0.53
27,Free Cash Flow Per Share,-0.06,-0.00,-0.16,0.10,0.02,-0.15,-0.00
28,Operating Margin,-1.03%,-0.29%,0.29%,0.13%,4.46%,8.26%,2.65%
29,Profit Margin,0.33%,1.01%,0.31%,-1.16%,2.89%,6.63%,1.46%
30,Free Cash Flow Margin,-9.88%,-0.54%,-19.76%,14.96%,2.85%,-17.05%,-0.24%
31,EBITDA,-0.09,2.41,3.66,2.64,13.11,27.88,7.88
32,D&A For EBITDA,3.18,3.33,2.53,2.23,2.1,2.03,2.03
33,EBIT,-3.27,-0.93,1.13,0.42,11.01,25.85,5.85
