,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,960,1825,1780,1520,660,-,-,-
1,Market Cap Growth,20.07%,20.07%,169.70%,-,-,-,-,-
2,Enterprise Value,897,1754,1757,1416,676,-,-,-
3,Last Close Price,1.92,3.65,3.56,3.04,1.32,-,-,-
4,PE Ratio,223.15,424.22,395.38,-574.45,-,-,-,-
5,PS Ratio,1.50,2.84,2.48,2.09,1.14,-,-,-
6,PB Ratio,2.85,5.43,5.30,4.57,1.99,-,-,-
7,P/TBV Ratio,5.44,5.44,5.31,4.59,2.00,-,-,-
8,P/FCF Ratio,-,-,-,-,11.58,-,-,-
9,P/OCF Ratio,-,-,-,-,10.42,-,-,-
10,EV/Sales Ratio,1.40,2.73,2.45,1.94,1.16,-,-,-
11,EV/EBITDA Ratio,72.91,-,289.84,224.70,42.91,-,-,-
12,EV/EBIT Ratio,-,-,-,916.39,59.17,-,-,-
13,EV/FCF Ratio,-27.24,-,-,-,11.86,-,-,-
14,Debt / Equity Ratio,0.14,0.14,0.07,0.06,0.04,0.22,0.25,-
15,Debt / FCF Ratio,-,-,-,-,0.21,-0.84,-,-
16,Return on Capital Employed (ROCE),-,-,-,0.45%,3.36%,16.59%,14.26%,-
17,Earnings Yield,0.45%,0.24%,0.25%,-0.17%,0.49%,-,-,-
18,FCF Yield,-3.43%,-1.82%,-4.47%,-1.84%,8.63%,-,-,-
19,Buyback Yield / Dilution,-1.15%,-,-2.32%,-41.89%,-38.68%,-2.06%,-,-
20,Total Shareholder Return,-1.15%,-,-2.32%,-41.89%,-38.68%,-2.06%,-,-
