,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,20.93,28.73,28.7,105.52,15.82,14.49,-
1,Short-Term Investments,89.95,64.37,13.53,54.75,7.37,7,-
2,Cash & Short-Term Investments,110.88,93.1,42.22,160.27,23.2,21.48,-
3,Cash Growth,162.60%,-41.91%,82.02%,645.99%,-,-,-
4,Accounts Receivable,362.47,334.98,245.11,232.57,289.41,281.79,-
5,Other Receivables,3.55,2.45,-,2.27,-,0.36,-
6,Receivables,366.02,337.44,245.11,234.83,289.41,282.14,-
7,Inventory,19.15,21.93,38.68,56.57,33.87,29.99,-
8,Prepaid Expenses,-,-,62.36,-,54.24,3.45,-
9,Restricted Cash,-,-,53.95,-,2.93,2.93,-
10,Other Current Assets,58.6,57.22,-,56.14,-,39.11,-
11,Total Current Assets,554.65,509.68,442.32,507.81,403.64,379.11,-
12,"Property, Plant & Equipment",28.24,19.42,29.14,26.26,18.08,19.97,-
13,Long-Term Investments,0.11,0.11,0.11,-,-,-,-
14,Other Intangible Assets,0.93,0.78,1.17,1.58,2.13,2.42,-
15,Long-Term Accounts Receivable,13,17.29,17.06,17.41,17.36,18.97,-
16,Long-Term Deferred Tax Assets,0.27,1.57,1.38,1.38,0.8,0.84,-
17,Long-Term Deferred Charges,-,-,-,0.04,-,0.02,-
18,Other Long-Term Assets,32.45,34.56,21.59,18.59,12.41,14.79,-
19,Total Assets,629.65,583.4,512.76,573.06,454.42,436.12,-
20,Accounts Payable,156.7,174.17,109.72,116.39,109.05,108.75,-
21,Accrued Expenses,21.16,14.39,11.52,15.17,10.71,9.7,-
22,Short-Term Debt,-,5.55,-,-,-,-,-
23,Current Portion of Long-Term Debt,35.48,5.51,5.56,-,31.06,25.52,-
24,Current Portion of Leases,6.91,7.14,8.39,6.65,5,6.09,-
25,Current Income Taxes Payable,2.98,3.52,5.76,6.09,9.48,7.27,-
26,Current Unearned Revenue,57.34,26.68,28.79,84.74,58,45.32,-
27,Other Current Liabilities,2.38,2.39,1.72,4,8.93,11.18,-
28,Total Current Liabilities,282.94,239.33,171.46,233.02,232.23,213.84,-
29,Long-Term Debt,-,-,-,-,-,5.93,-
30,Long-Term Leases,5.12,4.02,5.57,5.51,3.04,3.98,-
31,Long-Term Unearned Revenue,5.15,2.81,3.37,3.5,4.5,5.58,-
32,Long-Term Deferred Tax Liabilities,0.09,1.22,-,-,-,-,-
33,Other Long-Term Liabilities,-,-,-,-,38.91,37.9,-
34,Total Liabilities,293.3,247.38,180.4,242.04,278.67,267.23,-
35,Common Stock,5,5,5,5,-,-,-
36,Additional Paid-In Capital,168.03,168.03,168.03,168.03,48.1,48.1,-
37,Retained Earnings,164.88,163.84,160.58,159.34,163.23,156.09,-
38,Comprehensive Income & Other,-1.57,-0.85,-1.25,-1.35,-35.58,-35.31,-
39,Shareholders' Equity,336.35,336.03,332.37,331.02,175.75,168.88,-
40,Total Liabilities & Equity,629.65,583.4,512.76,573.06,454.42,436.12,-
41,Total Debt,47.51,22.21,19.52,12.16,39.1,41.53,-
42,Net Cash (Debt),63.37,70.89,22.71,148.11,-15.9,-20.05,-
43,Net Cash Growth,179.09%,-52.14%,-,-,-,-,-
44,Net Cash Per Share,0.13,0.14,0.05,0.30,-0.05,-0.06,-
45,Filing Date Shares Outstanding,500,500,500,500,500,346.94,342.27
46,Total Common Shares Outstanding,500,500,500,500,11.14,346.94,342.27
47,Working Capital,271.71,270.36,270.86,274.79,171.41,165.27,-
48,Book Value Per Share,0.67,0.67,0.66,0.66,15.77,0.49,-
49,Tangible Book Value,335.41,335.25,331.19,329.44,173.62,166.46,-
50,Tangible Book Value Per Share,0.67,0.67,0.66,0.66,15.58,0.48,-
51,Buildings,-,-,5.46,5.46,5.46,5.46,-
52,Machinery,-,20.15,19.75,16.15,13.97,12.76,-
53,Construction In Progress,-,-,-,1.71,-,-,-
54,Leasehold Improvements,-,14.83,14.47,12.52,9.89,8.58,-
