,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,1358,652.33,1502,704.73,929.9,469.63,880.22,1563,775.05,631.43
1,Short-Term Investments,-,-,-,-,-,-,-,8.64,-,-
2,Trading Asset Securities,-,3,100.31,82.51,100.01,1.01,359.65,68.55,6.3,4.2
3,Cash & Short-Term Investments,1358,655.34,1602,787.24,1030,470.64,1240,1640,781.35,635.63
4,Cash Growth,-15.21%,-16.76%,55.55%,67.27%,-16.93%,-71.31%,58.68%,158.06%,-27.00%,-49.10%
5,Accounts Receivable,18.36,22.51,17.65,8.54,10.97,8.21,3.47,0.75,3.04,1.12
6,Other Receivables,697.31,681.17,657.26,965.8,1091,1307,8.09,99.18,13.84,3.05
7,Receivables,731.06,718.44,689.17,988.61,1116,1327,11.56,101.77,16.88,4.17
8,Inventory,26.46,16.7,27.28,28.87,18.82,5.74,6.04,9.01,3.84,3.54
9,Other Current Assets,102.75,71.03,52.64,38.1,41,24.16,41.34,35.09,77.72,66.5
10,Total Current Assets,2219,1462,2371,1843,2206,1827,1299,1786,879.79,709.84
11,"Property, Plant & Equipment",7418,6690,6500,6000,5295,4749,6641,5063,4596,3743
12,Long-Term Investments,12.83,240.61,231.19,228.11,232.54,231.01,367.23,362.19,6.52,6.62
13,Goodwill,106.47,102.21,16.41,16.41,7.57,7.57,7.57,7.57,7.57,7.57
14,Other Intangible Assets,38.42,42.49,34.49,34.99,24.09,89.7,378.33,5.62,366.89,2.65
15,Long-Term Deferred Tax Assets,337.02,276.09,280.45,278.81,270.02,271.31,-,-,-,-
16,Other Long-Term Assets,62.34,95.08,123.92,108.48,95.39,121.03,106.12,201.16,22.57,253.78
