,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,8547,9159,9956,5437,5536,3123,4137,6390,17675,11267,6433
1,Market Cap Growth,68.46%,68.46%,79.84%,74.08%,33.81%,-51.12%,-76.59%,-43.29%,174.77%,57.85%,119.86%
2,Enterprise Value,9840,10708,10323,6537,5900,4116,4734,6153,18083,11222,5871
3,Last Close Price,4.13,4.28,4.60,2.46,2.46,1.38,1.81,2.74,7.50,4.99,2.82
4,PE Ratio,13.79,14.46,20.15,14.93,20.58,28.40,57.79,198.79,-,31.15,21.70
5,Forward PE,10.12,11.93,14.93,10.15,6.59,6.59,6.59,9.83,32.64,31.03,17.27
6,PS Ratio,2.37,2.51,3.05,2.19,3.42,3.10,4.59,16.13,-,9.78,6.27
7,PB Ratio,3.20,3.37,3.99,2.39,2.45,1.46,1.83,1.51,4.44,3.92,2.32
8,P/TBV Ratio,3.58,3.58,4.30,2.49,2.56,1.51,1.97,1.72,4.51,4.67,2.37
9,P/FCF Ratio,16.04,17.19,-,12.57,-,-67.80,-,-,-,-,-
10,P/OCF Ratio,10.07,10.07,-,5.16,6.79,3.72,12.18,27.93,-,12.99,6.21
11,EV/Sales Ratio,2.69,2.93,3.16,2.63,3.64,4.09,5.25,15.54,-,9.74,5.72
12,EV/EBITDA Ratio,8.37,10.07,11.66,9.51,11.12,15.78,25.50,77.67,-,24.37,15.72
13,EV/EBIT Ratio,11.12,12.31,14.35,12.04,14.47,24.32,48.85,161.36,-,31.02,20.03
14,EV/FCF Ratio,18.46,20.10,-,15.12,-,-89.34,-,-,-,-,-
15,Debt / Equity Ratio,1.02,1.02,0.90,0.91,0.86,0.70,0.68,0.48,0.41,0.42,0.22
16,Debt / FCF Ratio,5.23,5.23,-,4.78,-,-32.70,-,-,-,-,-
17,Return on Capital Employed (ROCE),14.29%,14.29%,12.98%,10.08%,7.34%,3.44%,1.82%,0.54%,-,7.67%,7.83%
18,Earnings Yield,7.41%,6.92%,4.96%,6.70%,4.86%,3.52%,1.73%,0.50%,-,3.21%,4.61%
19,FCF Yield,6.23%,5.82%,4.38%,7.95%,0.20%,-1.47%,-33.01%,-14.87%,-,-3.58%,-4.74%
20,Dividend Yield,1.11%,-,1.54%,2.09%,1.12%,-,-,1.66%,-,-,-
21,Buyback Yield / Dilution,-0.71%,-2.08%,0.66%,0.49%,1.02%,1.61%,-,-4.68%,-,0.08%,-0.24%
22,Total Shareholder Return,0.40%,-2.08%,2.20%,2.58%,2.14%,1.61%,-,-3.02%,-,0.08%,-0.24%
