,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,713.01,546.25,529.37,449.84,517.56,548.79,487.05,504.08,510.77,585.68,774.24,1115,1014,829.41,749.46,893.04,578.22,406.48,406.48,552.52
1,Other Revenue,-1.37,1.37,-,2.76,-1.08,1.08,-,1.29,-0.66,0.66,-,1.47,-0.6,0.6,-,1.34,-0.86,0.43,0.43,2.18
2,Revenue,711.65,547.62,529.37,452.6,516.48,549.87,487.05,505.36,510.11,586.34,774.24,1116,1014,830.01,749.46,894.38,577.35,406.91,406.91,554.71
3,Revenue Growth (YoY),37.79%,-0.41%,8.69%,-10.44%,1.25%,-6.22%,-37.09%,-54.73%,-49.69%,-29.36%,3.31%,24.82%,75.61%,103.98%,84.18%,61.23%,-,-,-,-
4,Cost of Revenue,617.02,466.39,461.39,381.99,428.1,470.2,424.92,434.8,438.06,505.98,676.13,1095,829.39,655.21,662.19,800.7,455.93,329.09,329.09,437.39
5,Gross Profit,94.62,81.23,67.98,70.61,88.39,79.67,62.13,70.56,72.05,80.36,98.1,21.48,184.49,174.8,87.27,93.68,121.42,77.82,77.82,117.32
6,"Selling, General & Admin",53.23,51.43,38.51,57.01,41.76,44.66,35.7,57.51,44.81,45.21,39.32,-63.02,99.14,109.89,37.69,4.91,63.69,40.8,40.8,78.03
7,Research & Development,7.36,7.78,6.18,8.31,7.91,7.49,5.4,6.04,5.63,5.39,5.04,6.61,4.67,3.39,3.33,5.56,3.73,2.75,2.75,11.93
8,Other Operating Expenses,-2.69,0.95,0.4,0.17,-3.59,0.15,-2.4,16.77,-5.77,-8.94,-0.16,1.87,0.03,0.32,0.09,2.65,-0.95,0.21,0.21,1.37
