,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,745.96,679.31,572.05,632.72,509.25,454.29,444.54,584.52,475.35,451.57,330.52,653.71,687.39,287.19,-,264.73,-,249.48,249.48,205.75
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,-
2,Trading Asset Securities,145,100,223.97,266.34,276.37,287.14,357.37,352,460.84,426.75,458.69,131.02,196.6,79.42,-,121.19,-,66.7,66.7,38.78
3,Cash & Short-Term Investments,890.96,779.31,796.03,899.06,785.62,741.42,801.91,936.51,936.19,878.32,789.21,784.73,883.99,366.61,385.92,385.92,-,336.18,336.18,244.53
4,Cash Growth,13.41%,5.11%,-0.73%,-4.00%,-16.08%,-15.59%,1.61%,19.34%,5.90%,139.58%,104.50%,103.34%,-,9.05%,14.79%,57.82%,-,-,-,-
5,Accounts Receivable,397.02,400.22,365.82,317.84,407.51,458.9,378.64,318.25,479.54,629.1,696.2,690.03,614.01,481.77,-,402.84,-,343.77,343.77,330.53
6,Other Receivables,18.16,46.11,20.17,33.17,14.42,32.54,18.12,22.3,20.7,43.56,32.49,71.16,40.15,54.57,-,45.65,-,23.67,23.67,30.11
7,Receivables,415.18,446.33,385.99,351.01,421.93,491.44,396.75,340.54,500.24,672.66,728.69,761.2,654.15,536.34,-,448.49,-,367.44,367.44,360.64
8,Inventory,161.62,160.23,119.87,141.15,129.04,123.96,143.27,187.13,181.68,205.62,173.37,210.38,148.32,141.18,-,115.7,-,71.09,71.09,43.58
9,Prepaid Expenses,-,-,-,1.21,-,-,-,0.22,-,0.05,-,0.35,-,-,-,3.93,-,1.87,1.87,1.89
10,Other Current Assets,271.64,79.65,131.69,52.24,96.11,56.79,77.5,53.13,84.28,46.57,69.64,23.78,73.46,38.28,-,22.75,-,11.11,11.11,14.61
11,Total Current Assets,1739,1466,1434,1445,1433,1414,1419,1518,1702,1803,1761,1780,1760,1082,-,976.79,-,787.7,787.7,665.26
12,"Property, Plant & Equipment",280.49,265.49,254.23,250.09,241.87,214.97,168.31,153.81,143.01,128.65,122.84,126.06,75.13,75.31,-,74.4,-,75.42,75.42,78.45
13,Other Intangible Assets,49.61,49.3,49.77,50.24,50.75,50.99,51.38,51.9,50.16,50.56,4.47,4.6,4.43,4.57,-,4.85,-,5.06,5.06,5.44
14,Long-Term Deferred Tax Assets,7.47,7.47,7.67,6.09,8.82,8.13,6.04,6.62,9.53,10.54,12.41,11.11,8.94,7.04,-,5.39,-,4.75,4.75,4.2
15,Long-Term Deferred Charges,3.09,3.19,2.35,2.11,1,0.64,0.83,0.97,0.28,0.35,0.69,0.41,0.6,0.43,-,0.41,-,0.51,0.51,0.62
16,Other Long-Term Assets,6.38,8.62,6.8,7.3,7.21,7.42,7.87,7.84,8.05,8.26,7.94,8.11,4.07,4.19,-,4.43,-,4.67,4.67,4.91
17,Total Assets,2086,1800,1754,1761,1742,1696,1654,1739,1913,2002,1909,1931,1853,1174,-,1066,-,878.11,878.11,758.89
18,Accounts Payable,564.35,457.13,392.5,376.97,396.95,399.18,335.58,381.84,572.46,748.77,668.51,702.3,550.92,494.41,-,453.54,-,318.89,318.89,244.96
19,Accrued Expenses,24.03,26.66,11.7,47.51,21.12,25.85,10.52,53.98,21.35,25.04,11.09,56.3,21.69,42.82,-,51.84,-,25.79,25.79,49.23
20,Short-Term Debt,29.32,22.27,20.43,29.53,-,-,-,6.26,-,-,-,-,-,-,-,-,-,-,-,-
