,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2960,2653,2562,2457,3426,3373,3599,4555,3830,3939,6373,5582,9250,6674,-,-,-,-,-,-,-
1,Market Cap Growth,-21.35%,-21.35%,-28.82%,-46.06%,-10.55%,-14.38%,-43.53%,-18.41%,-58.59%,-40.98%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2151,1969,1840,1722,2692,2683,2850,3669,2945,3111,5585,4700,8368,6309,-,-,-,-,-,-,-
3,Last Close Price,12.70,11.38,10.99,10.21,14.23,14.01,14.95,18.32,15.41,15.84,25.63,21.94,36.34,25.99,-,-,-,-,-,-,-
4,PE Ratio,31.74,28.38,23.39,21.53,32.18,30.76,30.15,32.71,22.82,18.59,28.81,26.04,45.08,32.00,-,-,-,-,-,-,-
5,Forward PE,22.38,19.21,16.78,13.74,18.42,18.26,17.86,14.52,11.87,11.69,18.73,19.98,33.11,-,-,-,-,-,-,-,-
6,PS Ratio,1.32,1.18,1.25,1.20,1.71,1.64,1.75,2.18,1.61,1.32,1.83,1.49,2.49,1.91,-,-,-,-,-,-,-
7,PB Ratio,2.65,2.27,2.24,2.05,2.92,2.89,3.20,3.83,3.25,3.38,5.77,4.99,8.59,6.11,-,-,-,-,-,-,-
8,P/TBV Ratio,2.48,2.48,2.45,2.24,3.19,3.17,3.52,4.19,3.56,3.69,6.34,5.01,8.62,6.14,-,-,-,-,-,-,-
9,P/FCF Ratio,29.82,26.72,56.26,-,82.95,401.38,180.33,-,14.77,24.45,56.62,-,-,739.68,-,-,-,-,-,-,-
10,P/OCF Ratio,16.40,16.40,18.25,-,23.36,27.31,34.86,-,12.56,15.60,34.11,-,3411.05,360.76,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.96,0.88,0.90,0.84,1.34,1.30,1.39,1.76,1.24,1.04,1.60,1.26,2.26,1.81,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,24.25,20.44,17.75,16.33,25.01,27.37,32.42,34.98,-,14.69,22.39,17.12,32.76,24.11,-,-,-,-,-,-,-
13,EV/EBIT Ratio,29.23,24.06,20.60,18.77,28.63,31.73,37.65,39.38,-,15.35,23.24,17.66,33.86,24.90,-,-,-,-,-,-,-
14,EV/FCF Ratio,21.67,19.83,40.41,-,65.17,319.34,142.81,-,11.36,19.31,49.62,-,-,699.25,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.04,0.02,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-
16,Debt / EBITDA Ratio,0.38,0.20,0.46,0.29,0.77,0.01,0.01,0.02,8.81,0.01,0.01,0.00,0.00,0.01,0.01,-,-,-,-,-,-
17,Debt / FCF Ratio,0.34,0.34,1.01,-,0.74,0.14,0.07,-,0.03,0.01,0.01,-,-,0.20,0.02,-,-,-,-,-,-
18,Asset Turnover,1.47,1.23,1.20,1.03,1.20,1.31,1.15,1.11,1.04,1.20,1.61,2.36,2.68,-,-,-,-,1.85,1.99,-,
