,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,99,93,87,97,87,122,116,171,248,105,178,Upgrade
1,Market Cap Growth,-4.00%,-4.00%,0.00%,-20.63%,-25.00%,-28.41%,-53.13%,62.96%,39.13%,15.42%,15.52%,Upgrade
2,Enterprise Value,322,324,275,243,197,173,34,-290,-0,-33,74,Upgrade
3,Last Close Price,0.05,0.05,0.04,0.05,0.04,0.06,0.06,0.09,0.13,0.05,0.09,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-18.76,-,-,-,Upgrade
5,PS Ratio,0.75,0.71,0.69,0.83,0.89,1.56,1.93,2.89,4.86,2.76,3.31,Upgrade
6,PB Ratio,0.10,0.08,0.07,0.08,0.07,0.10,0.09,0.13,0.21,0.09,0.15,Upgrade
7,P/TBV Ratio,0.09,0.09,0.08,0.09,0.08,0.11,0.10,0.15,0.21,0.09,0.15,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-,-,0.77,-41.14,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,-,-,0.77,-42.18,-,Upgrade
10,EV/Sales Ratio,2.45,2.47,2.17,2.09,2.00,2.21,0.57,-,-,-,1.38,Upgrade
11,EV/EBITDA Ratio,-,-1610.03,-,17.90,14.39,14.06,8.66,-,-,-,1.25,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-26.10,-,-,-,-,5.99,Upgrade
13,Debt / Equity Ratio,0.18,0.18,0.18,0.15,0.09,0.06,0.06,-,-,-,-,Upgrade
14,Return on Capital Employed (ROCE),-,-,-,-,-,-0.48%,-,-,0.31%,-,1.02%,Upgrade
15,Earnings Yield,-91.96%,-97.71%,-57.86%,-28.92%,-12.43%,-6.23%,-3.12%,-5.33%,-12.23%,-96.79%,-48.05%,Upgrade
16,FCF Yield,-,-87.63%,-67.91%,-117.01%,-114.06%,-72.16%,118.17%,130.36%,-2.43%,-30.65%,Upgrade,
17,Buyback Yield / Dilution,-,-,-,0.00%,-0.00%,-,-,-19.41%,-139.35%,-100.45%,Upgrade,
18,Total Shareholder Return,-,-,-,0.00%,-0.00%,-,-,-19.41%,-139.35%,-100.45%,Upgrade,
