,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1041,1589,2850,4183,5791,9974,-,-,-,-
1,Market Cap Growth,-62.01%,-62.01%,-50.79%,-58.06%,-,-,-,-,-,-
2,Enterprise Value,6302,6734,7659,8878,10010,13762,-,-,-,-
3,Last Close Price,0.57,0.84,1.51,2.21,3.06,5.28,-,-,-,-
4,PE Ratio,7.58,10.11,9.79,13.85,15.59,15.13,-,-,-,-
5,Forward PE,3.14,5.10,5.27,8.34,6.63,9.28,-,-,-,-
6,PS Ratio,0.57,0.86,1.37,2.11,2.96,4.66,-,-,-,-
7,PB Ratio,0.32,0.39,0.70,1.07,1.51,2.58,-,-,-,-
8,P/TBV Ratio,0.51,0.51,0.91,1.38,1.97,3.40,-,-,-,-
9,P/FCF Ratio,-,-,-18.79,-,-,-,-,-,-,-
10,P/OCF Ratio,2.47,2.47,4.10,6.69,9.43,11.95,-,-,-,-
11,EV/Sales Ratio,3.42,3.65,3.69,4.49,5.12,6.43,-,-,-,-
12,EV/EBITDA Ratio,10.27,11.05,10.04,12.02,12.53,12.75,-,-,-,-
13,EV/EBIT Ratio,19.27,20.30,15.69,18.57,18.10,16.10,-,-,-,-
14,EV/FCF Ratio,-71.47,-,-50.50,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.21,1.21,1.15,1.13,1.12,1.10,0.99,1.01,0.65,-
16,Debt / FCF Ratio,-,-,-30.99,-,-,-,-,-,-,-
17,Return on Capital Employed (ROCE),4.58%,4.58%,6.58%,6.36%,7.46%,11.63%,12.97%,24.83%,19.39%,-
18,Earnings Yield,15.09%,9.89%,10.21%,7.22%,6.42%,6.61%,-,-,-,-
19,FCF Yield,-8.47%,-5.55%,-5.32%,-16.12%,-17.52%,-11.51%,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,7.20%,3.47%,-,-,-,-,
21,Total Shareholder Return,5.26%,-,-,-,7.20%,3.47%,-,-,-,-
