,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,804.01,910.77,970.78,861.16,868.44,957.8,740.36,757.06,386.93
1,Revenue Growth (YoY),-17.18%,5.76%,11.79%,-10.09%,17.30%,26.51%,91.34%,-,-
2,Cost of Revenue,444.36,503.56,484.43,441.57,377.89,391.94,291.18,256.53,137.81
3,Gross Profit,359.65,407.21,486.36,419.59,490.55,565.85,449.18,500.53,249.12
4,"Selling, General & Admin",221.53,253.65,200.21,287.99,184.02,227.52,131.4,139.29,79.18
5,Other Operating Expenses,-35.86,-8.14,-14.71,-17.8,-36.76,-48.11,-11.24,-12.58,-9.97
6,Operating Expenses,197.37,260.77,189.84,273.62,147.25,179.42,120.17,126.7,69.21
7,Operating Income,162.28,146.45,296.52,145.98,343.29,386.44,329.02,373.83,179.91
8,Interest Expense,-52.8,-51.83,-49.67,-48.64,-43.39,-33.15,-18.93,-8.12,-4.07
9,Interest & Investment Income,2.28,7.46,2.68,4.58,4.72,3.93,5.08,8.48,3.5
10,Earnings From Equity Investments,-2.79,-1.51,2.2,-0.87,5.86,2.97,6.85,2.91,8.18
11,EBT Excluding Unusual Items,108.97,100.56,251.73,101.05,310.49,360.19,322.01,377.1,187.51
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,0.86,-,-,-
13,Gain (Loss) on Sale of Assets,-,-0.02,-,-1.09,0.09,13.74,-0,-,0.01
14,Other Unusual Items,-,-,-,-1.64,1.64,0.28,0.64,0.01,9.53
15,Pretax Income,108.97,100.54,251.73,98.32,312.21,375.06,322.65,377.11,197.05
16,Income Tax Expense,16.66,20.96,27.29,15.83,34.24,29.98,21.15,10.79,5.38
17,Earnings From Continuing Operations,92.3,79.57,224.44,82.49,277.97,345.08,301.5,366.33,191.67
18,Minority Interest in Earnings,-10.16,-15.46,-24.42,-2.91,-28.89,-31.4,-36.57,-49.34,-39.66
19,Net Income,82.14,64.11,200.02,79.58,249.08,313.68,264.93,316.98,152
20,Net Income to Common,82.14,64.11,200.02,79.58,249.08,313.68,264.93,316.98,152
21,Net Income Growth,-58.93%,-19.44%,-19.70%,-74.63%,-5.98%,-1.04%,74.29%,-,-
22,Shares Outstanding (Basic),1827,1827,1827,1827,1827,1827,1827,-,-
23,Shares Outstanding (Diluted),1827,1827,1827,1827,1827,1969,1892,-,-
24,Shares Change (YoY),-,-,-,-7.20%,-3.47%,-,-,-,-
25,EPS (Basic),0.04,0.04,0.11,0.04,0.14,0.17,0.15,-,-
26,EPS (Diluted),0.04,0.03,0.11,0.04,0.14,0.16,0.14,-,-
27,EPS Growth,-63.47%,-25.00%,-19.70%,-74.94%,-2.61%,-,-,-,-
28,Free Cash Flow,-121.16,39.09,-176.76,-447.37,-450.25,-529.58,-505.86,-639.83,-342.98
29,Free Cash Flow Per Share,-0.07,0.02,-0.10,-0.24,-0.25,-0.27,-0.27,-,-
30,Operating Margin,20.18%,16.08%,30.54%,16.95%,39.53%,40.35%,44.44%,49.38%,46.50%
31,Profit Margin,10.22%,7.04%,20.60%,9.24%,28.68%,32.75%,35.78%,41.87%,39.28%
32,Free Cash Flow Margin,-15.07%,4.29%,-18.21%,-51.95%,-51.85%,-55.29%,-68.33%,-84.51%,-88.64%
33,EBITDA,297.1,270.02,422.12,261.63,445.15,476.06,395.22,422.79,218.35
34,D&A For EBITDA,134.82,123.57,125.59,115.65,101.86,89.63,66.2,48.96,38.44
35,EBIT,162.28,146.45,296.52,145.98,343.29,386.44,329.02,373.83,179.91
