,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,348.52,246.25,321.42,273.06,655.72,596.11,496.81,638.78,-
1,Short-Term Investments,22.54,22.2,23.39,15.01,23.72,11.53,34.43,41.14,-
2,Trading Asset Securities,-,45,-,-,-,15,-,-,-
3,Cash & Short-Term Investments,371.06,313.45,344.81,288.07,679.44,622.64,531.24,679.92,-
4,Cash Growth,7.61%,8.81%,-49.25%,-53.73%,27.90%,-8.42%,-,-,-
5,Accounts Receivable,940.02,945.1,904.6,878.23,901.43,755.3,574.74,505.12,-
6,Other Receivables,53.87,63.22,60.33,66.25,118.74,100.62,97.69,147.82,-
7,Receivables,993.88,1008,964.93,944.48,1020,855.92,672.44,652.94,-
8,Inventory,48.17,31.47,23.12,17.84,16.24,8.06,7.23,3.64,-
9,Other Current Assets,49.28,55.64,73.77,69.11,21.07,216.88,58.79,37.35,-
10,Total Current Assets,1462,1409,1407,1319,1737,1703,1270,1374,-
11,"Property, Plant & Equipment",7591,7355,6906,6601,5928,5368,4330,3202,-
12,Long-Term Investments,78.07,72.86,72.12,65.92,72.08,68.84,156.4,150.27,-
13,Goodwill,10.25,10.25,9.22,9.22,9.22,5.82,5.82,-,-
14,Other Intangible Assets,139.99,139.46,113.98,121.54,133.57,63.05,65.56,67.8,-
15,Long-Term Accounts Receivable,384.13,414.36,402.87,410.65,196.84,293.06,-,90.81,-
16,Long-Term Deferred Tax Assets,13.57,10.99,9.47,8.92,8.06,8.31,3.89,3,-
17,Other Long-Term Assets,-,-,-,-,-,-,173.88,-,-
18,Total Assets,9679,9412,8920,8537,8085,7510,6005,4888,-
19,Accounts Payable,418.46,396.49,261.97,215.67,181.8,163.6,170.45,95.49,-
20,Accrued Expenses,88.76,213.51,52.99,207.2,65.32,178.64,90.93,116.25,-
21,Current Portion of Long-Term Debt,1583,1277,792.17,637.57,686.32,634.03,265.89,120.64,-
22,Current Portion of Leases,0.54,1.14,1.61,1.69,0.27,0.53,0.8,1.01,-
23,Current Income Taxes Payable,10.73,5.66,18.61,14.67,31.77,19.82,13.28,6.28,-
24,Current Unearned Revenue,15.65,13.62,9.43,10.68,16.85,9.86,9.74,3.57,-
25,Other Current Liabilities,816.38,768.75,827.66,891.61,829.81,988.19,2623,1689,-
26,Total Current Liabilities,2933,2676,1964,1979,1812,1995,3174,2032,-
27,Long-Term Debt,2949,2981,3303,3137,2943,2410,1279,1041,-
28,Long-Term Leases,6.52,6.71,5.46,6.12,3.72,3.61,3.69,3.97,-
29,Long-Term Deferred Tax Liabilities,36.76,38.21,25.03,26.61,28.63,12.2,10.9,9.69,-
30,Total Liabilities,5926,5702,5298,5149,4787,4420,4468,3086,-
31,Common Stock,14.84,14.84,14.84,14.84,14.84,-,-,-,-
32,Additional Paid-In Capital,1184,1184,1184,1184,1184,1199,-,-,-
33,Retained Earnings,1983,1951,1887,1687,1607,1358,1044,779.56,-
34,Comprehensive Income & Other,-156.92,-156.92,-156.92,-156.92,-157.27,-136.58,-166.14,273.69,-
35,Total Common Equity,3025,2993,2929,2729,2649,2421,878.35,1053,-
36,Minority Interest,728.47,717.15,692.72,658.73,648.65,669.33,658.89,748.39,-
37,Shareholders' Equity,3754,3710,3622,3388,3298,3090,1537,1802,-
38,Total Liabilities & Equity,9679,9412,8920,8537,8085,7510,6005,4888,-
39,Total Debt,4539,4266,4102,3783,3633,3048,1549,1166,-
40,Net Cash (Debt),-4168,-3952,-3758,-3494,-2954,-2425,-1018,-486.53,-
41,Net Cash Per Share,-2.28,-2.16,-2.06,-1.91,-1.62,-1.23,-0.54,-,-
42,Filing Date Shares Outstanding,1827,1827,1827,1827,1827,1827,1827,1827,-
43,Total Common Shares Outstanding,1827,1827,1827,1827,1827,1827,1827,1827,-
44,Working Capital,-1471,-1267,-557.83,-659.58,-75.21,-291.17,-1904,-658.14,-
45,Book Value Per Share,1.66,1.64,1.60,1.49,1.45,1.33,-,0.58,-
46,Tangible Book Value,2875,2843,2806,2598,2506,2352,806.97,985.44,-
47,Tangible Book Value Per Share,1.57,1.56,1.54,1.42,1.37,1.29,-,0.54,-
48,Machinery,-,5456,-,4679,-,3364,-,1933,-
49,Construction In Progress,-,2437,-,2214,-,2123,-,1296,-
