,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,13486,10661,9277,12121,16744,28847,23366,39129,30799,29373,23739
1,Market Cap Growth,-12.04%,-12.04%,-44.59%,-57.98%,-28.34%,-26.28%,-24.13%,33.21%,29.74%,67.58%,42.43%
2,Enterprise Value,11083,7203,6322,8655,12701,23627,18553,33617,25639,27700,22181
3,Last Close Price,4.29,3.37,2.79,3.59,4.84,8.29,6.57,11.00,8.58,8.19,7.57
4,PE Ratio,18.26,14.28,13.91,18.04,27.05,38.44,22.49,36.82,36.50,43.42,44.45
5,Forward PE,12.82,11.00,9.69,13.28,14.08,21.54,16.26,30.78,29.80,34.99,29.91
6,PS Ratio,0.69,0.54,0.48,0.69,1.00,1.78,1.51,2.88,2.57,2.87,2.47
7,PB Ratio,1.70,1.21,1.02,1.38,1.88,3.25,2.58,4.59,3.65,3.93,7.18
8,P/TBV Ratio,1.59,1.59,1.37,1.82,2.50,4.24,3.10,5.26,4.20,4.50,9.85
9,P/FCF Ratio,17.31,-,9.02,-,61.33,-,31.24,-,26.78,-,31.09
10,P/OCF Ratio,8.14,-,5.86,-,21.30,-,18.69,24.50,19.71,22.74,23.08
11,PEG Ratio,0.89,0.60,0.48,0.90,11.54,0.84,0.60,0.89,1.25,1.39,1.02
12,EV/Sales Ratio,0.56,0.37,0.33,0.49,0.76,1.46,1.20,2.47,2.14,2.71,2.31
13,EV/EBITDA Ratio,5.78,4.35,4.19,7.09,10.75,17.26,12.31,24.45,22.24,30.15,28.30
14,EV/EBIT Ratio,7.56,5.13,5.18,9.21,13.64,21.16,14.45,27.87,25.65,35.11,33.02
15,EV/FCF Ratio,14.22,-,6.15,-,46.53,-,24.81,-,22.29,-,29.05
16,Debt / Equity Ratio,0.20,0.20,0.21,0.21,0.23,0.19,0.18,0.18,0.19,0.23,0.51
17,Debt / FCF Ratio,2.31,-,1.86,-,7.66,-,2.17,-,1.41,-,2.19
18,Return on Capital Employed (ROCE),13.66%,13.79%,11.63%,9.19%,8.70%,10.73%,12.19%,12.09%,10.03%,9.00%,13.73%
19,Earnings Yield,5.53%,7.00%,7.19%,5.54%,3.70%,2.60%,4.45%,2.72%,2.74%,2.30%,2.25%
20,FCF Yield,5.78%,7.31%,11.08%,5.17%,1.63%,0.40%,3.20%,2.81%,3.73%,3.26%,3.22%
21,Buyback Yield / Dilution,1.84%,2.08%,1.61%,0.74%,0.96%,-0.51%,-1.15%,-12.27%,-16.30%,-3.59%,-0.16%
22,Total Shareholder Return,5.34%,2.08%,1.61%,0.74%,0.96%,-0.51%,-1.15%,-12.27%,-16.30%,-3.59%,-0.16%
