,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,571.7,827.19,923.85,912.03,645.62,494.56,366.61
1,Revenue Growth (YoY),-38.12%,-9.30%,43.10%,84.41%,76.10%,-,-
2,Cost of Revenue,378.48,537.58,624.98,610.61,439.95,340.46,253.47
3,Gross Profit,193.23,289.61,298.87,301.41,205.66,154.1,113.14
4,"Selling, General & Admin",175.73,339.95,281.22,246.55,245.68,321.9,243.45
5,Research & Development,148.04,226.7,223.1,198.48,217.83,208.52,119.18
6,Other Operating Expenses,-23.33,-25.6,-31.8,-16.89,-39.66,-18.99,-8.91
7,Operating Expenses,304.98,590.39,508.49,443.59,445.96,527,362.21
8,Operating Income,-111.75,-300.78,-209.62,-142.17,-240.3,-372.91,-249.06
9,Interest Expense,-3.82,-4,-4.57,-6.05,-2.04,-0.91,-35.19
10,Interest & Investment Income,11.9,16.92,17.37,23.24,16.1,23.08,5.83
11,Earnings From Equity Investments,-,-,-0.34,-0.51,-0.07,-,-
12,Currency Exchange Gain (Loss),-,-5.27,-,5.05,-,-5.75,-
13,Other Non Operating Income (Expenses),-,-,-,0.53,-,-,-
14,EBT Excluding Unusual Items,-103.67,-293.13,-197.16,-119.92,-226.3,-356.49,-278.42
15,Impairment of Goodwill,-9.65,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-63.62,-88.61,-2.49,-7.74,-0.98,-,-
17,Gain (Loss) on Sale of Assets,-,1.85,-,-0.33,-,-0.01,-
18,Asset Writedown,-9.93,-,-,-,-,-,-
19,Other Unusual Items,-,-,-,-6.4,-,-,-
20,Pretax Income,-186.87,-379.89,-199.65,-134.39,-227.28,-356.49,-278.42
21,Income Tax Expense,-2.32,-5.67,-3.59,-3.39,2.88,-5.29,5.5
22,Earnings From Continuing Operations,-184.55,-374.22,-196.05,-131,-230.16,-351.21,-283.92
23,Minority Interest in Earnings,-10.93,-12.43,0.37,1.34,-3.22,-4.16,2.69
24,Net Income,-195.48,-386.65,-195.69,-129.67,-233.38,-355.37,-281.23
25,Net Income to Common,-195.48,-386.65,-195.69,-129.67,-233.38,-355.37,-281.23
26,Shares Outstanding (Basic),550,565,547,549,552,516,374
27,Shares Outstanding (Diluted),550,565,547,549,552,516,374
28,Shares Change (YoY),0.43%,2.86%,-0.83%,6.55%,47.55%,-,-
29,EPS (Basic),-0.36,-0.68,-0.36,-0.24,-0.42,-0.69,-0.75
30,EPS (Diluted),-0.36,-0.68,-0.36,-0.24,-0.42,-0.69,-0.75
31,Free Cash Flow,-27.03,-71.71,-114.88,-68.36,-257.54,-173.73,-115.04
32,Free Cash Flow Per Share,-0.05,-0.13,-0.21,-0.12,-0.47,-0.34,-0.31
33,Operating Margin,-19.55%,-36.36%,-22.69%,-15.59%,-37.22%,-75.40%,-67.94%
34,Profit Margin,-34.19%,-46.74%,-21.18%,-14.22%,-36.15%,-71.86%,-76.71%
35,Free Cash Flow Margin,-4.73%,-8.67%,-12.44%,-7.50%,-39.89%,-35.13%,-31.38%
36,EBITDA,-78.83,-276.68,-178.19,-118.28,-222.97,-359.13,-238.62
37,D&A For EBITDA,32.92,24.1,31.43,23.89,17.33,13.78,10.45
38,EBIT,-111.75,-300.78,-209.62,-142.17,-240.3,-372.91,-249.06
