,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,1333,1345,1669,1643,1638,1553,-
1,Short-Term Investments,18.3,15.86,22.09,13.68,38.05,39,-
2,Trading Asset Securities,52,103.83,155.66,156.02,237.01,-,-
3,Cash & Short-Term Investments,1403,1464,1847,1812,1913,1592,-
4,Cash Growth,-24.04%,-19.20%,-3.42%,13.83%,-,-,-
5,Accounts Receivable,424.03,671.55,828.82,571.94,498.1,365.21,-
6,Other Receivables,174.26,155.26,68.89,55.78,30.65,26.5,-
7,Receivables,606.26,826.81,911.21,627.71,528.75,391.7,-
8,Inventory,169.42,130.63,95.84,107.77,148.03,71.72,-
9,Restricted Cash,16.65,20.53,13.07,9.92,6.15,2.7,-
10,Other Current Assets,118.63,50.99,106.52,127.37,281.19,22.87,-
11,Total Current Assets,2314,2493,2974,2685,2877,2081,-
12,"Property, Plant & Equipment",121.31,122.19,147.99,157.03,167.09,166.28,-
13,Long-Term Investments,9,9,-,0.34,0.96,-,-
14,Goodwill,317.74,327.39,327.39,194.55,184.91,-,-
15,Other Intangible Assets,294.56,327.03,349.55,206.62,207.29,5.67,-
16,Long-Term Deferred Tax Assets,-,-,-,-,2.05,-,-
17,Other Long-Term Assets,10.2,10.29,17.2,24.77,20.79,11.81,-
18,Total Assets,3067,3289,3816,3268,3460,2265,-
19,Accounts Payable,277.93,353.71,419.6,280.32,266.51,227.72,-
20,Accrued Expenses,127.83,152.76,151.36,158.54,117.16,83.87,-
21,Short-Term Debt,126.55,91.75,110.34,77.49,59.58,-,-
22,Current Portion of Leases,29.78,23.07,23.4,19.96,20.38,9.28,-
23,Current Income Taxes Payable,0.29,0.66,0.15,3.06,2.46,0.21,-
24,Current Unearned Revenue,89.87,121.78,120.23,105.49,149.67,43.65,-
25,Other Current Liabilities,123.67,121.74,215.85,78.46,61.55,-,-
26,Total Current Liabilities,775.93,865.47,1041,723.31,677.31,364.73,-
27,Long-Term Leases,55.01,56.67,67.56,70.15,71.29,78.29,-
28,Long-Term Unearned Revenue,4.98,6.64,10.71,15.52,23.5,26.58,-
29,Long-Term Deferred Tax Liabilities,38.04,40.68,46.77,27.32,30.43,-,-
30,Other Long-Term Liabilities,103.35,95.57,88.88,73.17,98.09,-,-
31,Total Liabilities,977.31,1065,1255,909.47,900.62,469.6,-
32,Common Stock,565.05,565.05,565.05,559.31,559.31,514.56,-
33,Additional Paid-In Capital,2632,2632,2626,2563,2563,1675,-
34,Retained Earnings,-2044,-1848,-1462,-1266,-1136,-902.87,-
35,Treasury Stock,-266.64,-264.35,-149.63,-258.82,-149.98,-,-
36,Comprehensive Income & Other,991.3,949.29,798.92,671.88,641.56,498.49,-
37,Total Common Equity,1878,2033,2379,2269,2478,1785,-
38,Minority Interest,212.09,190.82,182.26,89.55,81.62,10.26,-
39,Shareholders' Equity,2090,2224,2561,2359,2559,1795,-
40,Total Liabilities & Equity,3067,3289,3816,3268,3460,2265,-
41,Total Debt,211.34,171.49,201.29,167.6,151.25,87.57,-
42,Net Cash (Debt),1192,1293,1646,1645,1761,1505,-
43,Net Cash Growth,-27.59%,-21.40%,-6.56%,9.32%,-,-,-
44,Net Cash Per Share,2.17,2.29,3.01,2.99,3.19,2.92,-
45,Filing Date Shares Outstanding,549.3,549.79,556.73,545.98,551.49,514.56,374.09
46,Total Common Shares Outstanding,549.3,549.79,556.73,545.98,551.49,514.56,374.09
47,Working Capital,1538,1628,1933,1962,2199,1716,-
48,Book Value Per Share,3.42,3.70,4.27,4.16,4.49,3.47,-
49,Tangible Book Value,1265,1379,1702,1868,2085,1779,-
50,Tangible Book Value Per Share,2.30,2.51,3.06,3.42,3.78,3.46,-
51,Buildings,-,1.08,-,1.08,-,-,-
52,Machinery,-,37.55,-,41.74,-,21.34,-
53,Construction In Progress,-,-,-,-,-,14.75,-
54,Leasehold Improvements,-,115.49,-,117.89,-,91.6,-
