,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,2254,2842,5161,10374,12558,11410,-,-
1,Market Cap Growth,-72.60%,-72.60%,-58.90%,-9.08%,-,-,-,-
2,Enterprise Value,1201,1628,3579,8616,10590,9576,-,-
3,Last Close Price,3.99,5.17,9.27,18.36,23.00,20.40,-,-
4,PS Ratio,1.48,1.89,2.68,5.23,7.13,8.54,-,-
5,PB Ratio,1.09,1.27,2.11,3.75,4.71,3.81,-,-
6,P/TBV Ratio,2.09,2.09,3.40,5.64,5.95,4.67,-,-
7,EV/Sales Ratio,0.80,1.08,1.86,4.34,6.01,7.17,-,-
8,Debt / Equity Ratio,0.10,0.10,0.08,0.08,0.07,0.06,0.05,-
9,Earnings Yield,-27.75%,-22.01%,-12.43%,-3.39%,-3.27%,-6.04%,-,-
10,FCF Yield,-4.71%,-3.73%,-3.98%,-1.91%,-2.93%,-4.43%,-,-
11,Buyback Yield / Dilution,-1.65%,-0.43%,-2.86%,0.83%,-6.55%,-47.55%,-,-
12,Total Shareholder Return,-1.65%,-0.43%,-2.86%,0.83%,-6.55%,-47.55%,-,-
