,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Interest and Dividend Income,98.08,-63.54,309.94,-123.64,-35.78,264.79,382.35,717.94,152.44,203.14,Upgrade
1,Total Interest Expense,26.56,22.37,27,25.84,24.52,29.11,33.34,48.34,61.49,55.76,Upgrade
2,Net Interest Income,71.52,-85.92,282.94,-149.48,-60.29,235.69,349.01,669.6,90.95,147.38,Upgrade
3,Brokerage Commission,40.86,71.31,58.76,68.84,62.7,90.07,120.61,114.41,119.84,116.77,Upgrade
4,Other Revenue,-4.92,23.9,2.64,3.64,1.82,7.08,-2.56,-3.77,2.38,-0.35,Upgrade
5,Revenue Before Loan Losses,107.46,9.3,344.34,-77,4.23,332.84,467.06,780.24,213.16,263.8,Upgrade
6,Provision for Loan Losses,-45.45,-78.93,47.79,985.91,80.57,2348,234.44,251.37,121.26,184.8,Upgrade
7,Revenue,152.92,88.23,296.54,-1063,-76.34,-2015,232.62,528.87,91.91,79,Upgrade
8,Revenue Growth (YoY),-48.43%,-,-,-,-,-,153.10%,569.49%,-76.86%,-78.64%,Upgrade
9,Salaries & Employee Benefits,81.03,92.01,81.83,76.24,89.64,87.58,98.6,131.48,123.74,113.45,Upgrade
10,Cost of Services Provided,37.88,45.77,52.17,52.69,57.73,73.33,79.12,86.75,90.2,85.88,Upgrade
11,Other Operating Expenses,24.41,18.14,21.09,18.1,24.61,25.76,18.95,23.22,19.24,22.59,Upgrade
12,Total Operating Expenses,153.49,168.57,174.3,167.52,193.42,208.94,220.21,266.6,256.27,243.84,Upgrade
13,Operating Income,-0.57,-80.34,122.24,-1230,-269.77,-2224,12.41,262.27,-164.36,-164.84,Upgrade
14,Currency Exchange Gains,0.32,0.65,-1.52,-7.59,8.01,5.49,2.79,5.6,-0.94,-0.62,Upgrade
15,Other Non-Operating Income (Expenses),2.73,22.51,0.18,-84.37,0.53,0.16,1.32,0.99,0.76,2.1,Upgrade
16,EBT Excluding Unusual Items,23.96,-57.87,120.9,-1323,-261.47,-2216,15.92,266.31,-164.07,-165.66,Upgrade
17,Merger & Restructuring Charges,-,-8.75,-,-,-,-,-,-,-,-,Upgrade
18,Asset Writedown,-,-42.12,-,-,-,-,-,-2.1,-,111.9,Upgrade
19,Other Unusual Items,-12.2,111.42,-5.7,-1.71,1.71,0.83,-,12.99,-,-,Upgrade
20,Pretax Income,11.76,2.67,115.2,-1324,-259.76,-2215,15.92,277.19,-164.07,-53.76,Upgrade
21,Income Tax Expense,0.6,-5.6,3.93,13.65,-14.16,59.38,2.02,12.33,-2.46,-8.87,Upgrade
22,Net Income,11.16,8.27,111.27,-1338,-245.59,-2274,13.9,264.87,-161.62,-44.89,Upgrade
23,Net Income to Common,11.16,8.27,111.27,-1338,-245.59,-2274,13.9,264.87,-161.62,-44.89,Upgrade
24,Net Income Growth,-89.97%,-,-,-,-,-,-,-,-,-,Upgrade
25,Shares Outstanding (Basic),6146,6146,6146,6146,6146,6146,6146,6146,6146,6146,Upgrade
26,Shares Outstanding (Diluted),6148,6146,6146,6146,6146,6146,6146,6146,6146,6146,Upgrade
27,Shares Change (YoY),0.03%,-,-,-,-,-,-,0.00%,-0.58%,-1.01%,Upgrade
28,EPS (Basic),0.00,0.00,0.02,-0.22,-0.04,-0.37,0.00,0.04,-0.03,-0.01,Upgrade
29,EPS (Diluted),0.00,0.00,0.02,-0.22,-0.04,-0.37,0.00,0.04,-0.03,-0.01,Upgrade
30,EPS Growth,-89.91%,-,-,-,-,-,-,-,-,-,Upgrade
31,Free Cash Flow,-72.05,121.94,47.29,278.11,197.14,364.18,289.26,244.44,107.36,-18.49,Upgrade
32,Free Cash Flow Per Share,-0.01,0.02,0.01,0.05,0.03,0.06,0.05,0.04,0.02,-0.00,Upgrade
33,Operating Margin,-0.37%,-91.06%,41.22%,-,-,-,5.34%,49.59%,-178.83%,-208.67%,Upgrade
34,Profit Margin,7.30%,9.37%,37.52%,-,-,-,5.98%,50.08%,-175.85%,-56.83%,Upgrade
35,Free Cash Flow Margin,-47.12%,138.21%,15.95%,-,-,-,124.35%,46.22%,116.81%,-23.40%,Upgrade
