,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2511,2164,2112,1720,2041,2248,2147,2495,2508,2654,2772,2681,2384,3969,2273,2227,-,-,-,-,-
1,Market Cap Growth,-3.77%,-3.77%,-1.61%,-31.09%,-18.62%,-15.29%,-22.56%,-6.91%,5.18%,-33.13%,21.97%,20.36%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2441,2093,1928,1524,1638,1858,1820,2141,2133,2273,2384,2293,2027,3611,1910,2050,-,-,-,-,-
3,Last Close Price,11.29,9.73,9.50,6.90,8.19,9.03,8.62,10.02,9.96,10.55,11.02,10.61,9.44,15.71,9.00,8.67,-,-,-,-,-
4,PE Ratio,23.52,19.70,26.56,23.90,-,59.73,56.88,43.05,-,33.49,28.28,41.28,60.12,109.26,-,-,-,-,-,-,-
5,PS Ratio,2.74,2.30,2.91,2.45,3.48,4.00,3.39,3.86,4.02,4.26,4.80,5.73,5.73,10.14,6.11,4.49,-,-,-,-,-
6,PB Ratio,3.00,2.58,2.51,1.98,2.47,2.25,2.35,2.98,2.91,3.07,3.33,3.31,3.02,5.07,3.10,2.88,-,-,-,-,-
7,P/TBV Ratio,2.66,2.66,2.60,2.05,2.56,2.32,2.41,3.07,2.99,3.15,3.43,3.41,3.12,5.23,3.20,2.97,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,164.53,30.87,-,-,30.89,98.14,-,-,101.62,55.37,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,21.03,-,21.79,14.34,17.90,-,20.15,46.07,37.42,-,58.37,30.02,-,-,-,-,-,-
10,EV/Sales Ratio,2.59,2.22,2.65,2.17,2.79,3.31,2.87,3.31,3.42,3.65,4.13,4.90,4.87,9.23,5.14,4.13,-,-,-,-,-
11,EV/EBITDA Ratio,18.78,16.02,20.69,16.54,-,37.04,30.64,29.39,-,23.94,21.50,30.91,40.38,76.24,-,-,-,-,-,-,-
12,EV/EBIT Ratio,20.73,17.78,24.01,19.15,-,46.91,37.01,33.96,-,27.31,23.93,36.34,49.60,94.43,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,135.98,26.16,-,-,26.45,84.40,-,-,92.46,46.53,-,-,-,-,-,-
14,Debt / Equity Ratio,0.52,0.52,0.52,0.50,0.52,0.43,0.47,0.10,0.10,0.20,0.11,0.12,0.12,0.13,0.14,0.12,0.15,0.15,-,-,0.08
15,Debt / EBITDA Ratio,3.36,1.86,4.62,1.78,-,3.01,4.72,1.15,-,1.08,0.64,1.15,3.04,0.48,-,-,4.14,0.70,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,31.62,6.12,-,-,1.99,3.28,-,-,2.51,2.43,-,1.30,1.41,-,-,-
17,Asset Turnover,-,0.44,0.62,0.22,0.43,0.45,0.45,0.21,0.77,0.59,0.41,0.24,0.79,0.27,-,-,-,-,-,-,
18,Inventory Turnover,-,-,3.92,5.78,3.35,6.36,4.85,3.66,2.20,9.20,5.54,4.39,3.27,10.16,3.30,-,-,-,-,-,-
19,Quick Ratio,-,-,2.25,2.36,2.63,3.19,3.33,1.90,2.07,2.18,2.44,2.62,2.87,2.85,3.51,3.76,-,2.09,-,-,-
20,Current Ratio,-,-,2.81,2.75,3.00,3.48,3.67,2.26,2.43,2.38,2.83,3.00,3.21,3.15,3.99,4.15,-,2.34,-,-,-
21,Return on Equity (ROE),25.78%,8.41%,21.87%,-3.75%,8.81%,5.32%,4.48%,-2.36%,10.20%,15.53%,10.00%,2.92%,21.33%,-0.64%,-3.19%,1.75%,-,-,-,-,
22,Return on Assets (ROA),-,3.01%,7.73%,-1.47%,2.64%,3.40%,1.70%,-1.30%,5.22%,6.99%,3.51%,1.24%,10.30%,-0.68%,-,-,-,-,-,-,
23,Return on Capital (ROIC),10.89%,3.99%,10.09%,-1.87%,3.28%,4.39%,2.32%,-1.78%,7.06%,9.21%,4.53%,1.58%,12.86%,-0.82%,-2.00%,1.18%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,6.26%,6.04%,-,2.75%,3.71%,6.93%,-,8.24%,10.91%,7.08%,4.67%,4.39%,-,-,-,9.45%,-,-,-
25,Earnings Yield,4.37%,5.08%,3.77%,4.18%,1.71%,1.67%,1.76%,2.32%,2.73%,2.99%,3.54%,2.42%,1.66%,0.92%,1.12%,3.34%,-,-,-,-,-
26,FCF Yield,-,-4.90%,0.48%,0.39%,0.61%,3.24%,2.89%,2.92%,3.24%,1.02%,2.26%,1.19%,0.98%,1.81%,1.29%,-,-,-,-,-,
27,Dividend Yield,0.46%,-,-,-,-,0.57%,-,-,-,0.91%,-,-,-,0.28%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,70.00%,-,-,-,-,250.03%,-,4.46%,37.52%,5.12%,17.48%,1.51%,-,-,41.74%,3.47%,5.61%,-,-
