,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,357.16,429.12,432.35,840.69,713.25,309.02,400.31,453.56,271.76,280.03,340.53,321.88,252.14,459.64,-,261.74,-,-,-
1,Trading Asset Securities,-,152.96,193.06,202.8,-,102.34,102.9,42.28,91.81,202.07,202.54,143,169.21,205,-,-,-,-,-,-
2,Cash & Short-Term Investments,510.12,510.12,622.18,635.14,840.69,815.59,411.92,442.58,545.37,473.83,482.57,483.53,491.09,457.14,459.64,261.74,261.74,-,-,296.64
3,Cash Growth,-39.32%,-37.45%,51.04%,43.51%,54.15%,72.13%,-14.64%,-8.47%,11.05%,3.65%,4.99%,84.74%,87.62%,-,-,-11.76%,-,-,-,-
4,Accounts Receivable,-,380.79,331.26,245.58,255.37,246.29,259.11,276.7,339.25,303.27,264.53,245.2,243.81,150.31,205.42,-,258.32,-,-,-
5,Other Receivables,-,14.77,11.22,12.91,7.28,5.39,5.08,4.12,4.6,4.75,7.76,7.46,5.62,5.87,8.15,-,5.08,-,-,-
6,Receivables,-,395.56,342.48,258.49,262.66,251.68,264.2,280.82,343.85,308.02,272.29,252.66,249.43,156.18,213.57,-,263.39,-,-,-
7,Inventory,-,128.76,115.7,89.67,65.08,81.43,99.11,99.25,58.92,82.97,75.38,57.31,42.46,60.4,49.35,-,40,-,-,-
8,Prepaid Expenses,-,-,0.27,-,-,-,0.23,-,-,-,0.37,-,-,-,3.39,-,-,-,-,-
9,Other Current Assets,-,95.93,45.51,36.42,38.36,29.94,28.57,25.43,23.75,41.31,32.09,31.87,36.49,24.29,16.14,-,20.6,-,-,-
10,Total Current Assets,-,1130,1126,1020,1207,1179,804.02,848.08,971.89,906.13,862.7,825.37,819.46,698.02,742.08,-,585.74,-,-,-
11,"Property, Plant & Equipment",-,344.07,342.27,334.28,338.76,340.6,344.27,332.79,332.49,222.89,210.47,203.66,206.91,210.62,209.34,-,193.03,-,-,-
12,Long-Term Investments,-,91.46,145.54,140.09,122.16,51.98,51.98,68.31,68.31,61.25,61.25,60.21,60.21,50,50,-,50,-,-,-
13,Other Intangible Assets,-,22.48,22.63,22.8,22.97,23.12,23.3,23.47,23.65,23.82,24,24.14,24.32,24.13,24.3,-,24.58,-,-,-
14,Long-Term Accounts Receivable,-,15.34,9.21,9.75,13.53,33.98,14.84,10.25,14.91,12.47,13.65,12.38,12.62,-,16.8,-,23.83,-,-,-
15,Long-Term Deferred Tax Assets,-,43.36,41.49,35.38,31.37,17.94,15.66,9.76,6.86,6.7,6.39,6.21,6.75,8.41,7.04,-,7.29,-,-,-
16,Long-Term Deferred Charges,-,33.84,34.92,32.88,33.38,1.32,1.28,0.41,0.49,0.36,0.42,0.48,0.53,0.59,0.65,-,0.3,-,-,-
17,Other Long-Term Assets,-,4.9,4.92,20.28,20.41,-,10.25,-,-,-,-,-,-,16.21,-,-,0.09,-,-,-
18,Total Assets,-,1686,1727,1615,1789,1648,1266,1293,1419,1234,1179,1132,1131,1008,1050,-,884.85,-,-,-
